Man disjointWith Woman
Sports disjointWith Travelling
PGProgram disjointWith UGProgram
Soccer disjointWith Tennis
Reading disjointWith Sports
Swimming disjointWith Tennis
Football disjointWith Tennis
Cricket disjointWith Swimming
Soccer disjointWith Swimming
BasketBall disjointWith Soccer
BasketBall disjointWith Tennis
Cricket disjointWith Soccer
Football disjointWith Swimming
PGProgram disjointWith PhDProgram
Cricket disjointWith Tennis
BasketBall disjointWith Football
Badminton disjointWith Football
Badminton disjointWith Soccer
Badminton disjointWith BasketBall
BasketBall disjointWith Swimming
Painting disjointWith Sports
Movie disjointWith Sports
Badminton disjointWith Cricket
PhDProgram disjointWith UGProgram
Music disjointWith Sports
Badminton disjointWith Swimming
ElectiveCourse disjointWith UGCourse
BasketBall disjointWith Cricket
Cricket disjointWith Football
Badminton disjointWith Tennis
