,easy_time_easy_mem,easy_time_hard_mem,easy_time_medium_mem,medium_time_easy_mem,medium_time_hard_mem,medium_time_medium_mem,hard_time_easy_mem,hard_time_hard_mem,hard_time_medium_mem
tCID,15496.4985,186327.9091,267341.6364,1625755.3571,1728117.0,1965096.0789,1078.25,9788.0,12055.0
SOV,4777.6721,176594.4545,566767.2727,3795092.6429,2246291.0,4556865.3684,2134.5,11583.0,18039.0
size_kb,2903.7994,66778.8182,174624.1818,1197086.5,836055.5,1454181.6053,893.0,5547.0,14328.0
IND,1791.5213,47397.0909,163301.3636,1160804.5714,699890.0,1404812.2895,740.5,661.0,6016.0
HGCI,115.0653,3225.3636,304.7273,19.0,16355.0,18.1842,30.25,411.0,0.0
classification_time_milsecs,18645.5207,2481518.9091,164135.5455,632473.7857,624388.25,761421.2105,16364399.75,21600584.0,21600415.0
consistency_time_milsecs,377.0482,191529.5455,155552.2727,625085.5,601633.75,761017.7368,21600074.25,21600449.0,21600406.0
tCOD,16396.3572,132060.0,40697.1818,2289.0,928997.0,2290.6053,391.75,9571.0,160.0
tNOC,9018.8224,27283.0909,2519.7273,122.0,547656.5,122.6842,67.0,8261.0,3.0
EOG,2.4617,2.4614,3.0152,2.6844,2.7167,2.6558,1.8374,1.5013,2.1597
MNCARP,0.0117,0.0239,0.013,0.0303,0.0152,0.0287,0.0615,0.0023,0.0417
DTPP,0.1399,0.167,0.1054,0.1262,0.0937,0.1259,0.5149,0.8929,0.2857
aCOD,2.3553,5.7804,13.0844,13.1552,11.1743,13.2198,1.793,1.1051,1.194
CYC,14950.597,2160682.2727,1773621.8182,12594379.6429,7679619.75,15265675.1842,953.5,4861.0,41923.0
realisation_time_milsecs,22472.0821,4099901.6364,310620.0909,620075.5,618469.25,758128.3947,21600144.5,21600430.0,92155.0
EFP,0.5174,0.3356,0.3586,0.2424,0.385,0.2554,0.172,0.0,0.0083
ELCLSPRT,0.8946,0.6727,0.8616,0.9268,0.9602,0.9297,0.7344,0.9494,0.1579
CONJP,0.0663,0.1917,0.3128,0.3939,0.4139,0.3948,0.2312,0.0,0.0583
classification_size_kb,281251.7693,110444217.0909,45635102.5455,53109371.4286,120528529.0,83162374.9474,5677541.0,24260664.0,7870180.0
IHR,1724.4539,143559.5455,428358.0909,3866490.4286,2557830.0,4636268.1053,3.75,0.0,0.0
ITR,757.0866,30027.3636,46527.9091,465697.4286,308049.0,552816.5526,2.25,0.0,0.0
aNOP,1.371,1.0717,1.1449,0.9943,1.6451,0.9979,1.0333,1.0048,0.9925
consistency_size_kb,58084.7803,122043864.0,46017772.3636,50784319.7143,120761483.0,83156168.0,1393680.0,17684888.0,8128296.0
CAL_TIME,3414.8514,552780.9091,253535.4545,4271891.4286,2275930.0,4107021.0526,207.5,510.0,1910.0
aCID,11.3735,342.074,1437.5233,9343.4216,5386.6915,11327.9604,6.1498,1.1301,89.9627
