"Ontology","SIZE (KB)","SOV","ENR","TIP","EOG","RCH","CYC","GCI","HGCI","ESUB","DSUB","CSUB","SUPECHN","SUBECHN","SUBCCHN","SUPDCHN","DSUPECHN","DSUBECHN","DSUBCCHN","DSUPDCHN","ELCLSPRT","ELAXPRT","HLC","RHLC","IHR","IIR","ITR","IND","aNOC","mNOC","tNOC","aCID","mCID","tCID","aCOD","mCOD","tCOD","aDIT","mDIT","tDIT","aNOP","mNOP","tNOP","ENUM","ENUMP","NEG","NEGP","CONJ","CONJP","DISJ","DISJP","UF","UFP","EF","EFP","VALUE","VALUEP","SELF","SELFP","MNCAR","MNCARP","MXCAR","MXCARP","CAR","CARP","OBP","OBPP","DTP","DTPP","FUN","FUNP","SYM","SYMP","TRN","TRNP","IFUN","IFUNP","ASYM","ASYMP","REFLE","REFLEP","IRREF","IRREFP","SUBP","EQVP","DISP","INV","DOMN","RANG","CHN","CHNP","ELPROP","EXPRESSIVITY","EL","QL","RL","DL","FULL","CAL_TIME"
"approximated_ooevv.ontology-of-experimental-variables-and-values.4.owl.xml_functional.owl","29.9560546875","115","1.7222222222222223","80","2.5502720894052366","0.4895833333333333","117","80","0","0.6779661016949152","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","19","1.2291666666666667","11","118","1.9166666666666667","47","184","2.3125","36","222","0.0","0","0","1.8229166666666667","35","175","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","47","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","47","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","0.0","ALCO","true","true","true","true","true","980"
"approximated_mfoem.emotion-ontology.23.owl.xml_functional.owl","196.43359375","1011","1.297082228116711","203","2.340786211104521","0.095","358","52","0","0.13031674208144797","0.0","0.0","818","846","0","0","5","5","0","0","1.0","1.0","80","0.06606110652353427","38","0","0","18","1.105","33","1105","1.218","49","1218","1.297","5","1297","0.0","0","0","1.202","5","1202","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","95","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","113","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","86","0","0","0","0","0","32","0.2831858407079646","1.0","ALCRO","true","false","false","true","true","1060"
"approximated_eb8bfa42-a0ca-4977-a58f-739c3c3d96ef_people_functional.owl","18.6962890625","91","1.5225225225225225","28","2.501486207507827","0.25316455696202533","62","8","0","0.24","0.0","0.0","7","14","0","0","2","2","0","0","1.0","1.0","6","0.05454545454545454","13","0","0","22","0.9493670886075949","17","75","1.5569620253164558","26","123","1.6962025316455696","5","134","0.0","0","0","1.3417721518987342","4","106","0","0.0000","0","0.0000","5","0.2500","0","0.0000","0","0.0000","15","0.7500","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","10","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","3","0","0","0","0","0","0","0.0","1.0","ALEH","true","false","false","true","true","190"
"approximated_qibo.quantitative-imaging-biomarker-ontology.2.owl.xml_functional.owl","280.1943359375","764","1.697616060225847","34","2.104604665729594","0.05069124423963134","556","33","0","0.051643192488262914","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","28","0.9815668202764977","17","639","2.0092165898617513","607","1308","2.0337941628264207","3","1324","0.0","0","0","1.0506912442396312","2","684","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","33","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","118","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","0.0","AL","true","true","true","true","true","550"
"approximated_fdfa32dd-7fbf-414f-b236-856dcbca85b6_complex1.0.owl_functional.owl","37.7998046875","147","1.539906103286385","52","2.2895818925289086","0.38686131386861317","115","50","0","0.41732283464566927","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","49","0","0","0","0.927007299270073","25","127","1.313868613138686","50","180","1.7591240875912408","3","241","0.0","0","0","1.3722627737226278","3","188","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","53","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","76","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","74","0","0","0","0","0","13","0.17105263157894737","1.0","ALER","true","false","false","true","true","200"
"approximated_f0be0f6e-b9f3-4947-bcd7-6c24299be333_sigma.owl_functional.owl","113.8486328125","325","1.3076923076923077","72","2.3554570326365645","0.17052023121387283","120","0","0","0.20916905444126074","0.0","0.0","47","66","0","0","3","3","0","0","0.9971014492753624","0.997134670487106","44","0.11827956989247312","28","0","0","1","1.0086705202312138","20","349","1.1791907514450868","21","408","1.3757225433526012","4","476","0.0","0","0","1.2052023121387283","4","417","1","0.0169","0","0.0000","0","0.0000","0","0.0000","0","0.0000","58","0.9831","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","43","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","22","0","0","0","0","0","11","0.2558139534883721","1.0","ALCRO","true","false","false","true","true","240"
"approximated_f716fb06-60dd-4d6f-8406-b2e98f123a60_FN1.45.owl_functional.owl","93.4384765625","749","1.2920469361147326","38","1.4538137066021626","0.16363636363636364","224","18","0","0.16981132075471697","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","630","0.9636363636363636","15","106","8.563636363636364","254","942","2.090909090909091","5","230","0.0","0","0","1.3363636363636364","3","147","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","18","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","27","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","5","0","0","0","0","0","0","0.0","1.0","ALHO","true","false","true","true","true","320"
"approximated_f547c4c5-1c09-45e2-adb1-e545222262a3_ndardmodel.owl_functional.owl","78.396484375","140","2.266304347826087","186","2.7931119248550917","0.2558139534883721","245","2","0","0.5838709677419355","0.0","0.0","240","282","0","0","7","6","0","0","0.9707602339181286","0.8290322580645161","0","0.0","0","0","0","5","1.802325581395349","41","310","2.058139534883721","41","354","2.3313953488372094","5","401","0.0","0","0","2.0755813953488373","5","357","5","0.1136","0","0.0000","0","0.0000","0","0.0000","0","0.0000","39","0.8864","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","7","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","1","0","0","0","0","0","0","0.0","1.0","ALCHO","true","false","false","true","true","190"
"approximated_ogdi.ontology-for-genetic-disease-investigations.3.owl.xml_functional.owl","297.3818359375","852","1.8556910569105691","153","3.0908902933061575","0.25338491295938104","902","84","0","0.2777777777777778","0.0","0.0","136","124","0","0","8","8","0","0","1.0","1.0","11","0.007110536522301228","141","0","0","363","1.009671179883946","22","522","1.9651837524177949","84","1016","1.5473887814313345","7","800","0.0","0","0","1.2940038684719535","7","669","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","131","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","104","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","17","0","0","0","0","0","1","0.009615384615384616","1.0","ALER","true","false","false","true","true","540"
"approximated_opb.ontology-of-physics-for-biology.7.owl.xml_functional.owl","127.865234375","735","1.1541501976284585","98","2.1230848666959123","0.03305785123966942","117","0","0","0.12311557788944724","0.0","0.0","29","50","0","0","2","2","0","0","1.0","1.0","18","0.02181818181818182","18","0","0","0","1.0964187327823691","17","796","1.1294765840220387","17","820","1.1666666666666667","5","847","0.0","0","0","1.1336088154269972","5","823","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","24","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","33","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","29","0","0","0","0","0","0","0.0","1.0","ALEH","true","true","false","true","true","290"
"approximated_fa6ab4fd-ed10-41d7-bf01-77adbea489ba_onto.rdf_functional.owl","35.2578125","155","1.3653846153846154","69","2.1473797744056298","0.5360824742268041","86","49","0","0.7263157894736842","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","12","0.07453416149068323","19","0","0","55","0.979381443298969","32","95","2.082474226804124","53","202","2.2371134020618557","5","217","0.0","0","0","1.7010309278350515","5","165","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","52","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","56","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","11","0","0","0","0","0","1","0.017857142857142856","1.0","ALR","true","false","false","true","true","90"
