Ontology,SIZE (KB),SOV,ENR,TIP,EOG,RCH,CYC,GCI,HGCI,ESUB,DSUB,CSUB,SUPECHN,SUBECHN,SUBCCHN,SUPDCHN,DSUPECHN,DSUBECHN,DSUBCCHN,DSUPDCHN,ELCLSPRT,ELAXPRT,HLC,RHLC,IHR,IIR,ITR,IND,aNOC,mNOC,tNOC,aCID,mCID,tCID,aCOD,mCOD,tCOD,aDIT,mDIT,tDIT,aNOP,mNOP,tNOP,ENUM,ENUMP,NEG,NEGP,CONJ,CONJP,DISJ,DISJP,UF,UFP,EF,EFP,VALUE,VALUEP,SELF,SELFP,MNCAR,MNCARP,MXCAR,MXCARP,CAR,CARP,OBP,OBPP,DTP,DTPP,FUN,FUNP,SYM,SYMP,TRN,TRNP,IFUN,IFUNP,ASYM,ASYMP,REFLE,REFLEP,IRREF,IRREFP,SUBP,EQVP,DISP,INV,DOMN,RANG,CHN,CHNP,ELPROP,EXPRESSIVITY,EL,QL,RL,DL,FULL,CAL_TIME
approximated_1259dc4d-3599-4e55-830b-bf1e4bd25084_ethodology.owl_functional.owl,1179.1806640625,4628,1.4288772134656549,912,2.459997306269382,0.14277604314504685,2730,131,0,0.09933605720122574,0.0,0.0,261,347,0,0,5,5,0,0,0.9639409426462238,0.9471399387129724,146,0.023389939122076257,447,0,0,1137,1.1115526539880782,58,3916,1.5733749645188762,89,5543,1.4178257167187056,9,4995,0.0,0,0,1.2585864320181663,9,4434,127,0.2525,0,0.0,58,0.1153,0,0.0,0,0.0,318,0.6322,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,479,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,407,0,0,0,0,0,8,0.016701461377870562,1.0,ALCRO,True,False,False,True,True,3640
approximated_261f18de-581b-4334-9bd1-fa87028404cc__component.owl_functional.owl,597.8056640625,2375,1.89,2070,2.7295953949560334,0.152384367156687,2492,0,0,0.20677200902934534,0.0,0.0,1906,2789,0,0,6,6,0,0,1.0,1.0,0,0.0,0,0,0,7,1.5883829329508783,474,4430,1.743277160272499,474,4862,1.8942273216206529,7,5283,0.0,0,0,1.7418429544639655,7,4858,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,425,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0,0,0,0,0,0,0.0,1.0,ALEH,True,True,False,True,True,1690
approximated_28fced52-b963-4759-a548-f25e5bbad522_nstability.owl_functional.owl,1174.4501953125,4607,1.430636967565455,912,2.4620741268326047,0.1435502283105023,2730,131,0,0.09982037464716448,0.0,0.0,261,347,0,0,5,5,0,0,0.9637453611190409,0.9468822170900691,146,0.023468895675936345,447,0,0,1135,1.1121575342465753,58,3897,1.5759132420091324,89,5522,1.4200913242009132,9,4976,0.0,0,0,1.2599885844748862,9,4415,127,0.2525,0,0.0,58,0.1153,0,0.0,0,0.0,318,0.6322,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,479,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,407,0,0,0,0,0,8,0.016701461377870562,1.0,ALCRO,True,False,False,True,True,2090
approximated_1911642a-c7ce-4296-b89c-6607750bb07d_riopthrids.owl_functional.owl,739.6220703125,4208,0.9997623574144486,0,0.009611050123043743,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0.0,0,0,0,0,0.999287072243346,4202,4205,0.999287072243346,4202,4205,0.9997623574144486,1,4207,0.0,0,0,0.9997623574144486,1,4207,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,AL,True,True,True,True,True,650
approximated_296bfc72-2998-420f-a258-157b234e63f5_chemAcidity.owl_functional.owl,572.9775390625,2204,1.444985789687373,635,2.5153777552305683,0.11797752808988765,1656,107,0,0.06349840255591055,0.0,0.0,12,22,0,0,3,3,0,0,0.9718969555035128,0.9672523961661342,6,0.0020202020202020198,5,0,0,150,1.1722846441947563,64,2504,1.3647003745318351,64,2915,1.444756554307116,11,3086,0.0,0,0,1.296816479400749,11,2770,60,0.2381,0,0.0,64,0.254,0,0.0,0,0.0,128,0.5079,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,177,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,135,0,0,0,0,0,7,0.03954802259887006,1.0,ALCRO,True,False,False,True,True,540
approximated_141114a5-7716-42e2-9007-6b03e4efe0e3_relaMath.owl_functional.owl,1204.6953125,5025,1.3669000179500987,1106,2.3677115684540784,0.13250061229488122,2632,131,0,0.09331597222222222,0.0,0.0,280,388,0,0,5,5,0,0,0.9644781969622734,0.9461805555555556,92,0.014345859971932013,91,0,0,1226,1.1285819250551066,63,4608,1.5601273573352927,88,6370,1.4185647807984323,9,5792,0.0,0,0,1.2706343374969384,9,5188,145,0.268,0,0.0,63,0.1165,0,0.0,0,0.0,333,0.6155,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,262,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,212,0,0,0,0,0,5,0.019083969465648856,1.0,ALCRO,True,False,False,True,True,890
approximated_1497b1af-138b-42d7-aa9a-927bc1043d78_cipitation.owl_functional.owl,1216.546875,5015,1.378733357322778,1098,2.388467004610964,0.13208936901546772,2693,123,0,0.0932608695652174,0.0,0.0,280,388,0,0,5,5,0,0,0.9643909626719056,0.9460869565217392,99,0.015291936978683966,130,0,0,1226,1.1293886570095752,63,4600,1.5612570586791064,88,6359,1.4168917260004912,9,5771,0.0,0,0,1.2693346427694574,9,5170,145,0.2695,0,0.0,63,0.1171,0,0.0,0,0.0,330,0.6134,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,259,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,212,0,0,0,0,0,5,0.019305019305019305,1.0,ALCRO,True,False,False,True,True,650
approximated_14871cac-cf5a-4afd-9f40-9f095253b688_esg.owl_functional.owl,729.423828125,3811,1.1981327800829875,45,0.9900378356642912,0.3125,780,45,0,0.5487804878048781,0.0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0.0,3,0,0,3654,0.5694444444444444,16,82,26.256944444444446,1397,3781,1.6180555555555556,3,233,0.0,0,0,1.3055555555555556,2,188,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,58,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0,0,0,0,0,0,0.0,1.0,ALHO,True,False,True,True,True,500
approximated_00718.owl_functional.owl,1055.20703125,1574,3.7362908194701165,70,3.0933653981518208,0.21395348837209305,5153,46,0,0.55,0.0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0,0.0,0,0,0,1387,0.7441860465116279,22,160,16.0,327,3440,1.5348837209302326,3,330,0.0,0,0,1.3209302325581396,2,284,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0,0,0,0,0,3,0.14285714285714285,1.0,ALER,True,False,False,True,True,270
approximated_229e085a-35af-4e7c-b9ed-e02a45af5099_COSMOr585.owl_functional.owl,2037.837890625,4408,2.166376811594203,3040,3.045276690655955,0.16894159767285746,6098,328,0,0.09024788481519964,0.0,0.0,797,1153,0,0,6,6,0,0,0.9675470008952552,0.9685319875315422,263,0.027404397207460664,419,0,0,359,1.5074960841351532,197,6737,2.252405459834415,478,10066,2.3405683598120386,11,10460,0.0,0,0,1.6800179010964422,10,7508,145,0.1921,0,0.0,76,0.1007,0,0.0,0,0.0,534,0.7073,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,347,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,124,0,0,0,0,0,12,0.0345821325648415,1.0,ALCRO,True,False,False,True,True,1000
approximated_00698.owl_functional.owl,168450.0732421875,211228,4.372596182853005,800812,3.2162035598564,0.1502311868666527,876052,343,0,0.7105291526154572,0.0,0.0,563350,737646,0,0,66,66,0,0,1.0,1.0,653495,0.6644288410076215,596086,0,0,30,3.959924924683024,54302,983186,4.111436902901516,54302,1020804,4.3767741779575005,173,1086683,0.0,0,0,4.225383029111823,173,1049095,0,0.0,0,0.0,291,0.0078,0,0.0,0,0.0,37009,0.9922,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,301,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,204,0,0,0,0,0,138,0.4584717607973422,1.0,ALCRO,True,False,False,True,True,544350
