file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
approximated_7df755c0-9189-41f0-9c42-130be6de128d_Coffee.rdf_functional.owl,44,19,14820,25,15896,26,15672
approximated_7e02f863-8a23-4dd8-ac85-5baa774b25af_lity_knife.ttl_functional.owl,44,20,14832,25,15744,24,15612
approximated_7e0d6955-f1b3-4ac3-90ff-5d39157a8eb2_ekaw.owl_functional.owl,35,20,14756,25,15736,23,15428
approximated_7e2b2555-33b3-4d6e-9bf8-fa0510cd83d8_c_cylinder.rdf_functional.owl,44,25,14880,26,15792,27,15584
approximated_7e3dfedf-9c95-424b-8b14-6b254ede4ba8_Hand_net.rdf_functional.owl,44,21,14824,25,15712,26,15624
approximated_7e58722b-9990-4678-b0bc-f362daed48c3_restaurant.owl_functional.owl,62,20,14952,33,15972,25,15936
approximated_7e5d0f15-9831-4dab-a55a-938371725b68_ainability.owl_functional.owl,406,47,17584,67,22284,65,21792
approximated_7e61a086-9c91-45f3-8c4b-8b7ef542bb9b_family.swrl.owl_functional.owl,25,18,14748,22,15908,21,15680
approximated_7e74de42-a28b-4a49-a7f2-ebf47b564d65_nderbraten.rdf_functional.owl,44,17,14968,23,15716,22,15568
approximated_7ebff242-76b1-4973-8aba-141d43f52e69_I_original.owl_functional.owl,292,51,19044,63,21836,61,21228
approximated_7ed7cad9-d827-4e91-9440-b85369c9eace_TMVersion4.owl_functional.owl,57,24,15596,28,15892,25,15948
approximated_7f1d2775-b44f-46a6-bae4-a3c94501ec4f_a4.owl_functional.owl,22,17,14668,22,15592,21,15304
approximated_7f246da3-6de8-43c7-8c92-05e901fe656e_jo_fitting.ttl_functional.owl,44,19,14832,24,15812,29,15592
approximated_7f287dc9-bdce-4650-9c6a-da3d089e72ae_Diptych.rdf_functional.owl,44,23,14840,26,15728,28,15768
approximated_7f4d7d93-3ec3-4946-a66a-11c739768db0_Hefekranz.ttl_functional.owl,44,21,14980,24,15748,24,15636
approximated_7f50b973-bdac-44e2-87de-03dd099a8d1c_Person_n.owl_functional.owl,96,24,15232,31,16428,31,16200
approximated_7f5e5c71-ffac-434d-9a64-052ee6e33c81_Grounding.owl_functional.owl,91,23,15144,26,16376,31,16012
approximated_7f89b14e-ea30-47e9-ba29-8efddc258db4_Design.v23.owl_functional.owl,83,29,15968,28,16196,29,16168
approximated_7f8a70f4-adf9-4ddc-8e36-ca56da3baa5b_PaulFisher.rdf_functional.owl,64,20,14956,23,15856,23,15672
approximated_7fa473bb-2ce7-4f60-8fd5-4280f357a687_conut_milk.rdf_functional.owl,44,21,14804,27,15732,26,15628
approximated_7fa9c540-3c8c-4ea6-9188-78cd69283470_ching_tool.ttl_functional.owl,44,18,14784,26,15760,22,15768
approximated_7fb7d222-a2f2-479d-b231-45299c5d23db_uffexample.owl_functional.owl,42,17,14740,21,15580,22,15520
approximated_7fb853b7-e280-48ec-9210-69f4d0e0791a_Platypus.rdf_functional.owl,44,17,15016,24,15764,23,15584
approximated_7fc1ca3e-5f93-4945-a2ce-bb3bde545b7e_trait.owl_functional.owl,38,19,14860,23,15608,25,15456
approximated_7fcefc52-19de-4cb5-95d5-01508bf4d996_ebelkuchen.ttl_functional.owl,44,20,14780,26,15948,26,15636
approximated_7fe4416d-089d-485a-b64a-69f875cfdc4e_er_monitor.rdf_functional.owl,44,22,14792,30,15760,25,15692
approximated_7feb6d77-20df-4fa5-a2c0-809c1951d695_herot_cell.ttl_functional.owl,44,20,14784,23,15752,24,15640
approximated_7fed3558-4383-4835-b555-cce6cde4e508_sampleds2.owl_functional.owl,101,24,15344,32,16400,30,16336
approximated_800a2f9e-b794-4655-ae56-51abdaf00200_Enrollment.owl_functional.owl,65,27,16040,27,16300,26,16316
approximated_80150995-a5eb-433a-b2eb-c4a8c4e13782_Conference.owl_functional.owl,28,19,14796,24,15512,24,15416
approximated_801fec7b-cec3-478b-b39f-0fba4dba11e8_goldDLP.owl_functional.owl,202,43,17220,40,17700,41,17328
approximated_802f0e98-2591-4f4b-8f72-cb1d839e40b8_PaulFisher.rdf_functional.owl,64,21,14960,25,15884,24,15680
approximated_803812f9-a7c7-4d42-a6c3-6d235b91fc78_odm2codo.owl_functional.owl,87,21,15116,30,16436,29,16220
approximated_803c37f6-25ff-472e-a7f3-ad88a9e0a08b_Bombay_duck.ttl_functional.owl,44,18,15016,24,15880,22,15588
approximated_803ef238-90fa-4b06-9434-6f78f4bf5ef1_Amiga_600.ttl_functional.owl,44,18,15020,23,15708,22,15608
approximated_8064077a-4fb0-481a-8489-4bafb297e42b_tambis.owl_functional.owl,196,32,15828,38,17800,37,17636
approximated_806bf3e6-b3ce-476e-a78d-08aff469898e_mer_cheese.rdf_functional.owl,44,18,14848,23,15776,23,15596
approximated_80864ca1-3e72-4a96-be2b-699f4ce85b70_Friends.ttl_functional.owl,44,18,14796,24,15968,26,15772
approximated_809c5dce-02a2-43d7-9b6f-20c2b7b1bdd3_bspo.owl_functional.owl,83,26,15152,29,16320,29,16260
approximated_80ba3adf-079e-4ec6-9c20-8573070460d4_bfo_2.owl_functional.owl,39,21,14740,25,15820,23,15532
approximated_80bcbfb2-3841-4520-b3c2-3ad43d54206a_5.rdf_functional.owl,26,22,14916,27,15904,27,15804
approximated_80d3045e-e709-447f-8a60-64f953ed6718_disk_drive.ttl_functional.owl,44,22,14880,26,15724,26,15584
approximated_80d6299f-77a9-4640-94b7-dab503cfb0be_po_anatomy.owl_functional.owl,299,41,17104,59,21096,57,20596
approximated_80e03fd8-6ba7-4706-a537-98ee0eb48712_ationship1.rdf_functional.owl,24,19,14632,24,15356,22,15240
approximated_81035ba0-44cd-447e-8c1d-cc1b6e9d7f34_bom.owl_functional.owl,59,23,15276,33,16636,31,16392
approximated_812b4ad7-4cfc-4619-9be4-69a36ada470c_Burin.ttl_functional.owl,44,19,14820,26,15776,24,15588
approximated_812f72c7-46ed-488a-923a-8ac062db186f_Process.owl_functional.owl,54,18,15012,27,15996,25,15828
approximated_812ff298-aaf9-48d3-be33-3296a9788cb2_PaulFisher.rdf_functional.owl,64,19,14852,26,16028,26,15632
approximated_813dcff3-5537-47d3-804d-2ece0a44729d_heets.swrl.owl_functional.owl,28,18,14860,24,16080,26,15848
approximated_813f3c76-c50e-4baa-b5aa-19baf1e707fd_tance_edit.owl_functional.owl,809,52,18976,89,26460,82,25332
approximated_814acacf-c501-470c-bd1c-b8d8e76d11aa_elBaseline.owl_functional.owl,41,20,14684,24,15592,25,15380
approximated_815a3212-921e-4396-bef9-5e8066b47e5e_Flagstone.rdf_functional.owl,44,23,14872,25,15708,23,15632
approximated_815fd0af-397b-4668-8847-27d1abca3d6b_Bisquick.rdf_functional.owl,44,22,14828,29,15812,31,15624
approximated_816aa0f6-6ccc-4ac5-8106-2038bd9b039b_specific_functional.owl,77,24,15276,29,16516,29,16252
approximated_818f63e2-8d91-42f8-82bf-27e7bd486398_Offthegrid.rdf_functional.owl,44,21,14840,27,15788,23,15772
approximated_81a38c30-8760-47b9-8363-87ea3e73ddf2_dulplus.rdf_functional.owl,223,32,16168,46,18388,42,17996
approximated_81ccf70e-b4cd-493d-8478-a780ac42ac27_ecg.owl_functional.owl,36,16,14796,24,15772,25,15600
approximated_81ce62cd-da00-4e74-a011-753e0293ec5b_EHR_RM.owl_functional.owl,94,23,15316,32,16968,31,16716
approximated_81e8eb63-b9fe-4c50-b8fc-ec200fea1969_spinbox_functional.owl,24,18,14848,28,15448,20,15416
approximated_81f5aa50-2562-41b0-a29c-b9e1d495d796_appingShen.owl_functional.owl,234,52,17876,51,18308,51,18040
approximated_81f73e92-981d-4ee9-8709-a094eb3844de_onto.rdf_functional.owl,61,21,14848,27,15908,24,15732
approximated_81ff541e-2600-4862-95fe-83813875124d_ss_bracing.rdf_functional.owl,44,19,14964,24,15736,24,15676
approximated_82006a15-7367-4d03-945f-33f5e4a44273_onto.rdf_functional.owl,67,21,14952,28,16220,26,15988
approximated_820dd1ed-fdf7-4846-abab-39e44c177188_stuffbfo.owl_functional.owl,43,19,14708,26,15720,25,15436
approximated_82120d61-cbe8-41eb-b53a-abcbdd7055df_ine_ticket.rdf_functional.owl,44,19,14788,22,15820,25,15588
approximated_8218f10b-5cba-4f3a-9630-c77904c23e8b_types_functional.owl,24,17,14668,22,15584,22,15412
approximated_8220a5c1-906a-489a-b7cd-9a4a5c03f643_Switch.rdf_functional.owl,44,20,14936,26,15820,23,15584
approximated_822bcaf6-d83a-4f7e-b53d-d8fafcf2213e_IAO_import.owl_functional.owl,37,20,14700,23,15820,21,15716
approximated_82328b8a-70c3-452d-a0d2-411f97f022f3_Guarana.ttl_functional.owl,44,20,14812,25,15816,25,15676
approximated_82365ea3-4fbb-4f4c-b1e3-0c5604f6d88a_oplweb_functional.owl,72,24,15180,36,16728,32,16384
approximated_823969ae-818e-466c-9a3d-31d74170ffb3_NTNames.owl_functional.owl,318,57,19816,60,20912,58,20172
approximated_82581fc1-0bad-4cfd-9267-c34557210e55_Clam.ttl_functional.owl,44,21,14968,26,15756,25,15680
approximated_82597313-38cf-4eac-a1d2-9d3031d22eb3_Kirsch.rdf_functional.owl,44,17,14788,24,15728,25,15624
approximated_8266aead-9347-4705-b866-767ad704739a_Transistor.rdf_functional.owl,44,22,14828,24,15892,27,15620
approximated_8297b44d-ea8f-47c1-9ac5-7be445dfe365_photography.owl_functional.owl,172,29,15528,33,17040,33,16972
approximated_82988d77-9944-4bdf-a45d-90255dce9fc1_from_oiled.owl_functional.owl,166,29,15612,47,17484,41,17172
approximated_82a2b4c8-e8c8-4a2c-970a-9352ebb0591c_taontology.owl_functional.owl,36,22,14956,26,15800,27,15688
approximated_82a41ef0-276b-4211-ae30-5967a9c8f677_Amiga_4000.ttl_functional.owl,44,21,14788,28,15712,25,15820
