Ont name,Classification time (ms),Reasoner
ore_ont_10892.owl,78424.66666666669,HERMIT
ore_ont_10134.owl,2993.0,HERMIT
ore_ont_2658.owl,7138.0,HERMIT
ore_ont_934.owl,1800000.0,HERMIT
ore_ont_11315.owl,70558.66666666669,HERMIT
ore_ont_2700.owl,76265.66666666669,HERMIT
ore_ont_1820.owl,26383.33333333333,HERMIT
ore_ont_9809.owl,647636.0,HERMIT
ore_ont_1970.owl,6057.333333333332,HERMIT
ore_ont_11526.owl,2224.0,HERMIT
ore_ont_3022.owl,2571.333333333333,HERMIT
ore_ont_869.owl,3596.333333333333,HERMIT
ore_ont_2662.owl,2099.6666666666665,HERMIT
ore_ont_3584.owl,155133.66666666663,HERMIT
ore_ont_16703.owl,8697.0,HERMIT
ore_ont_8359.owl,117143.66666666669,HERMIT
ore_ont_11196.owl,-1.0,HERMIT
ore_ont_7969.owl,2003.0,HERMIT
ore_ont_2624.owl,5248.333333333333,HERMIT
ore_ont_12536.owl,9018.666666666666,HERMIT
ore_ont_13229.owl,1800000.0,HERMIT
ore_ont_727.owl,2169.6666666666665,HERMIT
ore_ont_11140.owl,3157.666666666666,HERMIT
ore_ont_1853.owl,2238.333333333333,HERMIT
ore_ont_9558.owl,74182.0,HERMIT
ore_ont_11636.owl,53406.66666666666,HERMIT
ore_ont_6889.owl,1877.666666666667,HERMIT
ore_ont_1091.owl,59356.66666666666,HERMIT
ore_ont_4261.owl,2228.0,HERMIT
ore_ont_10689.owl,158833.0,HERMIT
ore_ont_10173.owl,90934.0,HERMIT
ore_ont_16359.owl,1837.333333333333,HERMIT
ore_ont_7025.owl,48535.0,HERMIT
ore_ont_6354.owl,3092.666666666666,HERMIT
ore_ont_13674.owl,88562.0,HERMIT
ore_ont_14746.owl,1360.0,HERMIT
ore_ont_3258.owl,1911.666666666667,HERMIT
ore_ont_11972.owl,1845.333333333333,HERMIT
ore_ont_10340.owl,1446.333333333333,HERMIT
ore_ont_7893.owl,3436.0,HERMIT
ore_ont_237.owl,2063.333333333333,HERMIT
ore_ont_8792.owl,5157.333333333333,HERMIT
ore_ont_11005.owl,176339.66666666663,HERMIT
ore_ont_3639.owl,1764.0,HERMIT
ore_ont_8684.owl,82532.0,HERMIT
ore_ont_8322.owl,110722.66666666669,HERMIT
ore_ont_10133.owl,1963.666666666667,HERMIT
ore_ont_6862.owl,4561.333333333333,HERMIT
ore_ont_541.owl,3206.0,HERMIT
ore_ont_5164.owl,1705.333333333333,HERMIT
ore_ont_3954.owl,8482.333333333334,HERMIT
ore_ont_16821.owl,2129.0,HERMIT
ore_ont_1034.owl,1822.0,HERMIT
ore_ont_11064.owl,2473.6666666666665,HERMIT
ore_ont_15680.owl,6266.666666666668,HERMIT
ore_ont_11416.owl,2331.333333333333,HERMIT
ore_ont_412.owl,3733.0,HERMIT
ore_ont_8047.owl,1831.0,HERMIT
ore_ont_8627.owl,8184.333333333332,HERMIT
ore_ont_1469.owl,53977.0,HERMIT
ore_ont_8460.owl,3772.333333333334,HERMIT
ore_ont_4557.owl,226390.66666666663,HERMIT
ore_ont_10419.owl,2519.6666666666665,HERMIT
