name,metrics
ore_ont_6437.owl,0.3098920.1705230.5639720.2200550.5048570.1237990.2825470.8894720.3891820.3660990.0627340.3281410.00.1852960.4570760.1388020.3172110.2151950.4638250.0559190.01940.17480.3674950.52430.47060.52940.43530.00.940909
ore_ont_8050.owl,0.2631810.1008690.4273160.1573130.4073370.00.00.8264260.8353660.00.00.00.3520970.2075610.3871030.1498970.233290.0733730.3170960.072420.00.00.00.01.00.00.00.01.0
ore_ont_165.owl,0.1685680.0976940.3013620.0667390.3368890.4163820.3035121.01.00.00.00.00.00.2593120.3795910.0924710.3462830.1127750.3007730.1214050.00.00.2009241.01.00.00.03570.00.830769
ore_ont_2901.owl,0.2915620.0841760.4035920.2245720.4181260.1833330.4001880.9662720.9467080.3594450.1454780.2422920.0812270.1929190.4543880.0686640.2730410.098610.4119240.0655950.21990.00.3775950.6441.00.00.00.2456140.928571
ore_ont_13071.owl,0.6422510.0794720.2932030.1765590.6442360.005750.1541860.9999630.9743660.3038490.0022250.00.00.1459810.6659210.0577570.7383160.0901540.6754030.0296270.84590.00.5234410.15391.00.00.00.01.0
ore_ont_4952.owl,0.7363260.1469390.3970820.2496050.7811170.7641730.5216251.00.9999660.7199290.2706890.3348570.00.2707730.7938430.1005010.7898060.1765570.7886130.1776160.01050.00.7780370.98951.00.00.00.00.94382
ore_ont_6443.owl,0.500030.0629790.3565860.1227940.5310280.0949680.2899950.9735140.9745450.3392860.0146980.354160.5303590.1954440.5702680.0726170.309360.0754090.5313850.0696960.00.00.4818050.80411.00.00.00.00.887821
ore_ont_6246.owl,0.1361040.1352280.4028150.6339330.3851020.0784310.2128090.6047370.5084750.2980230.1652370.2758380.00.1610570.3364050.1069640.2655580.1641180.3228890.0885070.17950.5470.2690.25641.00.00.00.00.77027
ore_ont_6109.owl,0.5018210.120290.1362580.0015390.5822780.4956840.01.01.00.00.00.00.00.3023840.6282180.1052540.6444260.1423470.5751280.1618110.00.00.1803721.01.00.00.00.00.0
ore_ont_11004.owl,0.1601120.1372540.4664370.1988640.3666490.00.00.7752530.1333330.00.00.1079930.2962870.0888860.1808630.2785070.2179620.2832970.2398140.0244350.00.00.00.00.55950.44050.00.00.957895
ore_ont_10006.owl,0.6567720.1338370.2641010.0192360.70030.4270910.4741490.9996170.9997270.6579720.3132080.5953980.2177010.2097260.6971670.0841710.6666520.1598340.7019030.1298580.39670.00720.4528320.58511.00.00.01320.5099340.900356
ore_ont_3484.owl,0.4799060.0793863.3E-40.00.5213880.00.01.01.00.00.00.00.00.00.00.00.00.090.5367020.028930.00.00.00.00.00.00.00.00.0
ore_ont_16268.owl,0.2373320.1193030.2480670.5178010.4464330.00.01.01.00.00.00.00.00.00.00.0428230.3571670.1415280.4221270.0287580.49750.00.4158210.50251.00.00.00.00.0
ore_ont_1559.owl,0.871130.2946890.5592860.4839590.9756220.8807880.9538691.01.00.8834270.2250.9256860.00.4754170.9763680.2115540.8856090.3653850.9813860.3951910.00.00.9654841.01.00.00.00.0555561.0
ore_ont_5596.owl,0.7872940.1198410.3063050.5255680.7760450.2337160.01.01.00.00.00.00.8598140.3168740.3718950.7937870.6762590.2493430.3182160.2450490.00.00.3232981.01.00.00.00.0343141.0
ore_ont_11115.owl,0.3706160.0556220.3338270.0600650.4059730.0591450.1077711.01.00.2219340.0084650.4115490.4765730.2083170.4677160.0701510.2920830.0685230.4056150.0702770.00.00.3167111.01.00.00.00.01.0
ore_ont_3775.owl,0.1380740.0826970.3175630.0154580.2943590.0161290.01.01.00.00.00.00.00.1794930.2767090.1239440.233290.0273850.1853840.0289630.00.00.0542971.00.22220.77780.6420.00.990741
ore_ont_5241.owl,0.3444790.0313860.0814650.0504030.3468780.0894190.3211361.01.00.3071060.0079820.00.6482010.197190.4810470.2358790.6154980.0450020.4154290.0440620.00.00.3245511.01.00.00.00.01.0
ore_ont_1016.owl,0.4467270.126260.4516130.4662880.5858140.2890870.474711.01.00.4722050.1425360.5443480.00.1546770.5564280.0863940.3065650.1573490.5732260.0691410.51260.00.5554640.48741.00.00.36320.01.0
ore_ont_2632.owl,0.6638110.1200680.3390730.2006760.7063890.7181550.4694240.9997060.9997060.6916380.5690840.6476040.00.164420.6926030.0666730.6656980.1421490.7151680.1006510.02915.0E-40.6966750.96951.00.00.01320.5099340.900356
ore_ont_8940.owl,0.3754840.0463340.1833730.2335310.4745410.161650.407431.00.9895570.3257920.0112120.1079930.6352550.168230.5004220.1762060.5773810.0983780.4779050.0533210.41090.00.4419570.58911.00.00.00.00.764706
ore_ont_6378.owl,0.2151280.0328580.2694410.00.1713330.00.01.01.00.00.00.00.00.1949130.3889060.0454670.242110.0304890.3053070.0349610.00.00.00.00.00.00.00.00.0
ore_ont_16750.owl,0.4111310.2503370.4975780.6038440.6153630.00.00.8521591.00.00.00.00.5689620.0982030.3605290.3555210.5767640.1431490.3887190.0292850.27610.22220.3925060.50171.00.00.05260.00.866667
ore_ont_5260.owl,0.4964630.1828760.4989490.488170.6651190.4230460.6101620.9983960.9969560.5897850.2907910.4787490.00.2416160.6424320.1284670.3630610.2227770.6472770.1477420.52560.00.6086110.47141.00.00.00.3456790.913043
ore_ont_7401.owl,0.7018610.0534030.2502960.3452140.639350.00.01.01.00.00.00.647040.7129650.1126050.6726290.0547260.7000690.0663870.6968750.0264690.00460.00.7553830.99541.00.00.00.2121210.777778
ore_ont_6212.owl,0.883960.1583170.2597760.119310.8794840.6840390.8778250.999990.9999950.00.00.00.00.3285590.9054240.1242030.7693680.1909560.8960930.2081160.00.00.827140.99991.00.00.00.00.0
ore_ont_762.owl,0.7592180.1629870.2778610.4220180.8239710.3683140.7386011.01.00.00.00.00.00.2621290.8223020.1157370.80190.1969460.8320110.16220.55080.00.7946450.44921.00.00.00.3888891.0
ore_ont_3418.owl,0.2470110.0505740.2967420.0422230.305580.0474380.01.01.00.1734140.0136920.1817090.00.2073670.4186960.0551890.2785690.0538730.3438970.0556610.00.00.234671.01.00.00.00.01.0
ore_ont_1997.owl,0.1014640.1566890.4387970.5663890.3895560.3114750.2563730.7688310.4977580.2773250.1662130.2831280.00.1288360.3213930.1031740.1916540.1944760.3385680.0641960.21620.18020.30160.41441.00.00.00.01.0
