Ontology,SOV,ENR,TIP,EOG,RCH,CYC,GCI,HGCI,ESUB,DSUB,CSUB,SUPECHN,SUBECHN,SUBCCHN,SUPDCHN,DSUPECHN,DSUBECHN,DSUBCCHN,DSUPDCHN,ELCLSPRT,ELAXPRT,HLC,RHLC,IHR,IIR,ITR,IND,aNOC,mNOC,tNOC,aCID,mCID,tCID,aCOD,mCOD,tCOD,aDIT,mDIT,tDIT,aNOP,mNOP,tNOP,ENUM,ENUMP,NEG,NEGP,CONJ,CONJP,DISJ,DISJP,UF,UFP,EF,EFP,VALUE,VALUEP,SELF,SELFP,MNCAR,MNCARP,MXCAR,MXCARP,CAR,CARP,OBP,OBPP,DTP,DTPP,FUN,FUNP,SYM,SYMP,TRN,TRNP,IFUN,IFUNP,ASYM,ASYMP,REFLE,REFLEP,IRREF,IRREFP,SUBP,EQVP,DISP,INV,DOMN,RANG,CHN,CHNP,ELPROP
ore_ont_10004.owl,2533,1.219291339,551,2.353798242,0.002364998,557,2,0,0.00260078,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.212455656,27,3076,1.215608987,27,3084,1.219944817,4,3095,0,0,0,1.216791486,4,3087,0,0,0,0,2,0.3333,0,0,0,0,4,0.6667,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.333333333,1
ore_ont_10006.owl,29747,2.177436371,21360,1.671193831,0.018300567,35734,0,11147,0.427090654,0,0,1188,2100,0,0,8,8,0,0,0.999668457,0.999726707,28996,0.60656012,7138,7132,7335,18,1.132248119,7130,34152,1.605510062,7130,48427,2.179524583,10,65741,0,0,0,1.708119219,6,51522,4,0.0072,0,0,219,0.3967,2,0.0036,4,0.0072,323,0.5851,0,0,0,0,0,0,0,0,0,0,151,1,0,0,2,0.0132,5,0.0331,21,0.1391,0,0,0,0,0,0,0,0,108,0,0,23,33,23,66,0.437086093,0.900355872
ore_ont_10008.owl,41715,2.533891782,64908,2.529778964,0.055617227,67756,0,219,0.429473995,0,0,1947,4398,0,0,6,6,0,0,1,0.999943328,35784,0.405484419,17812,0,17859,0,1.993656691,17777,88002,2.058562334,17777,90867,2.53535262,11,111913,0,0,0,2.470446977,11,109048,0,0,0,0,219,0.0892,0,0,0,0,2236,0.9108,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,5,0.1724,8,0.2759,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.772727273
ore_ont_10009.owl,309,1.460093897,75,2.411958975,0.62244898,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371134021,0.242990654,14,0.026415094,33,0,0,112,1.091836735,8,107,3.255102041,39,319,2.040816327,9,200,0,0,0,1.755102041,9,172,0,0,0,0,0,0,7,0.1148,13,0.2131,0,0,0,0,0,0,2,0.0328,24,0.3934,15,0.2459,24,0.3429,46,0.6571,0,0,0,0,1,0.0143,0,0,0,0,0,0,0,0,10,0,0,0,59,55,0,0,1
ore_ont_10016.owl,103900,2.477005092,157861,1.64953701,0.081444283,167069,0,0,0.693038159,0,0,157868,252551,0,0,2,2,0,0,0.999973476,0.999984445,0,0,0,0,0,0,2.273499664,15749,257151,2.354935106,15749,266362,2.47709269,94,280179,0,0,0,2.395657248,94,270968,0,0,3,0.0003,0,0,0,0,0,0,9209,0.9997,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10019.owl,54,2.786259542,2,2.994142121,0.611111111,234,0,29,0,0,0,0,0,0,0,0,0,0,0,0.872,0.435114504,0,0,35,0,0,0,0.373015873,28,47,2.23015873,35,281,2.785714286,11,351,0,0,0,1.007936508,2,127,0,0,0,0,37,0.4805,4,0.0519,0,0,24,0.3117,0,0,0,0,2,0.026,0,0,10,0.1299,5,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,5,0,0,0.736842105
ore_ont_10026.owl,779,10.86797066,90,3.525973283,0.1,8076,27,0,0.111392405,0,0,9,16,0,0,3,3,0,0,1,1,6,0.003018109,41,41,0,398,1.012820513,22,395,1.920512821,47,749,1.328205128,6,518,0,0,0,1.228205128,6,479,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0.666666667
ore_ont_10032.owl,78988,1.603025858,42732,2.714757307,0.135298175,55124,0,0,0.351107533,0,0,70128,84374,0,0,21,21,0,0,0.999967155,0.999967136,34715,0.285215462,34715,0,0,0,1.332497619,218,121709,1.467784845,218,134066,1.603115865,100,146427,0,0,0,1.467828638,100,134070,0,0,3,0.0002,0,0,0,0,0,0,12355,0.9998,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
ore_ont_10053.owl,6141,1.982119636,6031,0.932239738,0.001788327,6042,2,0,0.495602137,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.977727199,5428,12165,1.979840676,5428,12178,1.982441879,4,12194,0,0,0,1.980328402,2,12181,0,0,0,0,2,0.1818,0,0,0,0,9,0.8182,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ore_ont_10056.owl,432,1.126410835,47,1.68793595,0.024886878,56,0,0,0.070663812,0,0,5,5,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1.052036199,45,465,1.076923077,45,476,1.128959276,3,499,0,0,0,1.104072398,3,488,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
