@relation metrics+reasoning_time

@attribute ontology string
@attribute SOV numeric
@attribute ENR numeric
@attribute EOG numeric
@attribute RCH numeric
@attribute CYC numeric
@attribute ESUB numeric
@attribute SUPECHN numeric
@attribute ELCLSPRT numeric
@attribute ELAXPRT numeric
@attribute HLC numeric
@attribute RHLC numeric
@attribute IHR numeric
@attribute IND numeric
@attribute aNOC numeric
@attribute tNOC numeric
@attribute aCID numeric
@attribute mCID numeric
@attribute aCOD numeric
@attribute tCOD numeric
@attribute aNOP numeric
@attribute CONJP numeric
@attribute UFP numeric
@attribute EF numeric
@attribute EFP numeric
@attribute OBPP numeric
@attribute DTPP numeric
@attribute FUNP numeric
@attribute CHNP numeric
@attribute ELPROP numeric
@attribute reasoning_time numeric

@data
ore_ont_6437.owl,0.309892,0.170523,0.563972,0.220055,0.504857,0.123799,0.282547,0.889472,0.389182,0.366099,0.062734,0.328141,0,0.185296,0.457076,0.138802,0.317211,0.215195,0.463825,0.055919,0.0194,0.1748,0.367495,0.5243,0.4706,0.5294,0.4353,0,0.940909,5.236442
ore_ont_9545.owl,0.632089,0.142502,0.334337,0.246593,0.706684,0.520965,0.474149,1,0.999878,0.614604,0.185487,0.59536,0,0.23668,0.708978,0.083845,0.666652,0.170888,0.706122,0.169778,0.0309,0,0.692012,0.9691,1,0,0,0,0.772727,7.254649
ore_ont_12284.owl,0.51595,0.067568,0.274426,0.414013,0.615576,0.559891,0.578346,1,1,0,0,0,0.712266,0.201853,0.630208,0.140605,0.659812,0.129156,0.618405,0.09879,0,0,0.660711,1,1,0,0,0,0,6.491735
ore_ont_6720.owl,0.339594,0.042721,0.250336,0,0.335584,0,0,1,0.996904,0,0,0,0.499754,0.191991,0.384199,0.18933,0.262362,0.079875,0.324952,0.030022,0,0,0,0,0,0,0,0,0,4.666579
ore_ont_11895.owl,0.1419,0.053329,0.336263,0.139661,0.248058,0.041667,0,0.894183,0.862069,0,0,0,0.195122,0.192958,0.332383,0.059544,0.215102,0.060576,0.25707,0.055786,0,0.1579,0.152432,0.3158,0.6,0.4,0.4,0,1,4.514516
ore_ont_10161.owl,0.679199,0.476845,0.737545,0.329356,0.896602,0.999997,0,1,1,0,0,0,0,0.720134,0.896785,0.337995,0.69178,0.59837,0.883511,0.678811,0.0001,0,0.763308,0.9999,1,0,0,0,0,9.46444
ore_ont_14934.owl,0.671827,0.159451,0.376162,0.0985,0.734466,0.460565,0.504793,1,1,0.615844,0.106219,0.644652,0,0.295785,0.747881,0.106073,0.726546,0.19256,0.731888,0.211417,0.0631,0,0.635983,0.9369,1,0,0,0.244186,1,7.618251
ore_ont_1212.owl,0.669318,0.051451,0.169577,0.095558,0.592437,0.097561,0,1,1,0,0,0.565158,0.77073,0.182384,0.321934,0.773146,0.688368,0.054522,0.248235,0.04855,0,0,0.200924,1,1,0,0,0,1,5.880533
ore_ont_3231.owl,0.222,0.159487,0.417428,0.506572,0.436539,0.450867,0.337284,0.98599,0.96648,0.307633,0.064613,0.253918,0,0.19777,0.34456,0.20135,0.257318,0.149304,0.305526,0.108019,0,0,0.342279,0.975,0.9848,0.0152,0.0076,0,0.819797,4.750712
ore_ont_7488.owl,0.571429,0.036673,0.111772,0.158017,0.455998,0.219106,0.419918,0.99119,0.979842,0.103063,0.000158,0.107993,0.686484,0.213175,0.516483,0.25091,0.633861,0.085668,0.465896,0.077267,0,0,0.441957,0.9493,1,0,0,0,0.8,5.79707
ore_ont_2803.owl,0.695832,0.151202,0.449388,0.314681,0.769502,0.397437,0.75104,1,1,0.452348,0.005211,0,0,0.288305,0.778682,0.112177,0.64441,0.181886,0.765929,0.178168,0,0,0.771429,1,1,0,0,0,1,8.133979
ore_ont_15692.owl,0.484477,0.075981,0.388227,0.150962,0.527843,0.027085,0.251857,0.86252,0.844951,0.365037,0.022128,0.372602,0.529332,0.194661,0.557355,0.083573,0.30936,0.088357,0.522934,0.068053,0,0.5025,0.36306,0.172,0.9139,0.0861,0,0,0.769397,5.682445
ore_ont_2134.owl,0.721944,0.176112,0.409331,0.062394,0.776773,0.463354,0.591798,1,0.999966,0.709459,0.228891,0.696722,0,0.337085,0.794158,0.126676,0.789811,0.213804,0.775212,0.239327,0.0601,0,0.637577,0.9399,1,0,0,0,0.772727,8.304495
ore_ont_802.owl,0.48835,0.133336,0.370201,0.030701,0.584726,0.012057,0.185658,0.97587,0.981651,0.181429,0.000712,0,0.608755,0.189281,0.484345,0.174481,0.612266,0.036057,0.419023,0.032532,0,0.1905,0.200924,0.2857,0.4432,0.5568,0.2159,0,0.97546,4.790266
ore_ont_3463.owl,0.119522,0.027851,0.255425,0,0,0,0,1,1,0,0,0,0,0.189748,0.321393,0.042625,0.152565,0.024086,0.22853,0.027618,0,0,0,0,0,0,0,0,0,4.402646
ore_ont_8557.owl,0.568098,0.351646,0.685351,0.04531,0.753556,1,0,1,1,0,0,0,0,0.581694,0.762091,0.259109,0.688621,0.438245,0.727189,0.500788,0,0,0.493426,1,1,0,0,0,0,7.462023
ore_ont_13150.owl,0.477456,0.078851,0.395374,0.154262,0.52642,0.026973,0.193545,0.858931,0.839659,0.380891,0.029604,0.424122,0.521452,0.192227,0.545457,0.084404,0.311171,0.086714,0.510093,0.065593,0,0.4748,0.350731,0.1686,0.9396,0.0604,0,0,0.844904,5.70711
ore_ont_16519.owl,0.736526,0.153107,0.397232,0.054223,0.771084,0.463085,0.592418,1,0.999966,0.709459,0.228758,0.696722,0,0.310408,0.794197,0.111869,0.789811,0.184363,0.775249,0.205794,0.0601,0,0.637577,0.9399,1,0,0,0,0.772727,8.387236
ore_ont_8640.owl,0.356782,0.425262,0.490091,0.250839,0.645471,0.219321,0,1,1,0,0,0.301186,0.428763,0.203927,0.470685,0.080106,0.390215,0.115697,0.43161,0.102231,0,0,0.433456,1,1,0,0,0,0.666667,4.944021
ore_ont_9299.owl,0.463182,0.173794,0.514112,0.456424,0.633047,0.426336,0.57371,0.998885,0.983952,0.188552,0.000805,0.181709,0,0.242466,0.616207,0.123182,0.358681,0.211655,0.613352,0.145128,0.375,0,0.593991,0.6228,1,0,0,0,1,6.051305
ore_ont_15695.owl,0.66697,0.18361,0.499223,0.483869,0.781173,0.557919,0.753916,0.997048,0.998904,0.733978,0.43243,0.736121,0.272742,0.284311,0.774489,0.12919,0.606473,0.223907,0.777876,0.19121,0.3589,0,0.766468,0.6356,1,0,0,0.37664,0.843501,14.403298
ore_ont_15921.owl,0.44834,0.151842,0.460853,0.36971,0.572695,0.303896,0.218169,1,1,0.124609,0.000359,0.339699,0.599187,0.234005,0.397775,0.265385,0.442531,0.178411,0.358486,0.168113,0,0,0.36306,1,1,0,0,0,1,5.223953
ore_ont_14817.owl,0.723207,0.155394,0.470221,0.352665,0.792624,0.403983,0.771935,0.998026,0.998837,0.679807,0.135216,0.554398,0,0.277325,0.796538,0.113646,0.64441,0.187486,0.792826,0.170278,0.144,0,0.793501,0.8509,1,0,0,0.37234,0.94686,11.001828
ore_ont_3816.owl,0.509864,0.495561,0.649865,0.006024,0.762696,0,0,0.993357,1,0,0,0.745564,0.632102,0.190798,0.390661,0.368343,0.633398,0.028978,0.308747,0.030391,0,0,0,0,0.8029,0.1971,0.1168,0,0.812121,6.467181
ore_ont_7908.owl,0.787724,0.143923,0.358298,0.164523,0.80715,0.648767,0.696138,1,0.99998,0.737319,0.208318,0.334857,0,0.29018,0.829458,0.106418,0.839993,0.172646,0.819097,0.181118,0.0236,0,0.777498,0.9764,1,0,0,0,0.94382,8.974154
ore_ont_9248.owl,0.412133,0.08868,0.415883,0.180719,0.498497,0.013262,0.092829,0.813202,0.752405,0.362636,0.041722,0.367469,0.370959,0.192278,0.520209,0.071273,0.250068,0.102541,0.488322,0.077081,0,0.5556,0.255222,0.0604,0.8421,0.1579,0,0,0.813333,5.243509
ore_ont_16268.owl,0.237332,0.119303,0.248067,0.517801,0.446433,0,0,1,1,0,0,0,0,0,0,0.042823,0.357167,0.141528,0.422127,0.028758,0.4975,0,0.415821,0.5025,1,0,0,0,0,4.434777
ore_ont_10423.owl,0.478982,0.075302,0.385208,0.154186,0.521984,0.026745,0.193545,0.858781,0.839222,0.381391,0.0303,0.396794,0.523843,0.192264,0.546023,0.084903,0.312943,0.086758,0.510732,0.065646,0,0.475,0.350731,0.1673,0.9397,0.0603,0,0,0.844904,5.691485
ore_ont_10384.owl,0.455722,0.055854,0.220609,0.191707,0.558901,0.434657,0.536634,1,1,0.516108,0.083509,0.356183,0.696158,0.259529,0.593914,0.193937,0.699491,0.134926,0.551793,0.133232,0,0,0.528937,1,1,0,0,0,1,5.991465
ore_ont_12061.owl,0.172766,0.038627,0.267586,0,0.200108,0,0,1,1,0,0,0,0,0.203402,0.36406,0.050138,0.212138,0.037868,0.27645,0.043422,0,0,0,0,0,0,0,0,0,4.382027
ore_ont_13621.owl,0.491846,0.080622,0.3977,0.190023,0.559427,0.196062,0.366994,0.962304,0.949309,0.367143,0.021417,0.445534,0.529618,0.19882,0.565766,0.076774,0.31027,0.093879,0.532596,0.081101,0.0742,0,0.502908,0.7457,1,0,0,0.017381,1,5.774552
ore_ont_8226.owl,0.126348,0.065973,0.391844,0.213389,0.275683,0.232,0.223131,1,0.992188,0.173414,0.052767,0.190108,0,0.183533,0.323002,0.057026,0.17909,0.097363,0.267924,0.078842,0.0741,0,0.255222,0.9259,1,0,0,0,1,4.276666
ore_ont_10355.owl,0.164182,0.109656,0.250562,0.992377,0.380777,0.974359,0,1,1,0,0,0.337541,0.177291,0.187656,0.337693,0.101177,0.35352,0.218244,0.328431,0.157669,0,0,0.394058,1,1,0,0,0,1,4.343805
ore_ont_4187.owl,0.754222,0.273773,0.387867,0.659498,0.853948,0,0,0.818072,1,0,0,0,0.834231,0.08791,0.445945,0.665574,0.863723,0.151805,0.498602,0.029199,0.2778,0.2508,0.504799,0.4715,0.9545,0.0455,0.0455,0,0.866667,9.3867
ore_ont_7270.owl,0.10786,0.071183,0.362832,0.310171,0.274597,0.363636,0.073565,1,1,0,0,0,0,0.164568,0.307567,0.055288,0.205865,0.11114,0.267199,0.081831,0.1111,0,0.273898,0.8889,1,0,0,0,0,4.285883
ore_ont_15288.owl,0.485728,0.153291,0.443544,0.634845,0.597892,0.020833,0,0.318052,0.265306,0.16425,0.000481,0.363419,0.581947,0.185049,0.305533,0.455256,0.484595,0.1873,0.282341,0.112984,0,0.0984,0.086059,0.0328,0.4844,0.5156,0,0,1,5.030438
ore_ont_9684.owl,0.471323,0.050404,0.124424,0.401901,0.627397,0.361462,0.604403,0.999357,0.986597,0.591454,0.081901,0.22115,0.803691,0.247199,0.617561,0.297909,0.790389,0.201164,0.608959,0.14386,0.5656,0,0.554875,0.4329,1,0,0,0.382514,0.897959,7.809947
ore_ont_12987.owl,0.305502,0.084812,0.417105,0.122147,0.418635,0.162119,0.410994,1,1,0.340239,0.083646,0,0,0.234097,0.476093,0.074453,0.287424,0.097128,0.414916,0.095922,0,0,0.36821,1,1,0,0,0,1,4.70953
ore_ont_6727.owl,0.416157,0.087582,0.414973,0.174004,0.499487,0.012683,0.092829,0.82009,0.759057,0.362858,0.040499,0.367469,0.370959,0.192542,0.523185,0.070655,0.250068,0.100807,0.49081,0.07601,0,0.5577,0.255222,0.0601,0.8421,0.1579,0,0,0.813953,5.37836
ore_ont_1898.owl,0.210885,0.073358,0.378581,0.66791,0.350137,0,0,0.257826,0,0.173414,0.013849,0.236618,0.349526,0.16946,0.294313,0.15148,0.244174,0.131657,0.257486,0.115495,0,0.2131,0,0,0.3429,0.6571,0,0,1,4.611815
ore_ont_8806.owl,0.154775,0.087797,0.332961,0.13208,0.320348,0.391791,0.2006,1,1,0,0,0,0,0.242854,0.373656,0.079616,0.312062,0.10915,0.300069,0.109114,0,0,0.252149,1,1,0,0,0,1,4.426841
ore_ont_12194.owl,0.613467,0.030222,0.214977,0,0.368015,0,0,1,1,0,0,0,0,0.193758,0.659335,0.044831,0.217962,0.027119,0.609745,0.031096,0,0,0,0,0,0,0,0,0,6.697034
ore_ont_5253.owl,0.563616,0.033383,0.066815,0.064898,0.55666,0.108369,0.508636,1,1,0.469707,0.007628,0.13057,0.84257,0.217251,0.639982,0.282699,0.824423,0.071292,0.596979,0.068716,0.2287,0,0.49858,0.7713,1,0,0.0122,0,0.8375,8.299866
ore_ont_11081.owl,0.536855,0.206042,0.509437,0.404591,0.696421,0.376402,0.589866,1,1,0.236223,0.00074,0.250797,0,0.2964,0.681939,0.144387,0.55289,0.252612,0.678057,0.208004,0.6273,0,0.59685,0.3727,1,0,0,0.177536,1,7.076091
ore_ont_3418.owl,0.247011,0.050574,0.296742,0.042223,0.30558,0.047438,0,1,1,0.173414,0.013692,0.181709,0,0.207367,0.418696,0.055189,0.278569,0.053873,0.343897,0.055661,0,0,0.23467,1,1,0,0,0,1,4.484884
ore_ont_15301.owl,0.403859,0.044602,0.155636,0.090993,0.451812,0.009422,0,1,0.977679,0.070351,0.000166,0.35172,0.603801,0.191538,0.52098,0.137906,0.5332,0.072116,0.476325,0.042938,0.8821,0,0.255222,0.1179,1,0,0,0,1,5.4161
ore_ont_14237.owl,0.483749,0.073551,0.380442,0.150635,0.523531,0.027085,0.251857,0.862866,0.845603,0.364391,0.022587,0.330617,0.529332,0.194594,0.557355,0.083627,0.30936,0.08833,0.522959,0.068035,0,0.5034,0.36306,0.1723,0.9139,0.0861,0,0,0.772824,5.744071
ore_ont_6109.owl,0.501821,0.12029,0.136258,0.001539,0.582278,0.495684,0,1,1,0,0,0,0,0.302384,0.628218,0.105254,0.644426,0.142347,0.575128,0.161811,0,0,0.180372,1,1,0,0,0,0,5.870238
ore_ont_2017.owl,0.265871,0.083415,0.405762,0.254865,0.400049,0.525226,0.440467,1,1,0.384783,0.270859,0,0,0.200031,0.444241,0.065252,0.174431,0.095394,0.395272,0.07608,0,0,0.405913,1,1,0,0,0,1,4.532599
ore_ont_7663.owl,0.208693,0.028768,0.128657,0,0,0,0,1,1,0,0,0,0.446241,0.187887,0.380494,0.121719,0.381627,0.025259,0.296939,0.028963,0,0,0,0,0,0,0,0,0,4.477337
ore_ont_9151.owl,0.555155,0.164835,0.503047,0.240581,0.666619,0.065406,0.501281,0.835962,0.894315,0.513527,0.054741,0.52674,0.545577,0.247574,0.639148,0.144898,0.529226,0.209447,0.636123,0.125792,0.0123,0.0546,0.527365,0.3692,0.9262,0.0738,0.0235,0,0.910601,10.39619
