Ont name,Classification time (ms),Reasoner
ore_ont_6437.owl,999.0,FACT
ore_ont_9545.owl,24682.0,FACT
ore_ont_3708.owl,746.6666666666665,FACT
ore_ont_12284.owl,9986.333333333334,FACT
ore_ont_6720.owl,760.3333333333335,FACT
ore_ont_11895.owl,669.3333333333334,FACT
ore_ont_10161.owl,247416.33333333328,FACT
ore_ont_14934.owl,1226147.333333333,FACT
ore_ont_1673.owl,1800000.0,FACT
ore_ont_1212.owl,1202656.333333333,FACT
ore_ont_3231.owl,830.6666666666665,FACT
ore_ont_7488.owl,1487.333333333333,FACT
ore_ont_2803.owl,39593.0,FACT
ore_ont_16565.owl,1596.0,FACT
ore_ont_15692.owl,1645.0,FACT
ore_ont_2134.owl,137817.66666666663,FACT
ore_ont_15222.owl,1250.6666666666667,FACT
ore_ont_802.owl,1200540.666666667,FACT
ore_ont_3463.owl,637.3333333333334,FACT
ore_ont_8557.owl,14600.0,FACT
ore_ont_13150.owl,1566.0,FACT
ore_ont_16519.owl,134094.33333333337,FACT
ore_ont_8640.owl,1054.3333333333333,FACT
ore_ont_9299.owl,1800000.0,FACT
ore_ont_15695.owl,1800000.0,FACT
ore_ont_15921.owl,1200445.0,FACT
ore_ont_14817.owl,1800000.0,FACT
ore_ont_3816.owl,1201179.333333333,FACT
ore_ont_7908.owl,735994.0,FACT
ore_ont_9248.owl,1377.333333333333,FACT
ore_ont_16268.owl,893.3333333333335,FACT
ore_ont_10423.owl,1637.333333333333,FACT
ore_ont_10384.owl,1922.666666666667,FACT
ore_ont_12061.owl,720.3333333333335,FACT
ore_ont_13621.owl,1845.0,FACT
ore_ont_8226.owl,672.6666666666666,FACT
ore_ont_10355.owl,726.3333333333335,FACT
ore_ont_4187.owl,1800000.0,FACT
ore_ont_259.owl,1627.666666666667,FACT
ore_ont_7270.owl,657.3333333333334,FACT
ore_ont_15288.owl,-1.0,FACT
ore_ont_9684.owl,1800000.0,FACT
ore_ont_12987.owl,931.3333333333336,FACT
ore_ont_6727.owl,1380.333333333333,FACT
ore_ont_1898.owl,-1.0,FACT
ore_ont_8806.owl,695.6666666666665,FACT
ore_ont_12194.owl,2828.666666666666,FACT
ore_ont_5253.owl,11432.666666666664,FACT
ore_ont_11081.owl,1800000.0,FACT
ore_ont_3418.owl,695.6666666666665,FACT
ore_ont_15301.owl,1154.3333333333333,FACT
ore_ont_644.owl,1329.6666666666667,FACT
ore_ont_14237.owl,1506.333333333333,FACT
ore_ont_6109.owl,1533.666666666667,FACT
ore_ont_2017.owl,761.3333333333335,FACT
ore_ont_7663.owl,686.3333333333334,FACT
ore_ont_9151.owl,39721.333333333336,FACT
ore_ont_1028.owl,1800000.0,FACT
ore_ont_13460.owl,1588.666666666667,FACT
ore_ont_14294.owl,1857.333333333333,FACT
ore_ont_2713.owl,847.0,FACT
ore_ont_191.owl,9902.0,FACT
ore_ont_14183.owl,1804.0,FACT
ore_ont_2876.owl,705.0,FACT
ore_ont_257.owl,2260.0,FACT
ore_ont_11349.owl,1358.0,FACT
ore_ont_6729.owl,1860.0,FACT
ore_ont_3077.owl,5627.666666666668,FACT
ore_ont_7169.owl,1061.0,FACT
ore_ont_16723.owl,767.3333333333335,FACT
ore_ont_5764.owl,1189.6666666666667,FACT
ore_ont_10823.owl,732.0,FACT
ore_ont_6566.owl,1349.6666666666667,FACT
ore_ont_3238.owl,22342.66666666667,FACT
ore_ont_4233.owl,-1.0,FACT
ore_ont_4652.owl,2344.333333333333,FACT
ore_ont_1840.owl,16431.333333333332,FACT
ore_ont_15526.owl,1347.6666666666667,FACT
ore_ont_15985.owl,1028.0,FACT
ore_ont_1082.owl,190837.0,FACT
ore_ont_3411.owl,1188.0,FACT
ore_ont_928.owl,13167.333333333336,FACT
ore_ont_3128.owl,783.6666666666665,FACT
ore_ont_13122.owl,449170.66666666674,FACT
ore_ont_9413.owl,1800000.0,FACT
ore_ont_10320.owl,1005.0,FACT
ore_ont_4655.owl,2766.0,FACT
ore_ont_5550.owl,12840.0,FACT
ore_ont_33.owl,2258.0,FACT
ore_ont_8377.owl,3607.0,FACT
ore_ont_6024.owl,842.6666666666665,FACT
ore_ont_5696.owl,751.0,FACT
ore_ont_11495.owl,1800000.0,FACT
ore_ont_9994.owl,731.6666666666665,FACT
ore_ont_6333.owl,783.6666666666665,FACT
ore_ont_7901.owl,830.3333333333335,FACT
ore_ont_954.owl,1800000.0,FACT
ore_ont_13298.owl,1002.6666666666664,FACT
ore_ont_3292.owl,801.3333333333335,FACT
ore_ont_15063.owl,2578.333333333333,FACT
ore_ont_4388.owl,1800000.0,FACT
ore_ont_10949.owl,5367.666666666667,FACT
ore_ont_14425.owl,9477.333333333334,FACT
ore_ont_1066.owl,1800000.0,FACT
ore_ont_894.owl,1162.6666666666667,FACT
ore_ont_3733.owl,16420.333333333332,FACT
ore_ont_14353.owl,995.0,FACT
ore_ont_10892.owl,1802.666666666667,FACT
ore_ont_10134.owl,1020.0,FACT
ore_ont_2658.owl,12666.666666666664,FACT
ore_ont_934.owl,70630.66666666669,FACT
ore_ont_11315.owl,-1.0,FACT
ore_ont_2700.owl,1727.666666666667,FACT
ore_ont_1820.owl,1069194.0,FACT
ore_ont_9809.owl,1800000.0,FACT
ore_ont_1970.owl,2213.333333333333,FACT
ore_ont_11526.owl,762.6666666666665,FACT
ore_ont_3022.owl,-1.0,FACT
ore_ont_869.owl,1250.6666666666667,FACT
ore_ont_2662.owl,722.6666666666665,FACT
ore_ont_3584.owl,1701.333333333333,FACT
ore_ont_16703.owl,10013.333333333334,FACT
ore_ont_8359.owl,2316.0,FACT
ore_ont_11196.owl,1800000.0,FACT
ore_ont_7969.owl,671.0,FACT
ore_ont_2624.owl,2884.666666666666,FACT
ore_ont_12536.owl,3001.666666666666,FACT
ore_ont_13229.owl,1800000.0,FACT
ore_ont_727.owl,1085.3333333333333,FACT
ore_ont_11140.owl,2245.0,FACT
ore_ont_1853.owl,815.6666666666665,FACT
ore_ont_9558.owl,1762.0,FACT
ore_ont_11636.owl,1767.333333333333,FACT
ore_ont_6889.owl,803.3333333333335,FACT
ore_ont_1091.owl,1731.666666666667,FACT
ore_ont_4261.owl,975.6666666666664,FACT
