Ont name,Classification time (ms),Reasoner
ore_ont_6437.owl,2637.0,JFACT
ore_ont_9545.owl,137535.66666666663,JFACT
ore_ont_3708.owl,1646.666666666667,JFACT
ore_ont_12284.owl,87690.0,JFACT
ore_ont_6720.owl,1800000.0,JFACT
ore_ont_11895.owl,1576.0,JFACT
ore_ont_10161.owl,422694.0,JFACT
ore_ont_14934.owl,1800000.0,JFACT
ore_ont_1673.owl,-1.0,JFACT
ore_ont_1212.owl,30674.33333333333,JFACT
ore_ont_3231.owl,1744.0,JFACT
ore_ont_7488.owl,13631.666666666664,JFACT
ore_ont_2803.owl,421494.66666666674,JFACT
ore_ont_16565.owl,-1.0,JFACT
ore_ont_15692.owl,14938.333333333336,JFACT
ore_ont_2134.owl,618849.6666666665,JFACT
ore_ont_15222.owl,3448.333333333333,JFACT
ore_ont_802.owl,3951.333333333334,JFACT
ore_ont_3463.owl,1428.0,JFACT
ore_ont_8557.owl,37062.333333333336,JFACT
ore_ont_13150.owl,-1.0,JFACT
ore_ont_16519.owl,791599.6666666665,JFACT
ore_ont_8640.owl,2979.0,JFACT
ore_ont_9299.owl,1800000.0,JFACT
ore_ont_15695.owl,1800000.0,JFACT
ore_ont_15921.owl,2542.6666666666665,JFACT
ore_ont_14817.owl,1800000.0,JFACT
ore_ont_3816.owl,4145.666666666667,JFACT
ore_ont_7908.owl,1800000.0,JFACT
ore_ont_9248.owl,3589.333333333333,JFACT
ore_ont_16268.owl,2154.0,JFACT
ore_ont_10423.owl,-1.0,JFACT
ore_ont_10384.owl,20895.0,JFACT
ore_ont_12061.owl,1482.333333333333,JFACT
ore_ont_13621.owl,7101.0,JFACT
ore_ont_8226.owl,1380.666666666667,JFACT
ore_ont_10355.owl,1373.0,JFACT
ore_ont_4187.owl,1800000.0,JFACT
ore_ont_259.owl,-1.0,JFACT
ore_ont_7270.owl,1631.0,JFACT
ore_ont_15288.owl,3121.666666666666,JFACT
ore_ont_9684.owl,1800000.0,JFACT
ore_ont_12987.owl,2281.333333333333,JFACT
ore_ont_6727.owl,3773.0,JFACT
ore_ont_1898.owl,1628.666666666667,JFACT
ore_ont_8806.owl,1627.666666666667,JFACT
ore_ont_12194.owl,12395.333333333336,JFACT
ore_ont_5253.owl,580683.6666666665,JFACT
ore_ont_11081.owl,-1.0,JFACT
ore_ont_3418.owl,1873.666666666667,JFACT
ore_ont_15301.owl,5935.333333333332,JFACT
ore_ont_644.owl,11370.333333333336,JFACT
ore_ont_14237.owl,6296.0,JFACT
ore_ont_6109.owl,8371.666666666666,JFACT
ore_ont_2017.owl,2026.333333333333,JFACT
ore_ont_7663.owl,1683.333333333333,JFACT
ore_ont_9151.owl,-1.0,JFACT
ore_ont_1028.owl,1800000.0,JFACT
ore_ont_13460.owl,13316.0,JFACT
ore_ont_14294.owl,-1.0,JFACT
ore_ont_2713.owl,1809.666666666667,JFACT
ore_ont_191.owl,1154686.666666667,JFACT
ore_ont_14183.owl,6716.666666666668,JFACT
ore_ont_2876.owl,1510.333333333333,JFACT
ore_ont_257.owl,7778.666666666668,JFACT
ore_ont_11349.owl,4266.666666666667,JFACT
ore_ont_6729.owl,7817.0,JFACT
ore_ont_3077.owl,-1.0,JFACT
ore_ont_7169.owl,2141.6666666666665,JFACT
ore_ont_16723.owl,1624.0,JFACT
ore_ont_5764.owl,3524.666666666666,JFACT
ore_ont_10823.owl,1634.0,JFACT
ore_ont_6566.owl,4365.666666666667,JFACT
ore_ont_3238.owl,49447.66666666666,JFACT
ore_ont_4233.owl,1466668.333333333,JFACT
ore_ont_4652.owl,4595.666666666667,JFACT
ore_ont_1840.owl,1668712.0,JFACT
ore_ont_15526.owl,1800000.0,JFACT
ore_ont_15985.owl,2480.0,JFACT
ore_ont_1082.owl,1800000.0,JFACT
ore_ont_3411.owl,6561.0,JFACT
ore_ont_928.owl,40030.333333333336,JFACT
ore_ont_3128.owl,2028.333333333333,JFACT
ore_ont_13122.owl,1800000.0,JFACT
ore_ont_9413.owl,1800000.0,JFACT
ore_ont_10320.owl,2336.333333333333,JFACT
ore_ont_4655.owl,7780.333333333332,JFACT
ore_ont_5550.owl,40181.333333333336,JFACT
ore_ont_33.owl,9949.333333333334,JFACT
ore_ont_8377.owl,139634.66666666663,JFACT
ore_ont_6024.owl,1572.666666666667,JFACT
ore_ont_5696.owl,1461.666666666667,JFACT
ore_ont_11495.owl,1800000.0,JFACT
ore_ont_9994.owl,1673.333333333333,JFACT
ore_ont_6333.owl,2194.333333333333,JFACT
ore_ont_7901.owl,1991.666666666667,JFACT
ore_ont_10892.owl,8606.666666666666,JFACT
ore_ont_10134.owl,3128.666666666666,JFACT
ore_ont_2658.owl,172996.66666666663,JFACT
ore_ont_934.owl,353813.0,JFACT
ore_ont_11315.owl,1800000.0,JFACT
ore_ont_2700.owl,7769.666666666668,JFACT
ore_ont_1820.owl,1800000.0,JFACT
ore_ont_9809.owl,1800000.0,JFACT
ore_ont_1970.owl,5600.333333333332,JFACT
ore_ont_11526.owl,1815.666666666667,JFACT
ore_ont_3022.owl,1811.666666666667,JFACT
ore_ont_869.owl,4500.0,JFACT
ore_ont_2662.owl,1744.0,JFACT
ore_ont_3584.owl,-1.0,JFACT
ore_ont_16703.owl,541900.0,JFACT
ore_ont_8359.owl,-1.0,JFACT
ore_ont_11196.owl,1800000.0,JFACT
ore_ont_7969.owl,1745.0,JFACT
ore_ont_2624.owl,35019.666666666664,JFACT
ore_ont_12536.owl,26798.0,JFACT
ore_ont_13229.owl,1800000.0,JFACT
ore_ont_727.owl,3514.0,JFACT
ore_ont_11140.owl,7172.0,JFACT
ore_ont_1853.owl,2040.0,JFACT
ore_ont_9558.owl,-1.0,JFACT
ore_ont_11636.owl,9066.666666666666,JFACT
ore_ont_6889.owl,1966.666666666667,JFACT
ore_ont_1091.owl,8311.666666666666,JFACT
ore_ont_4261.owl,2681.6666666666665,JFACT
ore_ont_10689.owl,1800000.0,JFACT
ore_ont_10173.owl,-1.0,JFACT
ore_ont_16359.owl,1691.333333333333,JFACT
ore_ont_7025.owl,7871.666666666668,JFACT
ore_ont_6354.owl,7037.666666666668,JFACT
ore_ont_13674.owl,-1.0,JFACT
ore_ont_14746.owl,1582.0,JFACT
ore_ont_3258.owl,2231.6666666666665,JFACT
ore_ont_11972.owl,1706.333333333333,JFACT
ore_ont_10340.owl,1729.333333333333,JFACT
ore_ont_7893.owl,6957.666666666668,JFACT
ore_ont_237.owl,2017.666666666667,JFACT
ore_ont_8792.owl,89550.0,JFACT
ore_ont_11005.owl,-1.0,JFACT
ore_ont_3639.owl,1679.0,JFACT
ore_ont_8684.owl,-1.0,JFACT
ore_ont_8322.owl,-1.0,JFACT
ore_ont_10133.owl,2389.0,JFACT
ore_ont_6862.owl,7785.333333333332,JFACT
ore_ont_541.owl,2847.333333333333,JFACT
ore_ont_5164.owl,1948.666666666667,JFACT
ore_ont_3954.owl,1800000.0,JFACT
ore_ont_16821.owl,2183.0,JFACT
ore_ont_1034.owl,1846.666666666667,JFACT
ore_ont_11064.owl,2736.6666666666665,JFACT
ore_ont_15680.owl,1800000.0,JFACT
ore_ont_11416.owl,2045.0,JFACT
ore_ont_412.owl,-1.0,JFACT
ore_ont_8047.owl,1560.333333333333,JFACT
ore_ont_8627.owl,38037.0,JFACT
ore_ont_1469.owl,9798.0,JFACT
ore_ont_8460.owl,2270.0,JFACT
ore_ont_4557.owl,1800000.0,JFACT
ore_ont_10419.owl,2053.6666666666665,JFACT
ore_ont_566.owl,2177.6666666666665,JFACT
ore_ont_15184.owl,-1.0,JFACT
ore_ont_11477.owl,30547.0,JFACT
ore_ont_6999.owl,1841.666666666667,JFACT
ore_ont_239.owl,374417.0,JFACT
ore_ont_14334.owl,20807.0,JFACT
