Ont name,Classification time (ms),Reasoner
ore_ont_10892.owl,6637.333333333332,MORE
ore_ont_10134.owl,2545.333333333333,MORE
ore_ont_2658.owl,4243.0,MORE
ore_ont_934.owl,98232.33333333331,MORE
ore_ont_11315.owl,13742.0,MORE
ore_ont_2700.owl,7182.0,MORE
ore_ont_1820.owl,14697.0,MORE
ore_ont_9809.owl,15292.666666666664,MORE
ore_ont_1970.owl,3845.333333333334,MORE
ore_ont_11526.owl,2561.6666666666665,MORE
ore_ont_3022.owl,3359.0,MORE
ore_ont_869.owl,2912.333333333333,MORE
ore_ont_2662.owl,2369.6666666666665,MORE
ore_ont_3584.owl,10727.666666666666,MORE
ore_ont_16703.owl,4539.0,MORE
ore_ont_8359.owl,9657.333333333334,MORE
ore_ont_11196.owl,-1.0,MORE
ore_ont_7969.owl,2358.0,MORE
ore_ont_2624.owl,3855.666666666666,MORE
ore_ont_12536.owl,9221.0,MORE
ore_ont_13229.owl,1800000.0,MORE
ore_ont_727.owl,2856.0,MORE
ore_ont_11140.owl,3707.666666666666,MORE
ore_ont_1853.owl,3859.0,MORE
ore_ont_9558.owl,10064.666666666666,MORE
ore_ont_11636.owl,7761.333333333332,MORE
ore_ont_6889.owl,2694.333333333333,MORE
ore_ont_1091.owl,7884.333333333332,MORE
ore_ont_4261.owl,2890.333333333333,MORE
ore_ont_10689.owl,79557.33333333331,MORE
ore_ont_10173.owl,10374.0,MORE
ore_ont_16359.owl,3836.333333333334,MORE
ore_ont_7025.owl,7667.666666666668,MORE
ore_ont_6354.owl,3804.0,MORE
ore_ont_13674.owl,11154.0,MORE
ore_ont_14746.owl,2540.333333333333,MORE
ore_ont_3258.owl,3114.0,MORE
ore_ont_11972.owl,3666.0,MORE
ore_ont_10340.owl,2669.6666666666665,MORE
ore_ont_7893.owl,5199.333333333333,MORE
ore_ont_237.owl,2833.0,MORE
ore_ont_8792.owl,4567.333333333333,MORE
ore_ont_11005.owl,78584.33333333331,MORE
ore_ont_3639.owl,3681.333333333334,MORE
ore_ont_8684.owl,11173.0,MORE
ore_ont_8322.owl,12835.333333333336,MORE
ore_ont_10133.owl,2963.666666666666,MORE
ore_ont_6862.owl,4611.0,MORE
ore_ont_541.owl,3967.0,MORE
ore_ont_5164.owl,2990.333333333333,MORE
ore_ont_3954.owl,5746.0,MORE
ore_ont_16821.owl,2983.333333333333,MORE
ore_ont_1034.owl,2947.0,MORE
ore_ont_11064.owl,4451.0,MORE
ore_ont_15680.owl,1201441.333333333,MORE
ore_ont_11416.owl,3578.333333333333,MORE
ore_ont_412.owl,3150.333333333333,MORE
ore_ont_8047.owl,3355.333333333333,MORE
ore_ont_8627.owl,1201038.333333333,MORE
ore_ont_1469.owl,6363.333333333332,MORE
ore_ont_8460.owl,3479.666666666666,MORE
ore_ont_4557.owl,10521.0,MORE
ore_ont_10419.owl,3110.0,MORE
ore_ont_566.owl,3110.333333333333,MORE
ore_ont_15184.owl,10893.333333333334,MORE
ore_ont_11477.owl,4932.0,MORE
ore_ont_6999.owl,4390.333333333333,MORE
ore_ont_239.owl,1800000.0,MORE
ore_ont_14334.owl,3853.333333333334,MORE
ore_ont_11695.owl,1800000.0,MORE
ore_ont_6368.owl,2721.333333333333,MORE
ore_ont_1325.owl,2896.0,MORE
ore_ont_11619.owl,3465.333333333333,MORE
ore_ont_13902.owl,8177.333333333332,MORE
ore_ont_7399.owl,11498.333333333336,MORE
ore_ont_2360.owl,11208.333333333336,MORE
ore_ont_12330.owl,6751.666666666668,MORE
ore_ont_9635.owl,3583.0,MORE
ore_ont_6617.owl,3737.333333333334,MORE
ore_ont_5074.owl,2620.0,MORE
ore_ont_14308.owl,14909.0,MORE
ore_ont_7011.owl,4223.666666666667,MORE
ore_ont_6230.owl,4254.0,MORE
ore_ont_7340.owl,17740.0,MORE
ore_ont_16814.owl,3729.666666666666,MORE
ore_ont_10314.owl,2713.6666666666665,MORE
ore_ont_3301.owl,4514.0,MORE
ore_ont_3726.owl,3851.0,MORE
ore_ont_10929.owl,1202731.333333333,MORE
ore_ont_9303.owl,5176.0,MORE
ore_ont_5792.owl,4142.333333333333,MORE
ore_ont_6120.owl,8261.666666666666,MORE
ore_ont_16371.owl,3489.666666666666,MORE
ore_ont_9014.owl,3862.333333333334,MORE
ore_ont_9724.owl,-1.0,MORE
ore_ont_5485.owl,3394.0,MORE
ore_ont_4226.owl,4442.333333333333,MORE
ore_ont_4581.owl,11343.0,MORE
ore_ont_4780.owl,5903.666666666668,MORE
ore_ont_10197.owl,4421.666666666667,MORE
ore_ont_13690.owl,6949.0,MORE
ore_ont_16669.owl,7160.333333333332,MORE
ore_ont_155.owl,3052.666666666666,MORE
ore_ont_13053.owl,2786.666666666666,MORE
ore_ont_10146.owl,4008.666666666666,MORE
ore_ont_4400.owl,2919.0,MORE
ore_ont_13840.owl,3833.333333333334,MORE
ore_ont_11203.owl,2791.0,MORE
ore_ont_8298.owl,3439.0,MORE
ore_ont_3263.owl,2918.0,MORE
ore_ont_10127.owl,1201914.333333333,MORE
ore_ont_13482.owl,26574.33333333333,MORE
ore_ont_8579.owl,5223.666666666667,MORE
ore_ont_16684.owl,8339.0,MORE
ore_ont_15152.owl,3895.666666666666,MORE
ore_ont_9499.owl,12858.666666666664,MORE
ore_ont_5359.owl,3738.0,MORE
ore_ont_13684.owl,8270.333333333334,MORE
ore_ont_4178.owl,5825.666666666668,MORE
ore_ont_16744.owl,-1.0,MORE
ore_ont_16453.owl,3737.666666666666,MORE
ore_ont_6948.owl,42000.0,MORE
ore_ont_6202.owl,3943.333333333334,MORE
ore_ont_9786.owl,9202.0,MORE
ore_ont_12415.owl,2694.0,MORE
ore_ont_14863.owl,3408.333333333333,MORE
ore_ont_12323.owl,3800.333333333334,MORE
ore_ont_4917.owl,7743.666666666668,MORE
ore_ont_8362.owl,3732.0,MORE
ore_ont_16738.owl,11934.333333333336,MORE
ore_ont_13066.owl,2834.333333333333,MORE
ore_ont_6822.owl,5091.666666666667,MORE
ore_ont_7256.owl,7810.333333333332,MORE
ore_ont_10264.owl,2781.0,MORE
ore_ont_420.owl,3652.333333333334,MORE
ore_ont_10888.owl,3985.0,MORE
ore_ont_13898.owl,4220.0,MORE
ore_ont_15929.owl,13793.666666666664,MORE
ore_ont_7729.owl,209635.3333333333,MORE
ore_ont_10838.owl,14600.333333333336,MORE
ore_ont_6659.owl,7818.333333333332,MORE
ore_ont_3914.owl,1204598.333333333,MORE
ore_ont_9890.owl,7963.0,MORE
ore_ont_13872.owl,2801.333333333333,MORE
ore_ont_14879.owl,8287.333333333334,MORE
ore_ont_12379.owl,2736.333333333333,MORE
ore_ont_10174.owl,2638.0,MORE
ore_ont_7251.owl,4216.333333333333,MORE
ore_ont_12452.owl,5015.333333333333,MORE
ore_ont_8273.owl,12818.333333333336,MORE
ore_ont_1272.owl,20186.33333333333,MORE
ore_ont_7439.owl,4351.0,MORE
ore_ont_10199.owl,2778.0,MORE
ore_ont_1123.owl,-1.0,MORE
ore_ont_12925.owl,4669.666666666667,MORE
ore_ont_12221.owl,7253.0,MORE
ore_ont_668.owl,5176.0,MORE
ore_ont_4918.owl,2913.333333333333,MORE
ore_ont_3050.owl,12044.0,MORE
ore_ont_13139.owl,3705.666666666666,MORE
ore_ont_1705.owl,2989.333333333333,MORE
ore_ont_13545.owl,6720.666666666668,MORE
ore_ont_2664.owl,11530.333333333336,MORE
ore_ont_6859.owl,3800.0,MORE
ore_ont_13124.owl,4321.333333333333,MORE
ore_ont_9758.owl,11181.0,MORE
ore_ont_15687.owl,-1.0,MORE
ore_ont_10481.owl,6527.666666666668,MORE
ore_ont_1944.owl,3953.0,MORE
