Ont name,Classification time (ms),Reasoner
ore_ont_6437.owl,3005.666666666666,PELLET
ore_ont_9545.owl,109213.66666666669,PELLET
ore_ont_3708.owl,2072.0,PELLET
ore_ont_12284.owl,4221.0,PELLET
ore_ont_6720.owl,-1.0,PELLET
ore_ont_11895.owl,1871.333333333333,PELLET
ore_ont_10161.owl,28906.66666666667,PELLET
ore_ont_14934.owl,12350.666666666664,PELLET
ore_ont_1673.owl,1800000.0,PELLET
ore_ont_1212.owl,3391.666666666666,PELLET
ore_ont_3231.owl,2392.6666666666665,PELLET
ore_ont_7488.owl,3788.333333333334,PELLET
ore_ont_2803.owl,-1.0,PELLET
ore_ont_16565.owl,18160.33333333333,PELLET
ore_ont_15692.owl,18509.0,PELLET
ore_ont_2134.owl,887168.3333333335,PELLET
ore_ont_15222.owl,2502.0,PELLET
ore_ont_802.owl,3173.333333333333,PELLET
ore_ont_3463.owl,1450.0,PELLET
ore_ont_8557.owl,6877.666666666668,PELLET
ore_ont_13150.owl,13576.666666666664,PELLET
ore_ont_16519.owl,587898.6666666665,PELLET
ore_ont_8640.owl,2757.666666666666,PELLET
ore_ont_9299.owl,8181.0,PELLET
ore_ont_15695.owl,1800000.0,PELLET
ore_ont_15921.owl,2337.333333333333,PELLET
ore_ont_14817.owl,1800000.0,PELLET
ore_ont_3816.owl,-1.0,PELLET
ore_ont_7908.owl,1800000.0,PELLET
ore_ont_9248.owl,3846.333333333334,PELLET
ore_ont_16268.owl,1782.333333333333,PELLET
ore_ont_10423.owl,14407.666666666664,PELLET
ore_ont_10384.owl,4041.0,PELLET
ore_ont_12061.owl,1633.333333333333,PELLET
ore_ont_13621.owl,33832.666666666664,PELLET
ore_ont_8226.owl,1573.333333333333,PELLET
ore_ont_10355.owl,1811.0,PELLET
ore_ont_4187.owl,1800000.0,PELLET
ore_ont_259.owl,13158.0,PELLET
ore_ont_7270.owl,1523.0,PELLET
ore_ont_15288.owl,-1.0,PELLET
ore_ont_9684.owl,-1.0,PELLET
ore_ont_12987.owl,2110.0,PELLET
ore_ont_6727.owl,3778.333333333334,PELLET
ore_ont_1898.owl,1752.333333333333,PELLET
ore_ont_8806.owl,1558.666666666667,PELLET
ore_ont_12194.owl,5896.0,PELLET
ore_ont_5253.owl,10270.333333333334,PELLET
ore_ont_11081.owl,10942.333333333334,PELLET
ore_ont_3418.owl,1713.666666666667,PELLET
ore_ont_15301.owl,2376.0,PELLET
ore_ont_644.owl,4740.666666666667,PELLET
ore_ont_14237.owl,15467.0,PELLET
ore_ont_6109.owl,3282.0,PELLET
ore_ont_2017.owl,2011.0,PELLET
ore_ont_7663.owl,1716.666666666667,PELLET
ore_ont_9151.owl,1800000.0,PELLET
ore_ont_1028.owl,1800000.0,PELLET
ore_ont_13460.owl,3181.333333333333,PELLET
ore_ont_14294.owl,14037.666666666664,PELLET
ore_ont_2713.owl,1832.333333333333,PELLET
ore_ont_191.owl,10993.666666666666,PELLET
ore_ont_14183.owl,14760.0,PELLET
ore_ont_2876.owl,1466.0,PELLET
ore_ont_257.owl,-1.0,PELLET
ore_ont_11349.owl,2163.0,PELLET
ore_ont_6729.owl,14967.0,PELLET
ore_ont_3077.owl,157434.66666666663,PELLET
ore_ont_7169.owl,1911.333333333333,PELLET
ore_ont_16723.owl,1507.0,PELLET
ore_ont_5764.owl,3851.666666666666,PELLET
ore_ont_10823.owl,1539.666666666667,PELLET
ore_ont_6566.owl,2154.6666666666665,PELLET
ore_ont_3238.owl,19305.0,PELLET
ore_ont_4233.owl,9933.666666666666,PELLET
ore_ont_4652.owl,2243.0,PELLET
ore_ont_1840.owl,5233.0,PELLET
ore_ont_15526.owl,22429.66666666667,PELLET
ore_ont_15985.owl,1844.333333333333,PELLET
ore_ont_1082.owl,264288.33333333326,PELLET
ore_ont_3411.owl,3254.333333333333,PELLET
ore_ont_928.owl,3589.666666666666,PELLET
ore_ont_3128.owl,1552.666666666667,PELLET
ore_ont_13122.owl,1800000.0,PELLET
ore_ont_9413.owl,24614.0,PELLET
ore_ont_10320.owl,2231.6666666666665,PELLET
ore_ont_4655.owl,2691.333333333333,PELLET
ore_ont_5550.owl,3874.333333333334,PELLET
ore_ont_33.owl,4778.333333333333,PELLET
ore_ont_8377.owl,4407.0,PELLET
ore_ont_6024.owl,1951.333333333333,PELLET
ore_ont_5696.owl,1655.0,PELLET
ore_ont_11495.owl,-1.0,PELLET
ore_ont_9994.owl,1653.333333333333,PELLET
ore_ont_6333.owl,2708.333333333333,PELLET
ore_ont_7901.owl,1935.666666666667,PELLET
ore_ont_954.owl,-1.0,PELLET
ore_ont_13298.owl,4421.666666666667,PELLET
ore_ont_3292.owl,1955.333333333333,PELLET
ore_ont_15063.owl,7025.0,PELLET
ore_ont_4388.owl,1937.0,PELLET
ore_ont_10949.owl,1800000.0,PELLET
ore_ont_14425.owl,6738.666666666668,PELLET
ore_ont_1066.owl,1800000.0,PELLET
ore_ont_894.owl,2272.333333333333,PELLET
ore_ont_3733.owl,28172.66666666667,PELLET
ore_ont_14353.owl,2426.0,PELLET
ore_ont_5519.owl,46037.0,PELLET
ore_ont_15172.owl,11762.0,PELLET
ore_ont_3352.owl,2031.333333333333,PELLET
ore_ont_7775.owl,12496.0,PELLET
ore_ont_10774.owl,3767.666666666666,PELLET
ore_ont_9854.owl,1563.666666666667,PELLET
ore_ont_4577.owl,19619.33333333333,PELLET
ore_ont_9096.owl,2780.333333333333,PELLET
ore_ont_8171.owl,15092.666666666664,PELLET
ore_ont_7003.owl,1702.666666666667,PELLET
ore_ont_5213.owl,2319.333333333333,PELLET
ore_ont_10681.owl,1780.333333333333,PELLET
ore_ont_4032.owl,2339.0,PELLET
ore_ont_7127.owl,1800000.0,PELLET
ore_ont_7680.owl,2800.666666666666,PELLET
ore_ont_14459.owl,-1.0,PELLET
ore_ont_13483.owl,1630.0,PELLET
ore_ont_4744.owl,77003.33333333331,PELLET
ore_ont_8723.owl,1800000.0,PELLET
ore_ont_12916.owl,4838.0,PELLET
ore_ont_11010.owl,1702.0,PELLET
ore_ont_6470.owl,1749.0,PELLET
ore_ont_6149.owl,2164.0,PELLET
ore_ont_3500.owl,15446.333333333336,PELLET
ore_ont_15341.owl,3478.333333333333,PELLET
ore_ont_6198.owl,10421.333333333334,PELLET
ore_ont_1634.owl,-1.0,PELLET
ore_ont_4035.owl,2933.333333333333,PELLET
ore_ont_9612.owl,3699.0,PELLET
ore_ont_7120.owl,2344.333333333333,PELLET
ore_ont_14328.owl,1618.0,PELLET
ore_ont_5103.owl,62598.66666666666,PELLET
ore_ont_3329.owl,13037.0,PELLET
ore_ont_6477.owl,1800000.0,PELLET
ore_ont_7237.owl,15014.333333333336,PELLET
ore_ont_2569.owl,2334.333333333333,PELLET
ore_ont_15397.owl,1807.0,PELLET
ore_ont_11289.owl,15000.333333333336,PELLET
ore_ont_1524.owl,1575.333333333333,PELLET
ore_ont_11639.owl,1542.333333333333,PELLET
ore_ont_16632.owl,-1.0,PELLET
ore_ont_1194.owl,-1.0,PELLET
ore_ont_12898.owl,279307.33333333326,PELLET
ore_ont_4428.owl,2080.333333333333,PELLET
ore_ont_4049.owl,-1.0,PELLET
ore_ont_13429.owl,1846.666666666667,PELLET
ore_ont_12269.owl,5429.666666666667,PELLET
ore_ont_430.owl,2243.333333333333,PELLET
ore_ont_15514.owl,57693.0,PELLET
ore_ont_14881.owl,1800000.0,PELLET
ore_ont_11878.owl,42152.0,PELLET
ore_ont_727.owl,2563.6666666666665,PELLET
ore_ont_6132.owl,1800000.0,PELLET
ore_ont_16559.owl,6424.666666666668,PELLET
ore_ont_11694.owl,2362.0,PELLET
ore_ont_11133.owl,1912.333333333333,PELLET
ore_ont_9386.owl,1038502.6666666665,PELLET
ore_ont_5834.owl,10189.333333333334,PELLET
ore_ont_4570.owl,16704.333333333332,PELLET
ore_ont_7817.owl,5175.666666666667,PELLET
ore_ont_3909.owl,1794.0,PELLET
ore_ont_9736.owl,1991.0,PELLET
ore_ont_568.owl,2742.0,PELLET
ore_ont_14031.owl,3521.0,PELLET
ore_ont_15210.owl,2050.333333333333,PELLET
ore_ont_3797.owl,4614.333333333333,PELLET
ore_ont_14450.owl,6304.666666666668,PELLET
ore_ont_3480.owl,7256.666666666668,PELLET
ore_ont_11287.owl,-1.0,PELLET
ore_ont_15399.owl,1922.666666666667,PELLET
ore_ont_7361.owl,1800000.0,PELLET
ore_ont_1958.owl,4538.333333333333,PELLET
ore_ont_7417.owl,2092.333333333333,PELLET
ore_ont_13503.owl,1861.666666666667,PELLET
ore_ont_14508.owl,8979.333333333334,PELLET
ore_ont_8441.owl,9187.0,PELLET
ore_ont_5266.owl,2720.6666666666665,PELLET
ore_ont_399.owl,6370.0,PELLET
ore_ont_8787.owl,104918.33333333331,PELLET
ore_ont_6712.owl,43973.66666666666,PELLET
ore_ont_10991.owl,4013.333333333334,PELLET
ore_ont_15968.owl,3357.0,PELLET
ore_ont_9577.owl,1800000.0,PELLET
ore_ont_13097.owl,2359.6666666666665,PELLET
ore_ont_4669.owl,-1.0,PELLET
ore_ont_2022.owl,2827.333333333333,PELLET
ore_ont_5448.owl,18978.0,PELLET
ore_ont_10892.owl,26611.33333333333,PELLET
ore_ont_10134.owl,2679.333333333333,PELLET
ore_ont_2658.owl,8362.0,PELLET
ore_ont_934.owl,21435.666666666668,PELLET
ore_ont_11315.owl,110835.66666666669,PELLET
ore_ont_2700.owl,23506.33333333333,PELLET
ore_ont_1820.owl,1800000.0,PELLET
ore_ont_9809.owl,1800000.0,PELLET
ore_ont_1970.owl,4509.333333333333,PELLET
ore_ont_11526.owl,2310.6666666666665,PELLET
ore_ont_3022.owl,2228.333333333333,PELLET
ore_ont_869.owl,3003.666666666666,PELLET
ore_ont_2662.owl,1970.0,PELLET
ore_ont_3584.owl,19476.0,PELLET
ore_ont_16703.owl,5860.666666666668,PELLET
ore_ont_8359.owl,21822.33333333333,PELLET
ore_ont_11196.owl,1800000.0,PELLET
ore_ont_7969.owl,1854.333333333333,PELLET
ore_ont_2624.owl,5319.333333333333,PELLET
ore_ont_12536.owl,11015.666666666664,PELLET
ore_ont_13229.owl,1800000.0,PELLET
ore_ont_11140.owl,3494.0,PELLET
ore_ont_1853.owl,2282.0,PELLET
ore_ont_9558.owl,18864.666666666668,PELLET
ore_ont_11636.owl,23022.33333333333,PELLET
ore_ont_6889.owl,2080.6666666666665,PELLET
ore_ont_1091.owl,23786.0,PELLET
ore_ont_4261.owl,2562.0,PELLET
ore_ont_10689.owl,177856.66666666663,PELLET
ore_ont_10173.owl,20005.666666666668,PELLET
ore_ont_16359.owl,2130.333333333333,PELLET
ore_ont_7025.owl,25222.66666666667,PELLET
ore_ont_6354.owl,6015.333333333332,PELLET
ore_ont_13674.owl,20497.33333333333,PELLET
ore_ont_14746.owl,1918.333333333333,PELLET
ore_ont_3258.owl,2775.666666666666,PELLET
ore_ont_11972.owl,2120.333333333333,PELLET
ore_ont_10340.owl,2227.333333333333,PELLET
ore_ont_7893.owl,4348.0,PELLET
ore_ont_237.owl,-1.0,PELLET
ore_ont_8792.owl,5863.333333333332,PELLET
ore_ont_11005.owl,1800000.0,PELLET
ore_ont_3639.owl,2052.0,PELLET
ore_ont_8684.owl,20853.33333333333,PELLET
ore_ont_8322.owl,21820.0,PELLET
ore_ont_10133.owl,2320.333333333333,PELLET
ore_ont_6862.owl,5055.333333333333,PELLET
ore_ont_541.owl,1800000.0,PELLET
