"Ontology","SIZE (KB)","SOV","ENR","TIP","EOG","RCH","CYC","GCI","HGCI","ESUB","DSUB","CSUB","SUPECHN","SUBECHN","SUBCCHN","SUPDCHN","DSUPECHN","DSUBECHN","DSUBCCHN","DSUPDCHN","ELCLSPRT","ELAXPRT","HLC","RHLC","IHR","IIR","ITR","IND","aNOC","mNOC","tNOC","aCID","mCID","tCID","aCOD","mCOD","tCOD","aDIT","mDIT","tDIT","aNOP","mNOP","tNOP","ENUM","ENUMP","NEG","NEGP","CONJ","CONJP","DISJ","DISJP","UF","UFP","EF","EFP","VALUE","VALUEP","SELF","SELFP","MNCAR","MNCARP","MXCAR","MXCARP","CAR","CARP","OBP","OBPP","DTP","DTPP","FUN","FUNP","SYM","SYMP","TRN","TRNP","IFUN","IFUNP","ASYM","ASYMP","REFLE","REFLEP","IRREF","IRREFP","SUBP","EQVP","DISP","INV","DOMN","RANG","CHN","CHNP","ELPROP","EXPRESSIVITY","EL","QL","RL","DL","FULL","CAL_TIME"
"ore_ont_13139.owl","1034.4833984375","2168","1.0943941053470079","649","0.938267341115151","0.12647898816809466","950","0","0","0.20575539568345325","0.0","0.0","754","933","0","0","8","8","0","0","1.0","0.9982046678635548","529","0.050997782705099776","7","0","215","7568","1.1342309261525907","200","2780","4.35046919624643","3233","10663","1.3929008567931456","6","3414","0.0","0","0","1.2643818849449204","6","3099","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","310","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","24","1.0000","0","0.0000","0","0.0000","4","0.1667","7","0.2917","0","0.0000","0","0.0000","0","0.0000","0","0.0000","9","0","0","0","0","0","0","0.0","0.8","SHI","false","false","false","true","true","1580"
"ore_ont_4162.owl","1261.7158203125","4788","1.493801652892562","819","2.501332403543485","0.14675767918088736","2645","0","247","0.026973310618966496","0.0","0.0","17","31","0","0","5","5","0","0","0.8779516358463727","0.8396591789310612","382","0.05733153234278853","556","18","15","1155","1.0017064846416381","53","3522","1.6092150170648465","90","5658","1.4715585893060297","9","5174","0.0","0","0","1.2326507394766781","9","4334","0","0.0000","0","0.0000","0","0.0000","2","0.0039","245","0.4748","87","0.1686","168","0.3256","0","0.0000","5","0.0097","0","0.0000","9","0.0174","498","0.9396","32","0.0604","0","0.0000","3","0.0057","7","0.0132","0","0.0000","0","0.0000","0","0.0000","0","0.0000","308","46","0","10","73","183","0","0.0","0.8446745562130178","SHOIN(D)","false","false","false","true","true","1010"
"ore_ont_4166.owl","17605.0546875","148614","1.0174360402288563","411","0.2924355320559537","0.1952054794520548","2632","0","0","0.6510291505589803","0.0","0.0","1242","1308","0","0","4","4","0","0","0.9997365416703258","0.9995820708389928","0","0.0","0","0","0","139447","0.8404460835967685","468","9571","13.280646294344924","83248","151240","1.2312082894274674","7","14021","0.0","0","0","1.0360028099754126","7","11798","0","0.0000","3","0.0013","0","0.0000","0","0.0000","0","0.0000","2220","0.9987","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","2","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","0.0","ALC","false","true","false","true","true","8340"
"ore_ont_11817.owl","13455.5908203125","38972","2.347540274264412","41567","2.8591024125479874","0.35149396587598836","80975","0","9131","0.1945531090495883","0.0","0.0","26785","36311","0","0","11","11","0","0","1.0","1.0","0","0.0","0","0","0","0","1.340374531835206","632","80523","1.9964710778193924","7320","119938","2.347998335414066","12","141056","0.0","0","0","1.6919017894298793","12","101641","0","0.0000","0","0.0000","9131","0.4324","0","0.0000","0","0.0000","11985","0.5676","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","13","1.0000","0","0.0000","0","0.0000","0","0.0000","3","0.2308","0","0.0000","0","0.0000","0","0.0000","0","0.0000","3","0","0","0","0","0","0","0.0","1.0","ALEH+","true","false","false","true","true","8940"
"ore_ont_8175.owl","506.2490234375","1189","1.2205024105556965","504","1.5262890834193676","0.2360128617363344","869","0","0","0.7000592768227623","0.0","0.0","1477","1590","0","0","9","9","0","0","1.0","1.0","1181","0.2899582617235453","0","0","1181","2385","1.084887459807074","25","1687","2.854662379421222","1174","4439","1.5594855305466238","6","2425","0.0","0","0","1.3234726688102894","6","2058","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","367","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","1","1.0000","0","0.0000","0","0.0000","0","0.0000","1","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","1.0","ALE+","false","false","false","true","true","300"
"ore_ont_16124.owl","1407.1259765625","5524","1.5095440921280958","1536","2.511642723171867","0.17787083976195725","4286","399","0","0.1944677284157586","0.0","0.0","265","397","0","0","5","5","0","0","0.9688604240282686","0.9507544006705784","313","0.04242342098129574","754","0","0","1272","1.051796341194622","78","4772","1.479171258540886","89","6711","1.5298655499228566","9","6941","0.0","0","0","1.3383292924840202","9","6072","141","0.1747","0","0.0000","62","0.0768","0","0.0000","0","0.0000","604","0.7485","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","530","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","453","0","0","0","0","0","8","0.01509433962264151","1.0","ALCRO","true","false","false","true","true","780"
"ore_ont_10409.owl","1215.7021484375","4788","1.446656649135988","819","2.4260549280793127","0.14675767918088736","2394","0","247","0.026973310618966496","0.0","0.0","17","31","0","0","5","5","0","0","0.8779516358463727","0.8396591789310612","382","0.05957579538365564","335","18","15","1155","1.0017064846416381","53","3522","1.6092150170648465","90","5658","1.4715585893060297","9","5174","0.0","0","0","1.2326507394766781","9","4334","0","0.0000","0","0.0000","0","0.0000","2","0.0039","245","0.4748","87","0.1686","168","0.3256","0","0.0000","5","0.0097","0","0.0000","9","0.0174","498","0.9396","32","0.0604","0","0.0000","3","0.0057","7","0.0132","0","0.0000","0","0.0000","0","0.0000","0","0.0000","308","46","0","10","73","183","0","0.0","0.8446745562130178","SHOIN(D)","false","false","false","true","true","640"
"ore_ont_10174.owl","22.4462890625","134","1.0","1","1.415266364612445","0.0","0","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","0","0.9925373134328358","15","133","0.9925373134328358","15","133","1.0","2","134","0.0","0","0","1.0","2","134","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","0.0","AL","true","true","true","true","true","20"
"ore_ont_9545.owl","7529.166015625","23134","2.301098755626158","31794","2.1154559305398433","0.2345965284218895","39318","0","219","0.5209646949140068","0.0","0.0","1188","2100","0","0","8","8","0","0","1.0","0.9998779981943733","14730","0.35921572452811784","7134","0","7335","0","1.3501722538757122","7130","40759","1.5999403736584072","7130","48299","2.3029349410361735","9","69521","0.0","0","0","2.053166821253478","9","61981","0","0.0000","0","0.0000","219","0.0309","0","0.0000","0","0.0000","6863","0.9691","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","28","1.0000","0","0.0000","0","0.0000","5","0.1786","8","0.2857","0","0.0000","0","0.0000","0","0.0000","0","0.0000","9","0","0","0","0","0","0","0.0","0.7727272727272727","SHI","false","false","false","true","true","4090"
"ore_ont_12342.owl","122.91796875","433","7.3723776223776225","98","3.0893920224461295","0.23931623931623933","3659","0","17","0.10267857142857142","0.015625","0.0","141","168","4","0","4","4","2","0","0.9036402569593148","0.7747572815533981","145","0.2126099706744868","74","32","17","49","0.9572649572649573","81","448","8.542735042735043","83","3998","8.632478632478632","81","4040","0.0","0","0","1.2072649572649572","5","565","4","0.0357","2","0.0179","12","0.1071","16","0.1429","17","0.1518","55","0.4911","0","0.0000","0","0.0000","2","0.0179","0","0.0000","4","0.0357","49","0.9245","4","0.0755","7","0.1321","0","0.0000","15","0.2830","0","0.0000","0","0.0000","0","0.0000","0","0.0000","29","0","0","15","22","21","0","0.0","0.8623853211009175","SHOIN(D)","false","false","false","true","true","180"
