,EOG,ESUB,ELCLSPRT,ELAXPRT,DISJP,EFP,OBPP,DTPP,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb,SOV,ENR,CYC,HGCI,IHR,IIR,ITR,IND,aNOC,mNOC,tNOC,aCID,mCID,tCID,aCOD,tCOD,aNOP,mNOP,tNOP,CONJP,DISJ,EF,SELF,SELFP,MNCAR,MNCARP,MXCAR,MXCARP,CAR,CARP,SYM,SYMP,REFLE,RANG,CAL_TIME
skew,-0.7867,0.7697,-1.4843,-1.1692,1.8505,-0.0559,-1.4893,1.3974,20.6432,24.239,32.7655,32.4872,21.9705,35.8096,22.7509,21.5701,72.6357,60.1508,23.6597,52.5742,97.9744,86.1276,20.4525,18.8239,9.4201,26.8809,123.9484,20.1014,20.5596,81.4281,20.2372,22.1236,116.9224,24.4881,3.0028,125.2891,17.1598,23.7368,24.8487,33.7609,9.4107,48.2283,5.6171,14.812,5.4297,14.8419,12.9912,31.2494,43.0244,58.3254
min,0.0,0.0,0.034066325,0.0,0.0,0.0,0.0,0.0,14,13,14532,17,15064,16,15000,20,0.792016807,0,0,0,0,0,0,0.0,0,0,0.499898146,1,6,0.833333333,5,0.833333333,1,5,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0
max,6.32590468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,640425,120335,21437240,21602229,128349296,21602719,126538960,981149,2977.485520437,17995449,61244,2967370,2967285,3137899,747998,35.977546778,123290,3181083,86574.727272727,476124,3272755,333.8125,3415786,35.977811378,123287,3285650,1.0,18323,350019,29,0.3529,1305,1.0,967,1.0,1843,1.0,78,1.0,2,10424,7193760
mean,2.461697145,0.242399009,0.894553009,0.778952486,0.167678273,0.517398195,0.822697064,0.139928346,2903.799425006,377.048201615,58084.780278933,22472.082089552,310586.375825789,18645.520736482,281251.769268412,4777.672069978,2.59975113,14950.596953756,115.065329092,1724.45387815,598.284132616,757.0866161,1791.521348177,0.890759071,922.167788109,9018.822363592,11.373541562,1800.519757769,15496.498531931,2.355255749,16396.357230242,1.370979566,21.627293859,11829.631514558,0.066290139,6.851174456,1480.649804257,0.057010032,0.000469354,2.064411549,0.011725807,1.618057255,0.017473244,5.74993883,0.019429453,0.789270859,0.008720002,0.001284561,40.137509175,3414.851357964
std,0.643645103,0.27360674,0.166779235,0.330435062,0.356106212,0.441333931,0.275347574,0.224272331,20311.602047167,2610.297971216,360850.72799031,634522.482178878,4099262.909937117,566091.44057677,3700283.566433854,26860.545988866,40.491895551,262443.791656291,1504.268842963,43840.999705468,25948.636145639,32332.146909594,20946.185207879,0.69827383,5065.429612526,89203.693470394,684.6070071,13153.504702853,104364.590787847,3.030586217,110751.899251371,0.657228682,995.306154512,96944.286213658,0.167097972,144.23199428,9741.196035755,1.165917244,0.010267133,16.813051091,0.066197684,10.636534527,0.084092365,50.408897972,0.075929176,2.80435187,0.035497981,0.037486662,138.170825714,96675.575007814
lw_i,3.492156899,0.885939467,5.159435355,2.357354196,0.470865901,1.17235082,2.987849303,0.623921574,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
rw_i,5.453267683,2.768941256,0.632254912,0.668959016,2.337285054,1.09350714,0.64392409,3.834943182,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
lr,0.213987458,-0.0,0.034066327,6e-09,1e-09,-1e-09,7e-09,0.0,32,17,14772,21,15536,21,15440,82,1.011142061,7,0,0,0,0,0,0.142857143,2,4,1.007092199,13,95,0.998573466,34,0.977001704,1,26,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,10
rr,5.971666185,0.999999999,1.0,1.0,1.0,1.0,1.0,0.999999993,17670,1874,260084,4571,585300,4328,556992,31438,3.203741478,65334,269,1995,170,279,1643,1.705128205,9289,40759,8.538461538,14547,90741,4.746031746,103265,2.089440641,36,68922,0.5331,23,11687,0,0.0,9,0.0943,20,0.2692,15,0.25,4,0.0588,0,183,6430
min_val_w,3.824618777,0.885939467,5.15943536,2.357354215,0.470865901,1.17235082,2.987849328,0.623921575,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
