,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,EOG,HGCI,ESUB,ELCLSPRT,ELAXPRT,ITR,aNOC,tNOC,tCID,aCOD,tCOD,aNOP,mNOP,tNOP,CONJP,DISJ,DISJP,EF,EFP,SELF,SELFP,MNCAR,MNCARP,MXCAR,MXCARP,CAR,CARP,OBPP,DTPP,SYM,SYMP,REFLE,RANG,classification_time_milsecs,classification_size_kb,SOV,ENR,CYC,IHR,IIR,IND,mNOC,aCID,mCID,CAL_TIME
skew,1.6244,-0.0767,-1.5236,1.6497,-1.5509,0.0331,1.6499,1.6422,-0.5537,-0.3695,0.8045,0.0948,1.3731,1.259,0.5483,1.7869,1.5597,1.4785,1.736,0.4365,1.4919,0.4739,1.7895,0.7803,0.5669,0.5669,0.7463,-0.6589,0.9937,-0.5976,0.5338,0.5452,0.2325,-0.2325,1.0471,0.5619,0.5669,1.4646,2.6957,-2.5125,2.0547,2.8459,2.7497,2.1229,2.0018,2.1847,2.822,2.1672,2.2185,2.8288
min,11829.0,97796.0,99630024.0,112002.0,1751268.0,1.295153329,0.0,0.0,0.157894737,0.25,0.0,0.020689655,3.0,12014.0,1.194029851,160.0,0.992537313,1.0,133.0,0.0179,0.0,0.0,1.0,0.0083,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,7.0,88047,5992900,6039,1.105448482,10357,0,0,6016,3,2.04739893,3315,1520
max,260201.0,279132.0,128838488.0,21600141.0,128838720.0,3.628430386,17672.0,0.779908285,0.999581069,0.998944738,98278.0,1.104188381,123853.0,718420.0,13.166666667,819316.0,1.42266688,33.0,445839.0,0.3939,129.0,0.0606,186188.0,0.9138,1.0,0.0303,9.0,0.0417,9.0,0.0333,103.0,0.8583,1.0,0.2857,7.0,0.4286,1.0,148.0,21600214,128839328,896100,991.720033021,18001387,818460,416622,246271,1794,1987.563218391,93749,5520890
mean,66778.818181818,191529.545454545,122043864.0,4099901.636363636,101348206.18181819,2.461395622,3225.363636364,0.146125507,0.672710051,0.678039782,30027.363636364,0.445517355,27283.090909091,186327.909090909,5.780394087,132060.0,1.071710163,7.727272727,74615.272727273,0.191736364,27.727272727,0.023927273,28939.272727273,0.335590909,0.363636364,0.011018182,3.818181818,0.0239,3.454545455,0.020954545,40.363636364,0.3412,0.832990909,0.167009091,2.454545455,0.165472727,0.363636364,41.818181818,2481518.909090909,110444217.0909091,176594.454545455,93.319137229,2160682.272727273,143559.545454545,79071.272727273,47397.090909091,185.636363636,342.074045711,18922.636363636,552780.909090909
std,72249.488361596,68696.430262375,9154176.398641065,8249942.203004326,47334309.88364628,0.550269216,6810.22904798,0.299073858,0.378240567,0.287300587,37100.348215158,0.360875761,47849.622227927,241352.465343061,5.599780094,270392.18518831,0.140614856,12.248123486,148529.690966359,0.156412016,48.954693171,0.028234637,62104.408854021,0.347397149,0.481045693,0.014575684,2.854603358,0.015152378,2.903403531,0.014244959,47.625953061,0.382591422,0.104142197,0.104142197,1.776801844,0.199065787,0.481045693,40.081322292,6145585.152169961,34238707.11055604,251897.91030111,284.102130182,5059026.671919791,233693.49690231,118414.786274266,68263.636373927,509.813740092,567.854444715,25568.352214382,1573733.766668848
lw_i,0.760556503,1.364460207,2.44848242,0.483385178,2.104117255,2.119403119,0.47360575,0.488593379,1.361079058,1.48986741,0.809355305,1.177213173,0.570121343,0.722237947,0.819025776,0.48902896,0.563047545,0.549249257,0.501463864,1.111400314,0.566386406,0.84744397,0.469365483,0.942123187,0.755928946,0.755928946,0.987241121,1.577310211,0.845402793,1.471014836,0.847513462,0.891812989,1.139700452,1.603663987,1.381440177,0.831246444,0.755928946,0.868688452,null,null,null,null,null,null,null,null,null,null,null,null
rw_i,2.67714258,1.27521116,0.742243071,2.121254375,0.580773521,2.120843272,2.121314314,2.119151376,0.864188155,1.116965888,1.839622527,1.825201628,2.018195852,2.204626707,1.319029043,2.337530608,2.495872251,2.063395858,2.499323167,1.29250707,2.068703136,1.298855991,2.328805276,1.664403673,1.322875655,1.322875656,1.815249803,1.174733129,1.909984088,0.866654296,1.315172918,1.351572382,1.603663987,1.139700452,2.55822255,1.321810628,1.322875655,2.649159561,null,null,null,null,null,null,null,null,null,null,null,null
lr,11828.999969983,97795.999998584,99630024.01834846,112001.856074677,1751268.002121016,1.295153329,4.24e-07,0.0,0.157894736,0.250000001,-8.921e-06,0.020689655,3.000022463,12014.000018148,1.19402985,-169.609114767,0.992537314,1.000000003,132.999976557,0.0179,5e-09,0.0,-210.393130924,0.0083,0.0,1e-09,0.999999999,-1e-09,1.000000001,-1e-09,4e-09,0.0,0.7143,0.0,1e-09,-1e-09,0.0,7.000000002,115683,99465700,18039,2.818911311,35924,0,0,6016,3,2.095871179,3315,1730
rr,260200.999857861,279131.999977287,128838488.00260307,21600127.6279837,128838719.99704854,3.628430387,17671.999997463,0.779908285,0.999581069,0.998944737,98277.999972513,1.104188381,123853.00000926,718419.999986513,13.166666665,764110.009041679,1.42266688,32.999999996,445838.970346845,0.393900001,129.000000012,0.0606,173568.347729378,0.9138,1.0,0.0303,9.000000001,0.0417,9.0,0.0333,103.000000024,0.8583,1.0,0.2857,6.999999999,0.4286,1.0,147.999999985,21600214,128839328,896100,991.720033021,18001387,818460,416622,246271,1794,1987.563218391,93749,5520890
min_val_w,0.760556503,1.364460207,2.448482422,0.483385161,2.104117255,2.119403119,0.47360575,0.488593379,1.361079059,1.48986741,0.809355305,1.177213174,0.570121343,0.722237947,0.819025776,0.487809956,0.563047545,0.549249257,0.501463864,1.111400315,0.566386406,0.847443973,0.465961648,0.942123187,0.755928946,0.755928946,0.987241121,1.577310222,0.845402793,1.471014846,0.847513462,0.891812989,1.139700453,1.603663988,1.381440177,0.831246444,0.755928946,0.868688452,null,null,null,null,null,null,null,null,null,null,null,null
