,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_size_kb,classification_time_milsecs,classification_size_kb,SOV,ENR,EOG,CYC,HGCI,ESUB,ELCLSPRT,ELAXPRT,IHR,IIR,ITR,IND,aNOC,mNOC,tNOC,aCID,mCID,tCID,aCOD,tCOD,aNOP,mNOP,tNOP,CONJP,EF,EFP,SELF,SELFP,MNCARP,CAR,CARP,OBPP,DTPP,SYM,SYMP,REFLE,RANG,CAL_TIME,realisation_time_milsecs,DISJ,DISJP,MNCAR,MXCAR,MXCARP
skew,0.795,0.093,0.7748,0.2821,-0.1295,0.9551,0.7714,1.1088,0.27,0.8025,0.7636,-0.0674,-1.4102,-1.4153,0.78,1.6495,1.3119,0.792,0.0995,0.877,0.9438,0.7914,0.7948,0.7646,-0.6571,0.625,0.4761,1.0859,0.8808,-0.3582,0.7952,-0.6365,0.5669,0.6342,1.9288,0.7543,0.554,-1.5844,1.5844,0.5669,0.57,0.1826,-0.4656,0.9958,2.2929,2.2548,2.1608,2.7806,2.8419,2.0676
min,162.0,18699.0,25593828.0,12093292.0,22263.0,25710696.0,306.0,3.251191006,2.057027211,2002.0,3.0,0.0,0.485636115,0.387596899,0.0,0.0,0.0,1.0,0.701149425,10.0,121.0,3.081967213,35.0,2256.0,3.655737705,2158.0,0.993670886,1.0,157.0,0.1542,8.0,0.0642,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,450.0,7085,0,0.0,0,0,0.0
max,543808.0,308466.0,80439780.0,82943248.0,307412.0,82494408.0,1757533.0,20.760950606,4.032804196,5474400.0,930.0,0.174969623,0.993506494,0.920863309,1430266.0,867968.0,204650.0,513096.0,0.862062238,1586.0,8837.0,4605.769230769,196042.0,718500.0,20.742830497,121708.0,1.443989071,454.0,13245.0,0.4231,1494.0,0.5417,1.0,0.0385,0.0807,1843.0,0.4933,1.0,0.42,2.0,0.0206,1.0,61.0,929310.0,1475096,97,0.2008,39,54,0.1118
mean,174624.181818182,155552.272727273,46017772.36363637,45130008.0,164135.545454545,45635102.54545455,566767.272727273,7.658575103,3.015162664,1773621.818181818,304.727272727,0.076889642,0.861647201,0.773586072,428358.090909091,159432.363636364,46527.909090909,163301.363636364,0.782314676,492.0,2519.727272727,1437.523254195,62841.727272727,267341.636363636,13.08444895,40697.181818182,1.144927788,108.181818182,3896.0,0.312772727,472.545454545,0.358636364,0.363636364,0.012509091,0.013045455,557.090909091,0.176345455,0.894572727,0.105427273,0.727272727,0.0072,0.454545455,34.0,253535.454545455,310620.090909091,16.0,0.033836364,4.545454545,5.181818182,0.018509091
std,237334.293463046,120416.836785688,16355575.005463459,19166726.356809538,106256.76419227,16500772.078988593,770924.30240165,5.639060975,0.678662265,2373839.205721238,404.064821737,0.064248533,0.144401561,0.146326808,585749.679776338,334025.646465078,79554.642648885,225059.786679521,0.05452983,688.620755899,3352.68665919,1964.648391898,85631.491692432,290180.514479043,3.78070138,51281.134900607,0.151743712,173.843617386,5115.462371353,0.110370723,637.840869815,0.13281029,0.481045693,0.01673165,0.02426795,760.724350333,0.199204447,0.114957511,0.114957511,0.962091386,0.009529285,0.497929598,26.142963594,364997.861198307,390213.050591004,27.392766132,0.057323377,10.965761893,15.443846564,0.032390247
lw_i,0.735090489,1.136496161,1.248745113,1.72364938,1.335186014,1.207483289,0.734781964,0.78158121,1.411800099,0.74630995,0.746729872,1.196753266,2.603926735,2.637856841,0.73129889,0.477305779,0.584854731,0.725586592,1.488455972,0.699949858,0.715464198,0.730126211,0.733453617,0.913519768,2.493905309,0.751527475,0.996791892,0.616541578,0.730921221,1.436728172,0.728309327,2.216969503,0.755928946,0.747630457,0.537558984,0.732316389,0.885248585,2.736426032,0.917097732,0.755928946,0.75556558,0.912870929,1.300541152,0.69338887,null,null,null,null,null,null
rw_i,1.555543502,1.26986999,2.104603942,1.972858552,1.348398435,2.233792775,1.544594875,2.323503071,1.499481531,1.558984354,1.547456481,1.526571512,0.913143118,1.006495248,1.710471117,2.121199682,1.98759099,1.554229841,1.462457544,1.588682872,1.884241914,1.612627476,1.555505691,1.554750719,2.025651004,1.579739183,1.970831455,1.989248653,1.827596279,0.999606323,1.60142536,1.378384429,1.322875655,1.553397872,2.787814397,1.690374562,1.591101758,0.917097732,2.736426032,1.322875656,1.406191453,1.095445114,1.03278268,1.85144796,null,null,null,null,null,null
lr,161.999979962,18699.000000575,25593828.005258925,12093291.998455584,22263.00001213,25710696.004478034,305.999713259,3.251191003,2.057027211,2001.999251961,3.000000112,0.0,0.485636116,0.3875969,0.0002708,-0.007755629,-3.5306e-05,1.000023323,0.701149425,9.999999693,121.000000964,3.081967871,34.999961807,2256.00009862,3.655737707,2157.999991194,0.993670886,0.999999994,156.999997551,0.1542,7.999999917,0.064200001,0.0,-0.0,0.0,-1.69e-07,0.0,0.580000001,0.0,-0.0,0.0,0.0,1.1e-08,450.000016744,22947,0,0.0,0,0,0.0
rr,543807.999816384,308466.000052146,80439779.99381143,82943248.0068755,307411.999999566,82494407.997421,1757532.999229812,20.760950596,4.032804196,5474399.998813015,929.999999868,0.174969622,0.993506493,0.920863309,1430265.999958516,867967.458697932,204650.000032503,513096.00010277,0.862062237,1586.0000002,8837.000000481,4605.769231649,196041.999929124,718499.999889718,20.742830496,121707.99996938,1.443989069,453.9999999,13244.999995249,0.4231,1493.999999111,0.5417,1.0,0.038500001,0.080699995,1842.999999588,0.493300001,1.0,0.419999999,2.0,0.020599999,1.0,61.000000004,929310.000065424,1475096,97,0.2008,39,54,0.1118
min_val_w,0.735090489,1.136496161,1.248745113,1.72364938,1.335186014,1.207483289,0.734781964,0.78158121,1.411800099,0.74630995,0.746729872,1.196753267,2.603926735,2.637856841,0.73129889,0.477305756,0.584854731,0.725586592,1.488455982,0.699949858,0.715464198,0.730126211,0.733453617,0.913519768,2.493905309,0.751527475,0.996791897,0.616541578,0.730921221,1.436728172,0.728309327,2.216969505,0.755928946,0.74763046,0.537558988,0.732316389,0.885248585,2.736426054,0.917097736,0.755928946,0.755565606,0.912870929,1.300541152,0.69338887,null,null,null,null,null,null
max_val_w,1.555543503,1.26986999,2.104603942,1.972858552,1.348398435,2.233792775,1.544594876,2.323503073,1.499481531,1.558984355,1.547456481,1.526571513,0.913143118,1.006495248,1.710471117,2.121201303,1.98759099,1.554229841,1.462457554,1.588682872,1.884241914,1.612627476,1.555505692,1.554750719,2.025651004,1.579739184,1.97083147,1.989248654,1.82759628,0.999606323,1.601425361,1.37838443,1.322875656,1.553397882,2.787814626,1.690374563,1.591101759,0.917097736,2.736426054,1.322875656,1.406191544,1.095445115,1.03278268,1.85144796,null,null,null,null,null,null
percent_i,9.09,9.09,45.45,54.55,18.18,54.55,9.09,0.0,54.55,9.09,9.09,27.27,36.36,45.45,9.09,81.82,0.0,9.09,45.45,9.09,9.09,9.09,9.09,9.09,63.64,0.0,9.09,0.0,9.09,9.09,9.09,36.36,0.0,0.0,0.0,0.0,18.18,54.55,54.55,0.0,0.0,0.0,18.18,9.09,null,null,null,null,null,null
percent_change,90.91,90.91,81.82,100.0,81.82,81.82,90.91,90.91,90.91,90.91,81.82,90.91,81.82,81.82,54.55,90.91,100.0,81.82,90.91,100.0,81.82,90.91,90.91,81.82,81.82,90.91,90.91,90.91,90.91,100.0,90.91,90.91,100.0,100.0,90.91,90.91,100.0,90.91,90.91,100.0,90.91,100.0,63.64,90.91,90.91,100.0,100.0,100.0,100.0,100.0
