,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,classification_time_milsecs,classification_size_kb,SOV,EOG,RCH,CYC,HGCI,ELCLSPRT,ELAXPRT,HLC,IHR,ITR,IND,mNOC,tNOC,aCID,tCID,aCOD,mCOD,tCOD,aNOP,mNOP,tNOP,CONJ,CONJP,DISJ,UF,UFP,EF,EFP,VALUE,VALUEP,MNCARP,CARP,OBP,DTP,DTPP,SYM,TRN,IFUNP,SUBP,INV,DOMN,CHNP,ELPROP,CAL_TIME
skew,-1.1526,-0.0215,-0.48,0.947,-1.1547,1.1537,-1.1525,-1.1221,0.9299,-1.1508,-1.1528,-0.1976,-1.0965,0.0,-1.1547,-1.1547,-1.1547,-1.1547,-1.0512,-1.1254,-1.1376,1.0206,-1.1547,1.1378,-1.0277,-1.1547,1.0892,1.1547,1.0384,-1.1049,-1.1547,-1.1419,1.1547,1.0771,-1.1116,-1.1398,1.1547,1.1535,-0.568,-0.4595,-0.6843,-1.1547,-0.8165,-0.6729,-0.2745,-0.3143,-0.7889,-0.6673,-1.1543,0.0743
min,64.0,21600051.0,1352844.0,21600073.0,656914.0,1097220.0,209.0,1.597810249,0.396551724,315.0,0.0,0.716332378,0.53,0,0.0,0.0,1.0,0.0,0.0,1.045714286,366.0,1.701149425,3.0,270.0,0.997142857,1.0,159.0,15.0,0.2113,0.0,5.0,0.0262,11.0,0.1549,0.0,0.0,0.0,0.0563,26.0,22.0,0.4583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
max,1180.0,21600095.0,1423224.0,21600273.0,21600477.0,18797388.0,2801.0,1.929520604,0.545714286,1178.0,41.0,0.75,0.721428571,0,5.0,3.0,988.0,8.0,96.0,8.287581699,1342.0,1.994285714,4.0,698.0,1.050847458,3.0,349.0,52.0,0.2723,8.0,8.0,0.1194,40.0,0.2094,24.0,0.338,0.2461,0.2042,65.0,78.0,0.5455,1.0,3.0,0.0104,8.0,5.0,112.0,0.020833333,0.976331361,340.0
mean,893.0,21600074.25,1393680.0,21600144.5,16364399.75,5677541.0,2134.5,1.837435542,0.445326113,953.5,30.25,0.734416586,0.665063684,0.0,3.75,2.25,740.5,6.0,67.0,6.149781234,1078.25,1.793001357,3.75,391.75,1.033295753,2.5,219.0,24.25,0.231225,5.75,7.25,0.09355,18.25,0.171975,16.75,0.24255,0.061525,0.09455,50.75,56.75,0.514925,0.75,2.0,0.0061,4.75,3.0,74.25,0.01220134,0.727697521,207.5
std,478.770299831,20.825165065,26856.221178714,76.503267904,9068721.127335938,7575813.893666805,1112.050470977,0.139021838,0.060135365,368.849901722,17.469616481,0.013003895,0.078663894,0.0,2.165063509,1.299038106,426.951109613,3.464101615,39.306488014,2.959149344,412.256215842,0.118676038,0.433012702,177.240479293,0.021277653,0.866025404,75.759487855,16.02146997,0.024129585,3.34477204,1.299038106,0.038956675,12.557368355,0.021856163,9.730750228,0.140334413,0.106564426,0.063317869,16.068213964,23.295654101,0.035694984,0.433012702,1.224744871,0.003785499,3.418698583,2.121320344,45.729503605,0.007578821,0.420162141,93.641604002
lw_i,1.73151927,1.116437729,1.520541543,0.934600599,1.732050807,0.604597877,1.73148616,1.723652166,0.811076612,1.731056446,1.731577796,1.390676176,1.716971757,0.5,1.732050808,1.732050807,1.732048432,1.732050808,1.704553202,1.724842634,1.727687716,0.773972009,1.732050807,0.686919831,1.699101648,1.732050807,0.791980011,0.577350269,0.825749796,1.719100713,1.732050807,1.728843648,0.577350269,0.781244162,1.721347235,1.728371498,0.577350269,0.604094874,1.540308092,1.491694539,1.586357337,1.732050807,1.632993162,1.611412432,1.389417606,1.414213562,1.623678242,1.60992585,1.731944525,1.361574285
rw_i,0.599452389,0.996390662,1.100080306,1.679666811,0.577377689,1.73180693,0.599343301,0.662378395,1.669369973,0.608648664,0.615354093,1.198365113,0.716528061,0.5,0.577350269,0.577350269,0.579691666,0.577350269,0.737791684,0.722437504,0.639772039,1.696082543,0.577350269,1.727878424,0.824889105,0.577350269,1.71595669,1.732050808,1.702267139,0.672691583,0.577350269,0.663557661,1.732050808,1.712331641,0.745060744,0.680161037,1.732050807,1.73173863,0.886844053,0.912187308,0.856562926,0.577350269,0.816496581,1.135913696,0.950654151,0.942809042,0.825506446,1.138962467,0.591756886,1.414969355
lr,63.999999939,21600051.000000007,1352844.000009769,21600072.999999993,656914.002939839,1097220.003341946,209.000000282,1.59781025,0.396551725,315.000000018,-3e-09,0.716332379,0.53,0.0,-0.0,0.0,1.000000054,-1e-09,-4e-09,1.045714285,366.000000045,1.701149425,3.0,269.999999918,0.997142858,1.0,158.999999975,15.000000003,0.2113,1e-09,5.0,0.0262,11.000000002,0.1549,1e-09,0.0,-0.0,0.0563,26.000000007,21.999999995,0.4583,0.0,0.0,-0.0,-1e-09,0.0,-2.1e-08,0.0,1e-09,79.999999985
rr,1180.000000016,21600095.000000004,1423224.000012284,21600273.00000003,21600476.996686697,18797388.001442455,2801.000000154,1.929520604,0.545714286,1177.9999999,41.000000005,0.75,0.721428571,0.0,4.999999999,3.0,988.000000032,7.999999999,95.999999984,8.2875817,1341.9999998,1.994285713,4.0,698.00000003,1.050847457,3.0,349.000000016,52.000000007,0.2723,7.999999998,8.0,0.1194,40.000000006,0.209399999,24.000000005,0.338,0.2461,0.2042,64.999999996,78.000000002,0.5455,1.0,3.0,0.0104,7.999999999,5.000000001,111.999999998,0.020833333,0.976331361,340.000000016
min_val_w,1.73151927,1.116437729,1.520541543,0.934600599,1.732050807,0.604597877,1.73148616,1.723652166,0.811076612,1.731056446,1.731577796,1.390676176,1.716971757,null,1.732050808,1.732050808,1.732048432,1.732050808,1.704553202,1.724842634,1.727687716,0.773972009,1.732050808,0.686919831,1.699101648,1.732050808,0.791980011,0.577350269,0.825749799,1.719100713,1.732050808,1.72884366,0.577350269,0.781244162,1.721347235,1.728371499,0.577350269,0.604094875,1.540308092,1.491694539,1.586357348,1.732050808,1.632993162,1.611412543,1.389417606,1.414213562,1.623678242,1.60992585,1.731944525,1.361574285
max_val_w,0.599452389,0.996390662,1.100080306,1.679666811,0.577377689,1.73180693,0.599343301,0.662378395,1.669369973,0.608648664,0.615354093,1.198365113,0.716528061,null,0.577350269,0.577350269,0.579691666,0.577350269,0.737791684,0.722437504,0.639772039,1.696082543,0.577350269,1.727878424,0.824889105,0.577350269,1.71595669,1.732050808,1.702267151,0.672691583,0.577350269,0.663557663,1.732050808,1.712331641,0.745060744,0.680161037,1.732050808,1.731738642,0.886844053,0.912187308,0.85656293,0.577350269,0.816496581,1.13591376,0.950654151,0.942809042,0.825506446,1.138962467,0.591756886,1.414969355
