,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,classification_time_milsecs,classification_size_kb,SOV,EOG,RCH,CYC,HGCI,ELCLSPRT,ELAXPRT,HLC,IHR,ITR,IND,mNOC,tNOC,aCID,tCID,aCOD,mCOD,tCOD,aNOP,mNOP,tNOP,CONJ,CONJP,DISJ,UF,UFP,EF,EFP,VALUE,VALUEP,MNCARP,CARP,OBP,DTP,DTPP,SYM,TRN,IFUNP,SUBP,INV,DOMN,CHNP,ELPROP,CAL_TIME
skew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,5547,21600449,17684888,21600430,21600584,24260664,11583,1.50131451,0.050571528,4861,411,0.949422633,0.94844649,43,0,0,661,254,8261,1.130123542,9788,1.105068699,8,9571,1.004849325,7,8703,0,0.0,2,403,0.9201,0,0.0,31,0.0708,0.0023,0.0023,3,25,0.8929,0,0,0.0,0,1,27,0.0,0.986842105,510
max,5547,21600449,17684888,21600430,21600584,24260664,11583,1.50131451,0.050571528,4861,411,0.949422633,0.94844649,43,0,0,661,254,8261,1.130123542,9788,1.105068699,8,9571,1.004849325,7,8703,0,0.0,2,403,0.9201,0,0.0,31,0.0708,0.0023,0.0023,3,25,0.8929,0,0,0.0,0,1,27,0.0,0.986842105,510
mean,5547.0,21600449.0,17684888.0,21600430.0,21600584.0,24260664.0,11583.0,1.50131451,0.050571528,4861.0,411.0,0.949422633,0.94844649,43.0,0.0,0.0,661.0,254.0,8261.0,1.130123542,9788.0,1.105068699,8.0,9571.0,1.004849325,7.0,8703.0,0.0,0.0,2.0,403.0,0.9201,0.0,0.0,31.0,0.0708,0.0023,0.0023,3.0,25.0,0.8929,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.986842105,510.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lw_i,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
rw_i,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
lr,5547.0,21600449.0,17684888.0,21600430.0,21600584.0,24260664.0,11583.0,1.50131451,0.050571528,4861.0,411.0,0.949422633,0.94844649,43.0,0.0,0.0,661.0,254.0,8261.0,1.130123542,9788.0,1.105068699,8.0,9571.0,1.004849325,7.0,8703.0,0.0,0.0,2.0,403.0,0.9201,0.0,0.0,31.0,0.0708,0.0023,0.0023,3.0,25.0,0.8929,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.986842105,510.0
rr,5547.0,21600449.0,17684888.0,21600430.0,21600584.0,24260664.0,11583.0,1.50131451,0.050571528,4861.0,411.0,0.949422633,0.94844649,43.0,0.0,0.0,661.0,254.0,8261.0,1.130123542,9788.0,1.105068699,8.0,9571.0,1.004849325,7.0,8703.0,0.0,0.0,2.0,403.0,0.9201,0.0,0.0,31.0,0.0708,0.0023,0.0023,3.0,25.0,0.8929,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.986842105,510.0
min_val_w,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
