,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb,SOV,ENR,TIP,EOG,CYC,HGCI,ELCLSPRT,HLC,IHR,IIR,ITR,IND,aNOC,tNOC,aCID,mCID,tCID,aCOD,tCOD,aNOP,ENUMP,NEG,NEGP,CONJP,EFP,VALUE,SELFP,MNCARP,OBP,OBPP,DTP,DTPP,FUNP,SYMP,SUBP,DISP,INV,DOMN,RANG,CHN,CHNP,ELPROP,CAL_TIME
skew,-0.0077,-0.4711,-0.6057,0.0158,-0.4011,0.3228,-0.4521,-0.3916,-0.6093,1.1547,0.912,-0.1822,1.1547,0.0534,1.1547,0.0329,-0.2699,-0.0013,-0.245,1.1517,1.1547,-0.4217,-0.39,0.8149,-1.1444,1.1547,1.1547,0.0,0.0,0.0,0.3586,0.0546,-1.1547,-0.9687,0.0,1.1532,1.1519,-1.136,-1.1519,-0.008,-1.1446,1.1156,0.0,-0.652,-0.0408,-0.1153,1.1544,1.1495,0.2298,-0.0114
min,543811.0,510801.0,106586272.0,533505.0,108235012.0,572655.0,107000568.0,448079.0,3.890409337,0.0,2.693518194,2929461.0,17.0,0.926829268,0.0,1705199.0,0.0,198426.0,228790.0,0.701149425,121.0,4.220380259,37661.0,718513.0,4.729330824,2157.0,0.993670886,0.0,0.0,0.0,0.3939,0.2424,0.0,0.0,0.0,86.0,0.8738,0.0,0.0,0.0073,0.0,53.0,0.0,0.0,56.0,46.0,7.0,0.067961165,0.842741935,549920.0
max,1108757.0,673449.0,128837964.0,704093.0,128842096.0,690983.0,128838868.0,3389780.0,4.291430089,2037944.0,2.765965713,11157388.0,65365.0,0.99994645,4088685.0,3430272.0,2194625.0,414560.0,1028838.0,2.792603161,2190261.0,9125.810126582,394192.0,3310078.0,13.651898734,3709252.0,3.598396293,0.0303,1.0,0.0303,0.4448,0.5552,1.0,0.0385,0.0303,273.0,1.0,13.0,0.1262,0.0485,0.0194,168.0,2.0,33.0,69.0,58.0,102.0,0.373626374,0.954285714,3971860.0
mean,836055.5,601633.75,120761483.0,618469.25,120843984.0,624388.25,120528529.0,2246291.0,4.146996538,509486.0,2.716701388,7679619.75,16355.0,0.960196118,1022171.25,2557830.0,1204746.75,308049.0,699890.0,1.240181199,547656.5,5386.691534756,255521.0,1728117.0,11.174330378,928997.0,1.645143232,0.01515,0.5,0.01515,0.413925,0.385,0.75,0.024775,0.01515,134.75,0.9063,9.5,0.0937,0.028625,0.014275,87.75,1.0,19.25,63.0,52.75,31.25,0.150222524,0.889082587,2275930.0
std,273048.039804812,58414.913213044,9110987.93988067,60792.959207358,8621066.75625656,46163.610936402,9090609.073102362,1233650.396076012,0.164765495,882455.637745037,0.029612411,3592194.807216152,28295.936704764,0.033670775,1770452.539036189,656447.12915931,843950.279391913,106533.72889841,343962.762891566,0.896680038,948358.150247178,3638.222299992,149548.647190471,959908.4744628,3.726480775,1605180.973577279,1.127711206,0.01515,0.5,0.01515,0.02144439,0.143929288,0.433012702,0.014690367,0.01515,79.835377496,0.054119959,5.5,0.054119959,0.019901429,0.008253901,46.590637471,1.0,11.986972095,6.041522987,5.356071321,40.849571601,0.12907814,0.047981678,1461575.13588936
lw_i,1.070304333,1.554958229,1.555836875,1.397600168,1.462576773,1.120649987,1.488124821,1.457635004,1.557287237,0.577350269,0.782887784,1.322355553,0.57739739,0.990973624,0.577350269,1.298857078,1.427509155,1.028998057,1.369625003,0.601141713,0.577350972,1.479423386,1.456783489,1.051771108,1.7295137,0.577405299,0.577694309,0.999999995,0.999999999,0.999999995,0.933810648,0.990764296,1.732050807,1.686479328,0.999999995,0.610631546,0.60051782,1.727272727,1.731339068,1.07153109,1.729485208,0.745858007,1.0,1.605910137,1.158648244,1.260252076,0.593641477,0.637298918,0.965798884,1.180924578
rw_i,0.998730847,1.229399242,0.88645502,1.408448464,0.927740409,1.442581043,0.914167459,0.926914954,0.876600713,1.732050808,1.663637769,0.968145782,1.732050807,1.18055884,1.732050808,1.329036203,1.172910625,0.999786651,0.956347708,1.731299791,1.732050808,1.027732305,0.927263487,1.648033164,0.664854726,1.732050807,1.732050769,0.999999995,0.999999999,0.999999995,1.439770474,1.182525127,0.577350269,0.934285725,0.999999995,1.731688436,1.731339068,0.636363636,0.60051782,0.998672001,0.620918539,1.722449066,1.0,1.147078669,0.993127066,0.980196059,1.731964308,1.730764409,1.358917191,1.160344041
lr,543810.999879753,510801.000003056,106586271.99545337,533504.999998579,108235012.0038167,572655.000004248,107000568.00030857,448078.999981141,3.890409336,0.000167336,2.693518193,2929460.999219957,16.999999064,0.926829268,0.000335723,1705198.99995865,-0.000196764,198425.999958571,228789.999842751,0.701149425,121.00015067,4.220380681,37660.999970636,718513.000235671,4.729330825,2157.0000025,0.993670886,0.0,0.0,0.0,0.3939,0.2424,0.0,-0.0,0.0,86.000000014,0.8738,2e-09,1e-09,0.0073,0.0,52.999999991,0.0,1e-09,56.0,45.999999999,6.99999998,0.067961165,0.842741936,549919.999434565
rr,1108757.00006595,673449.000025612,128837963.99646668,704093.000017618,128842095.99846576,690983.000013281,128838867.99712034,3389780.000130878,4.291430088,2037944.000380447,2.765965713,11157388.00072862,65365.000004307,0.999946449,4088685.000763282,3430272.00000814,2194624.999670494,414560.000033883,1028837.999928696,2.792603161,2190261.00040901,9125.810125229,394192.000069969,3310078.000319341,13.651898733,3709252.000665572,3.598396294,0.0303,1.0,0.0303,0.4448,0.5552,1.0,0.0385,0.0303,272.999999994,0.999999999,12.999999998,0.1262,0.0485,0.0194,167.999999996,2.0,32.999999996,68.999999998,58.000000001,102.00000001,0.373626375,0.954285714,3971859.999402984
min_val_w,1.070304333,1.554958229,1.555836875,1.397600168,1.462576773,1.120649987,1.488124821,1.457635004,1.557287237,0.577350269,0.782887784,1.322355553,0.57739739,0.990973624,0.577350269,1.298857078,1.427509155,1.028998057,1.369625003,0.601141713,0.577350972,1.479423386,1.456783489,1.051771108,1.7295137,0.577405299,0.577694309,1.0,1.0,1.0,0.933810648,0.990764297,1.732050808,1.68647934,1.0,0.610631546,0.60051782,1.727272727,1.731339068,1.071531096,1.729485331,0.745858007,1.0,1.605910137,1.158648244,1.260252076,0.593641477,0.637298918,0.965798884,1.180924578
