,size_kb,consistency_time_milsecs,realisation_time_milsecs,classification_time_milsecs,SOV,ENR,EOG,CYC,IHR,IIR,IND,aCID,mCID,tCID,NEG,INV,CAL_TIME,consistency_size_kb,realisation_size_kb,classification_size_kb,TIP,HGCI,ELCLSPRT,HLC,ITR,aNOC,tNOC,aCOD,tCOD,aNOP,ENUMP,NEGP,CONJP,EFP,VALUE,SELFP,MNCARP,OBP,OBPP,DTP,DTPP,FUNP,SYMP,SUBP,DISP,DOMN,RANG,CHN,CHNP,ELPROP
skew,-0.6141,-1.2791,-1.3265,-1.1309,-0.8266,-1.6313,0.3972,-0.834,-1.9396,-0.8167,-0.8405,-0.4924,-0.8215,-0.8402,0.0,0.0,-1.0496,4.7208,4.501,4.7082,5.3669,-4.0143,4.3149,5.7476,-3.993,4.1749,5.4919,5.205,5.6754,5.3211,-4.0069,5.8631,4.5496,4.2979,-5.9184,-4.0069,-4.0069,-5.6034,5.1688,-4.0069,-5.1688,-5.4177,5.1838,-4.0484,-4.0069,4.9633,4.8389,-5.9184,-5.9147,-4.8546
min,1108752.0,500321.0,506705.0,517881.0,3389777.0,4.29140296,2.626242378,11157267.0,2585886.0,1756393.0,1028838.0,8634.353293413,394189.0,1441937.0,1.0,22.0,2006430.0,82886588,82888340,82890844,0,3,0.926829268,0,0,0.701149425,122,13.155172414,2289,0.994252874,0.0,0.0303,0.3939,0.2424,0,0.0,0.0,85,0.8738,12,0.1188,0.0,0.0194,51,1,68,57,0,0.0,0.834080717
max,1660138.0,898338.0,860720.0,893876.0,5178704.0,4.37108711,2.693572054,17458028.0,5349324.0,2727959.0,1607167.0,12899.172413793,610136.0,2244456.0,1.0,22.0,5657230.0,88531188,89854124,88689260,18,19,0.993506494,14,642900,0.856287425,143,15.006410256,2341,1.101796407,0.0303,0.0417,0.4167,0.5417,1,0.0303,0.0303,90,0.8812,13,0.1262,0.0594,0.0206,65,2,73,61,8,0.079207921,0.842741935
mean,1454181.605263158,761017.736842105,758128.394736842,761421.210526316,4556865.368421053,4.34839169,2.655757549,15265675.184210526,4636268.105263158,2391388.894736842,1404812.289473684,11327.96044662,535313.578947368,1965096.078947368,1.0,22.0,4107021.052631579,83156168.0,83222571.4736842,83162374.94736843,0.605263158,18.184210526,0.92971203,0.421052632,552816.552631579,0.708204455,122.684210526,13.219818321,2290.605263158,0.997908971,0.028705263,0.030623684,0.394823684,0.255410526,0.973684211,0.028705263,0.028705263,89.842105263,0.874060526,12.947368421,0.125939474,0.047510526,0.019442105,64.315789474,1.947368421,68.184210526,58.052631579,7.789473684,0.075666432,0.842415091
std,136601.6949788,75669.553125722,76487.278476998,76322.317370808,428390.856762559,0.017571979,0.016517283,1504582.480195749,597306.725045489,233739.206442924,137449.999757215,1014.103227719,51869.516500862,191290.547772145,0.0,0.0,601344.386651099,981522.686683781,1253047.892552747,1010984.318984095,2.969489356,3.463001916,0.012531749,2.255187925,103372.708284328,0.030320576,3.434386969,0.309272156,8.409078658,0.017802188,0.006765895,0.001826621,0.004099771,0.056478244,0.160072698,0.006765895,0.006765895,0.811960454,0.001240021,0.223296878,0.001240021,0.008003052,0.000200829,2.911910778,0.223296878,0.853946355,0.51028209,1.280581585,0.012441919,0.001496368
lw_i,2.325862278,3.15067991,3.008414259,2.921849244,2.501918651,2.968843412,1.658233891,2.507537167,3.139441015,2.694518568,2.511817833,2.440532218,2.698553798,2.511403224,0.5,0.5,3.193842346,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
rw_i,1.406943304,1.683262412,1.257160806,1.611919432,1.356411562,1.21241192,2.110451221,1.361405363,1.12440663,1.430539212,1.374985375,1.444424879,1.433087282,1.36435626,0.5,0.5,2.370114869,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
lr,1136464.875801105,522607.196010215,528022.975534537,538418.905216092,3485066.293968937,4.296223236,2.628368031,11492878.694302643,2761058.874120022,1761574.262906798,1059562.928937666,8853.008846994,395340.898193543,1484688.380551677,1.0,22.0,2186421.886015902,82892052,82892296,82891964,0,19,0.926829268,0,496917,0.701149425,122,13.155172414,2289,0.994252874,0.0303,0.0303,0.3939,0.2424,1,0.0303,0.0303,90,0.8738,13,0.1262,0.0485,0.0194,65,2,68,58,8,0.077669903,0.842741935
rr,1646372.445328631,888389.45135147,854285.203395731,884446.636991593,5137939.679588873,4.369696167,2.690616469,17314021.84182486,5307883.747047893,2725761.994935208,1593804.028933608,12792.756378612,609647.123368242,2226084.535279123,1.0,22.0,5532276.324823033,85606796,86797824,85706104,5,19,0.96969697,2,638558,0.814102564,127,13.760479042,2298,1.025641026,0.0303,0.0312,0.4062,0.4375,1,0.0303,0.0303,90,0.8763,13,0.1262,0.0485,0.0198,65,2,70,58,8,0.077669903,0.842741935
min_val_w,2.528735865,3.4451999,3.287126954,3.190943605,2.724354057,3.243159347,1.786926546,2.730596852,3.432712239,2.716685422,2.735353148,2.656146909,2.720761412,2.734892471,,,3.493158162,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
