"Ontology","SIZE (KB)","SOV","ENR","TIP","EOG","RCH","CYC","GCI","HGCI","ESUB","DSUB","CSUB","SUPECHN","SUBECHN","SUBCCHN","SUPDCHN","DSUPECHN","DSUBECHN","DSUBCCHN","DSUPDCHN","ELCLSPRT","ELAXPRT","HLC","RHLC","IHR","IIR","ITR","IND","aNOC","mNOC","tNOC","aCID","mCID","tCID","aCOD","mCOD","tCOD","aDIT","mDIT","tDIT","aNOP","mNOP","tNOP","ENUM","ENUMP","NEG","NEGP","CONJ","CONJP","DISJ","DISJP","UF","UFP","EF","EFP","VALUE","VALUEP","SELF","SELFP","MNCAR","MNCARP","MXCAR","MXCARP","CAR","CARP","OBP","OBPP","DTP","DTPP","FUN","FUNP","SYM","SYMP","TRN","TRNP","IFUN","IFUNP","ASYM","ASYMP","REFLE","REFLEP","IRREF","IRREFP","SUBP","EQVP","DISP","INV","DOMN","RANG","CHN","CHNP","ELPROP","EXPRESSIVITY","EL","QL","RL","DL","FULL","CAL_TIME"
"b5ea18a9-b4f4-4c31-bf03-791cf6e680bd__paper_nominee_functional.owl","18.1689453125","84","1.3452380952380953","0","2.2294455491871936","0.0","29","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","31","0.46153846153846156","2","6","4.384615384615385","18","57","1.4615384615384615","6","19","0.0","0","0","0.9230769230769231","1","12","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","12","0.4138","17","0.5862","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","19","0","0","0","24","6","0","0.0","1.0","ALH(D)","false","false","true","true","true","870"
"b57ac414-a41e-4cd0-9b7c-6979607c515c_tourismB.owl_functional.owl","97.9423828125","578","1.3321799307958477","30","2.171423306009798","0.0","192","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","0","1.0589473684210526","17","503","1.28","18","608","1.0610526315789475","3","504","0.0","0","0","1.0610526315789475","3","504","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","28","0.2800","72","0.7200","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","98","0","0","0","84","84","0","0.0","1.0","ALH(D)","false","false","true","true","true","760"
"b01b3489-2557-4bfe-a12f-c227eded6e69_pizzas2_10.owl_functional.owl","48.93359375","78","3.0","21","3.592803614413809","0.28865979381443296","212","0","0","0.20987654320987653","0.037037037037037035","0.0","0","0","0","0","0","0","0","0","0.90625","0.34801762114537443","3","0.012658227848101266","0","0","0","0","0.8350515463917526","13","81","2.865979381443299","21","278","3.1752577319587627","13","308","0.0","0","0","1.2061855670103092","8","117","0","0.0000","0","0.0000","5","0.1786","4","0.1429","5","0.1786","14","0.5000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","4","0.5000","4","0.5000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","6","4","0","0.0","1.0","ALC(D)","false","false","false","true","true","280"
"bfbc9517-dd62-4543-83e9-999f8ecbf61e_mathserve.owl_functional.owl","64.1572265625","289","1.4584615384615385","33","2.5463347824597453","0.2903225806451613","149","0","2","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0.7073170731707317","0.6826923076923077","0","0.0","0","0","0","85","0.8306451612903226","6","103","2.3225806451612905","22","288","1.6774193548387097","5","208","0.0","0","0","1.2580645161290323","4","156","0","0.0000","0","0.0000","0","0.0000","9","0.2500","19","0.5278","0","0.0000","8","0.2222","0","0.0000","0","0.0000","0","0.0000","0","0.0000","21","0.5122","20","0.4878","25","0.6098","1","0.0244","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","38","36","0","0.0","0.99","ALCOIF(D)","false","false","false","true","true","360"
"approximated_sso.syndromic-surveillance-ontology.1.owl.xml_functional.owl","152.4384765625","203","3.365296803652968","16","2.7285174889743193","0.08333333333333333","524","16","0","0.0898876404494382","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","0","0.9270833333333334","88","178","3.6875","88","708","3.8385416666666665","41","737","0.0","0","0","1.078125","2","207","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","16","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","27","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","0.0","AL","true","true","true","true","true","330"
"b4bec09d-3388-4f1d-9e97-db472c3d257d_uranai.rdf_functional.owl","18.37109375","87","1.75","1","2.2600956492034423","0.0","66","0","2","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","0.7894736842105263","0","0.0","0","0","0","2","0.47619047619047616","3","10","4.809523809523809","21","101","1.4285714285714286","3","30","0.0","0","0","1.0","2","21","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","33","0.5156","31","0.4844","4","0.0625","0","0.0000","0","0.0000","6","0.0938","0","0.0000","0","0.0000","0","0.0000","8","0","0","4","48","62","0","0.0","0.9242424242424242","ALCHIF(D)","false","false","false","true","true","130"
"b87164e0-bc4c-43e9-b825-dfe1aa8c442e_uctDetails.owl_functional.owl","46.560546875","117","1.695945945945946","21","2.2892329743782867","0.5166666666666667","103","0","1","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0.4745762711864407","0.24390243902439024","0","0.0","0","0","0","30","0.6166666666666667","3","37","2.283333333333333","14","137","1.95","13","117","0.0","0","0","1.3333333333333333","6","80","3","0.0968","0","0.0000","0","0.0000","1","0.0323","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","16","0.5161","11","0.3548","20","0.4762","22","0.5238","2","0.0476","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","1","43","41","0","0.0","0.9885057471264368","ALUOIN(D)","false","false","false","true","true","240"
"bc4bdd0a-142e-4fec-b4ca-8221dee9ad87_NTNames.owl_functional.owl","78.34375","670","1.0906389301634472","7","1.1242609966943695","0.06","63","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0.9387755102040817","0.9583333333333334","0","0.0","0","18","0","593","0.96","5","48","13.82","301","691","1.2","3","60","0.0","0","0","1.12","2","56","0","0.0000","0","0.0000","0","0.0000","1","0.3333","2","0.6667","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","20","0.7692","6","0.2308","5","0.1923","3","0.1154","2","0.0769","5","0.1923","0","0.0000","0","0.0000","0","0.0000","0","0","0","6","25","25","0","0.0","0.8028169014084507","ALUOIF+(D)","false","false","false","true","true","200"
"bea7d817-d894-4c57-b7d9-366d24a5a9ba_level.v3.1.owl_functional.owl","93.2568359375","100","4.445544554455446","0","2.9888577617913077","0.01818181818181818","348","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0.9814814814814815","0.09063444108761329","0","0.0","0","0","0","0","0.5454545454545454","5","30","7.7272727272727275","26","425","6.490909090909091","24","357","0.0","0","0","0.9818181818181818","1","54","0","0.0000","0","0.0000","0","0.0000","1","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","46","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","46","46","0","0.0","1.0","ALC","false","false","false","true","true","200"
"c003abe6-bfec-47ea-b80d-33d74dcbdfa2_ck_anatomy.obo_functional.owl","211.65625","631","1.5964010282776349","320","2.531419205960314","0.18943298969072164","464","0","0","0.7001055966209081","0.0","0.0","487","663","0","0","5","5","0","0","1.0","1.0","0","0.0","0","0","0","0","1.2203608247422681","92","947","1.4097938144329898","92","1094","1.6005154639175259","6","1242","0.0","0","0","1.4110824742268042","6","1095","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","147","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","2","1.0000","0","0.0000","0","0.0000","0","0.0000","1","0.5000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","1.0","ALE+","true","false","false","true","true","560"
