Ontology,SIZE (KB),SOV,ENR,TIP,EOG,RCH,CYC,GCI,HGCI,ESUB,DSUB,CSUB,SUPECHN,SUBECHN,SUBCCHN,SUPDCHN,DSUPECHN,DSUBECHN,DSUBCCHN,DSUPDCHN,ELCLSPRT,ELAXPRT,HLC,RHLC,IHR,IIR,ITR,IND,aNOC,mNOC,tNOC,aCID,mCID,tCID,aCOD,mCOD,tCOD,aDIT,mDIT,tDIT,aNOP,mNOP,tNOP,ENUM,ENUMP,NEG,NEGP,CONJ,CONJP,DISJ,DISJP,UF,UFP,EF,EFP,VALUE,VALUEP,SELF,SELFP,MNCAR,MNCARP,MXCAR,MXCARP,CAR,CARP,OBP,OBPP,DTP,DTPP,FUN,FUNP,SYM,SYMP,TRN,TRNP,IFUN,IFUNP,ASYM,ASYMP,REFLE,REFLEP,IRREF,IRREFP,SUBP,EQVP,DISP,INV,DOMN,RANG,CHN,CHNP,ELPROP,EXPRESSIVITY,EL,QL,RL,DL,FULL,CAL_TIME
e4d5ac24-4584-4e60-be20-3c4b99276bfb_condition_3.owl_functional.owl,1293.0673828125,2941,2.29819789187351,3819,2.43307260392457,0,3818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.29785787147229,1038,6758,2.29785787147229,1038,6758,2.29819789187351,22,6759,0,0,0,2.29819789187351,22,6759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,true,true,false,true,true,3190
d65d997d-aa38-4638-8703-b3faecbdc7ed_ithesaurus.owl_functional.owl,35715.3623046875,80553,2.00903252655374,31313,2.8513082386332,0.238391030982501,106688,0,46,0.263702427626629,2.97017939883569E-05,0,18593,33188,0,0,11,11,0,0,0.969585349456002,0.957908368312941,9831,0.087625787705115,852,0,3065,0,0.956376410877964,2623,101001,1.67101924096659,2623,176473,2.00924172411181,69,212192,0,0,0,1.29649268994773,31,136920,0,0,0,0,10920,0.4337,25,0.001,3187,0.1266,11044,0.4387,0,0,0,0,0,0,0,0,0,0,116,0.9667,4,0.0333,0,0,0,0,2,0.0167,0,0,0,0,0,0,0,0,17,0,0,0,103,101,0,0,1,SH(D),false,false,false,true,true,24000
d373a56f-2522-4161-aad8-52a3741fc815_e.obo.PREVIOUS_functional.owl,1879.73828125,9755,1.33305996924654,3250,2.44291782755474,0,3249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.33295745771399,38,13003,1.33295745771399,38,13003,1.33305996924654,5,13004,0,0,0,1.33305996924654,5,13004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,true,true,true,true,true,1050
d62e2709-2a1f-409e-9d73-e6a7743f57cd_limateZone.owl_functional.owl,1291.193359375,4862,1.5027502750275,834,2.51569786414182,0.149661781285231,2760,0,252,0.025922795153564,0,0,13,23,0,0,2,2,0,0,0.873978009585565,0.836321721311475,382,0.055612170621634,588,13,15,1251,1.00028184892897,53,3549,1.63331454340474,90,5795,1.47745208568207,9,5242,0,0,0,1.2347801578354,9,4381,0,0,0,0,0,0,2,0.0038,246,0.4633,84,0.1582,185,0.3484,0,0,5,0.0094,0,0,9,0.0169,504,0.9403,32,0.0597,0,0,3,0.0056,7,0.0131,0,0,0,0,0,0,0,0,311,49,0,12,77,184,0,0,0.836705202312139,SHOIN(D),false,false,false,true,true,1940
dd68603b-5da7-46aa-a92f-7b3d88f9eab5_netClimate.owl_functional.owl,1280.9951171875,5104,1.43799930531435,1030,2.41221784264143,0.144102688302252,2544,0,279,0.027084818246614,0,0,42,89,0,0,5,5,0,0,0.880571705426356,0.844516829533116,300,0.044385264092321,159,23,15,1285,1.01937515136837,51,4209,1.59651247275369,88,6592,1.48558973116977,9,6134,0,0,0,1.24921288447566,9,5158,0,0,0,0,0,0,2,0.0034,298,0.5008,102,0.1714,188,0.316,0,0,0,0,0,0,5,0.0084,308,0.9112,30,0.0888,0,0,3,0.0089,4,0.0118,0,0,0,0,0,0,0,0,119,44,0,16,65,174,0,0,0.771855010660981,SHOIN(D),false,false,false,true,true,1460
dbba4bc5-a82f-43f3-be36-411e5805a80d_lex_owl_dl.owl_functional.owl,3017.2001953125,11949,1.00426492724536,0,1.37051631371692,0.000780031201248,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999219901187484,1,0,0,0,0,0,0,0.99869994799792,1808,11523,1.03856820939504,1809,11983,1.00164673253597,4,11557,0,0,0,0.999913329866528,1,11537,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0.9905,4,0.0095,397,0.9475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,413,31,0,0,0.99057714958775,ALUIF(D),false,false,false,true,true,1320
e43ad3c5-6c19-4519-89f3-ea1e66b5d520_tance_edit.owl_functional.owl,624.78515625,1717,1.18680236375575,457,1.7475375013613,0.116923076923077,569,0,0,0.157894736842105,0,0,534,645,0,0,12,12,0,0,1,1,207,0.0612063867534,0,0,207,2070,1.34461538461538,67,1311,3.58461538461538,538,3495,1.58461538461538,6,1545,0,0,0,1.46769230769231,6,1431,0,0,0,0,0,0,0,0,0,0,114,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ALE+,false,false,false,true,true,260
db70a667-871f-47cc-aab0-6403c912e300_lTectonics.owl_functional.owl,967.9619140625,3264,1.68025579536371,869,2.74446116986509,0.171699438202247,2561,0,306,0.019190509420796,0,0,9,27,0,0,5,5,0,0,0.845100105374078,0.76629281600485,360,0.071076011846002,788,211,27,449,1.0063202247191,41,2866,1.48279494382022,117,4223,1.59761235955056,10,4550,0,0,0,1.30477528089888,9,3716,0,0,0,0,0,0,5,0.0102,278,0.5685,48,0.0982,155,0.317,0,0,0,0,0,0,3,0.0061,197,0.8455,36,0.1545,0,0,3,0.0129,6,0.0258,0,0,0,0,0,0,0,0,87,21,0,11,45,110,0,0,0.81578947368421,SHOIN(D),false,false,false,true,true,890
e0abb008-cef9-46bf-a4b4-64ae7d853edf_mGeolBasin.owl_functional.owl,1218.2685546875,4803,1.4488306828812,821,2.43023967365065,0.147937411095306,2417,0,248,0.025866969869244,0,0,13,23,0,0,2,2,0,0,0.875924871940808,0.837684156112691,375,0.058202700605308,343,13,15,1174,1.00085348506401,53,3518,1.61422475106686,90,5674,1.47396870554765,9,5181,0,0,0,1.23328591749644,9,4335,0,0,0,0,0,0,2,0.0038,245,0.4712,84,0.1615,175,0.3365,0,0,5,0.0096,0,0,9,0.0173,501,0.94,32,0.06,0,0,3,0.0056,7,0.0131,0,0,0,0,0,0,0,0,311,48,0,12,77,183,0,0,0.838896952104499,SHOIN(D),false,false,false,true,true,1020
e6f5eade-7f0e-4258-b785-752a73da6f8d_ialairport.owl_functional.owl,901.6416015625,3060,1.61045751633987,0,1.49812504358515,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,739,0.625,5,5,93.125,384,745,0.875,1,7,0,0,0,0.875,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1667,5,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,AL(D),true,true,false,true,true,580
