file,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb
30f83806-d44f-4da4-9377-fa8f7934644b_KategorieHarn_functional.owl,44,16,14856,21,15512,19,15620
310a78be-8d32-4ae0-87b8-a1e2953b0969_Fixed_rope.ttl_functional.owl,95,28,16124,29,17344,29,17060
310ab746-a1d3-4df5-ac56-39e32b776992_Informatica.rdf_functional.owl,95,28,16284,28,17180,29,16992
311e1ba2-5c62-4420-b580-ac349621ac99_Bebinca.rdf_functional.owl,95,27,16084,28,17144,29,17164
312632d1-7907-4a41-bd11-3e545ab0ff20_tambisfull.owl_functional.owl,634,53,19348,109,29732,118,29312
3126934e-af8e-4be5-87ad-762ad9723af3_time.owl_functional.owl,238,44,19668,50,21228,49,20708
312dd161-738f-4839-bc54-e44ee9f82e63_annotation.owl_functional.owl,163,37,16920,76,24928,73,24592
312ead57-98a6-4831-9cfc-efc961e02d26_74181.rdf_functional.owl,95,28,16116,28,17284,28,17048
31306603-ff1b-4a6f-867e-8453e684db52_Hot_dog_bun.rdf_functional.owl,95,27,16152,29,17184,28,17080
31456b3f-0369-42a7-ad8c-d91611615af7_onto.owl_functional.owl,44,19,15152,19,15476,19,15388
31483baa-e021-47a1-8512-e615fda09b24_Skyscraper.owl_functional.owl,107,26,15384,29,16600,27,16320
3163886e-c6f2-4e5d-a042-6f7352586600_Tea_set.rdf_functional.owl,95,28,16084,30,17288,29,16920
31661035-9adf-4ae8-adf3-9a9ace58ea16_Casu_marzu.ttl_functional.owl,95,27,16184,30,17140,29,17000
31751ba0-6a59-4dee-9243-70a1ec90bf49_erFinalOWL.owl_functional.owl,149,37,18420,39,19120,39,18752
317ee586-babb-445c-b96d-5738b4e2fb91_toff_valve.ttl_functional.owl,95,28,16132,30,17184,29,16880
317eefae-1d72-4f99-87a3-4453c85dd4b9_ans_cheese.ttl_functional.owl,95,28,16076,30,17192,28,16876
3184d3e0-b2b6-4b3e-877f-c4a315804cbb_Tachometer.ttl_functional.owl,95,31,16128,31,17356,29,17000
31c5066a-681b-44ff-8926-248592d7aaf2_tal_camera.ttl_functional.owl,95,30,16108,32,17136,29,17000
31c5f3b6-d14d-4252-8141-4c19e33d8a40_lic_system.ttl_functional.owl,95,29,16088,29,17100,29,17052
31cbbac4-15f0-40a3-a9c6-9faef9c5aaac_Knife.ttl_functional.owl,95,34,16108,30,17204,28,17208
31e6def4-0387-4abe-bb47-e6d85eafb8da_Apple_sauce.ttl_functional.owl,95,27,16148,27,17092,28,17052
31e75ff1-a251-41d0-9829-3a1a02edf990_Chisel.ttl_functional.owl,95,29,16280,29,17012,28,17020
31e8b284-4dfa-488a-986c-081411746109_uck_syreky.rdf_functional.owl,95,28,16108,29,17204,29,16992
31e92e15-c020-4840-a59e-f9278822031c_Submersible.ttl_functional.owl,95,29,16088,29,17052,30,17164
