,EOG,RCH,ELCLSPRT,DISJP,OBPP,DTPP,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb,SOV,ENR,TIP,CYC,HGCI,HLC,IHR,IIR,ITR,IND,aNOC,tNOC,aCID,mCID,aCOD,tCOD,aNOP,mNOP,tNOP,ENUM,ENUMP,CONJ,CONJP,DISJ,UF,EF,SELFP,MNCAR,MNCARP,MXCAR,CAR,CARP,IFUNP,REFLE,SUBP,RANG,CAL_TIME
skew,-0.8462,0.1051,-1.4816,1.8472,-1.4876,1.3946,25.3614,31.9209,43.8932,32.5002,22.2309,35.8249,22.9291,21.37,30.2526,19.9198,23.2684,24.1017,37.9177,32.2234,45.9669,23.1381,21.3697,21.0319,13.6919,123.8277,20.5656,83.2794,8.571,26.8788,48.1486,10.7719,44.2809,5.8088,13.8266,3.0061,125.1633,57.4882,11.7142,24.8235,33.7277,9.4128,48.1822,14.7972,5.4238,10.0919,31.2178,28.9023,42.9894,37.7658
min,0.0,0.0,0.034066325,0.0,0.0,0.0,14,13,14532,17,15064,16,15000,20,0.792016807,-3987,0,0,0,0,0,0,0,0.0,0,0.499898146,1,0.833333333,5,0.833333333,1,5,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0
max,6.32590468,0.999752436,1.0,1.0,1.0,1.0,640425,120335,21437240,21602229,128349296,21602719,126538960,896102,205.600094206,925339,2576625,61244,1089083,615096,464492,199845,747998,35.977546778,983186,86574.727272727,476124,333.8125,1156211,35.977811378,13366,1049095,4173,1.0,182784,1.0,18323,11193,206756,0.3529,1305,1.0,967,1843,1.0,0.3084,2,7034,10424,544350
mean,2.459998166,0.322012375,0.894358142,0.168017401,0.822723708,0.140193865,2212.195586883,317.279681275,51175.635672694,22203.314189396,291911.804351823,18447.114189396,262934.37744407,4115.164695066,2.043273614,3075.199264481,8714.457309225,110.111369905,1256.766349985,960.748881397,345.275329451,329.039227705,1712.370885688,0.879251641,5930.802145265,11.33667293,1746.556665645,2.344886495,12587.549065277,1.359532821,13.244744101,8410.946184493,7.062028808,0.019591505,735.324118909,0.066248262,6.862580447,16.085136378,1258.779895801,0.000470303,2.068280723,0.011731499,1.621084891,5.759239963,0.019468716,0.002117781,0.001287159,50.506221269,40.212258658,992.278884462
std,0.639362853,0.215324149,0.166875446,0.35638625,0.27508164,0.224410424,10789.605955559,2063.792994357,314024.383328589,634855.543919074,3970693.0613359,566376.830959427,3560519.964301914,18213.903485625,4.202340381,20830.848159353,49566.713506449,1431.875329688,15047.30244898,12910.874578884,7166.605023976,3978.766235396,20442.242480686,0.572054889,28725.116276972,685.291143563,13037.71990529,3.009138692,52852.981463833,0.52096465,246.298975629,36285.051099601,47.94259594,0.073696256,5033.769956321,0.167073872,144.377420637,118.747649039,6879.519557426,0.01027749,16.829781724,0.066225675,10.647028326,50.458985748,0.076000903,0.015206987,0.03752451,152.609681847,138.299749951,8747.873329479
lw_i,3.512819807,1.495477293,5.155292949,0.471447485,2.990834672,0.624720821,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
rw_i,5.491848628,3.147533914,0.63305813,2.334496908,0.644449741,3.831400159,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
lr,0.214031672,-0.0,0.034066332,-0.0,1e-09,1e-09,32,17,14772,21,15536,21,15440,82,1.011881188,0,7,0,0,0,0,0,0,0.142857143,4,1.007329129,13,0.998559078,34,0.977001704,1,26,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,10
rr,5.971282173,0.999752436,1.0,1.0,1.0,0.999999999,16157,1765,240460,4243,553876,4008,537352,29528,3.196554793,20853,62599,268,3450,1983,168,273,1627,1.693333333,39440,8.333333333,13516,4.746031746,95721,2.082352941,36,60100,127,0.2587,7938,0.5331,23,245,10161,0.0,9,0.0943,20,15,0.25,0.0086,0,312,183,5480
min_val_w,3.847577563,1.495477294,5.155292996,0.471447485,2.990834675,0.624720821,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
