,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,SOV,ENR,TIP,EOG,RCH,CYC,HGCI,ELCLSPRT,HLC,IHR,IIR,ITR,aNOC,tNOC,aCOD,tCOD,aNOP,mNOP,tNOP,ENUM,ENUMP,CONJ,CONJP,DISJ,DISJP,EF,SELFP,MNCAR,MNCARP,MXCAR,CAR,CARP,OBPP,DTPP,IFUNP,REFLE,SUBP,RANG,classification_time_milsecs,classification_size_kb,IND,aCID,mCID,UF,CAL_TIME
skew,1.4995,-0.2674,-1.8687,1.4998,-1.4905,1.9206,1.0286,1.4893,0.0855,0.1435,1.8066,1.5,-0.8513,1.5,1.9863,1.8757,0.66,-0.0746,1.2266,0.3894,1.6355,1.4129,1.3314,1.5857,0.0,0.408,1.5,0.2718,1.3455,0.3121,1.6375,0.4082,0.6401,-0.6378,0.8659,0.8309,0.8412,0.0802,-0.0802,1.8137,0.4082,-0.8085,1.3757,2.5226,-2.5224,2.0469,2.0091,2.0641,2.664,2.3817
min,11829.0,97796.0,107716396.0,117096.0,1751268.0,6039.0,1.105448482,0.0,1.295153329,0.042713408,10357.0,0.0,0.157894737,0.0,0.0,0.0,0.0,0.02238806,3.0,1.194029851,160.0,0.992537313,1.0,133.0,0.0,0.0,7.0,0.0179,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,7.0,88047,5992900,6016,2.04739893,3315,0,1520
max,260201.0,279132.0,128838488.0,21600141.0,128838720.0,896100.0,6.832765059,94992.0,3.628430386,0.895522388,2576642.0,17672.0,0.999581069,219108.0,818460.0,416622.0,98278.0,1.104188381,123853.0,13.166666667,819316.0,1.42266688,33.0,445839.0,1.0,0.0303,24095.0,0.3939,129.0,0.0606,186188.0,0.0303,9.0,0.0417,9.0,103.0,0.8583,1.0,0.2857,0.0363,1.0,80.0,148.0,21600214,128839328,246271,1987.563218391,93749,69,335900
mean,71938.3,196960.2,124285248.0,4498691.6,101536706.8,192449.7,3.479047649,19688.9,2.450940617,0.477509303,576611.8,3547.9,0.718453279,43885.7,157915.5,86978.4,33030.1,0.488000125,30011.1,6.230157634,145247.4,1.079570834,8.4,82062.4,0.5,0.01217,4829.9,0.20388,30.5,0.02632,31832.6,0.01212,3.9,0.02395,3.7,34.1,0.29485,0.84486,0.15514,0.00751,0.4,47.6,45.3,2718102.5,111542068.8,51535.2,367.995933041,20216.9,7.3,55970.0
std,73818.457355935,69761.790309309,6075937.417482573,8550925.868122997,49640706.321159005,258906.423332466,1.328066081,37696.168968345,0.576084588,0.332222224,742330.15948765,7062.068740107,0.36654556,87611.355179623,240430.629920254,121394.062830272,37615.139759012,0.351285928,49362.765446134,5.680504475,280196.617548535,0.145155433,12.650691681,153808.70995376,0.5,0.014803787,9632.553290276,0.159025292,50.513859484,0.028529592,64424.906590852,0.014843908,2.981610303,0.015891082,2.93428015,45.425653545,0.370651141,0.101884878,0.101884878,0.010630376,0.489897949,31.449006344,40.420415634,6397604.92672588,35724780.04041442,70267.724032873,589.332801353,26470.519384591,20.572068442,96280.277731216
lw_i,0.814285507,1.42146868,2.726962255,0.512411833,2.010153485,0.719992566,1.787259836,0.522305065,2.006280522,1.308750181,0.762807213,0.5023882,1.529301138,0.500913379,0.656802755,0.716496326,0.878106534,1.325450377,0.60790962,0.886563474,0.51780568,0.599588447,0.584948253,0.532670744,0.999999999,0.822086958,0.500687601,1.169499501,0.603794687,0.92255088,0.494679574,0.816496578,0.972628783,1.507134591,0.920157538,0.750677147,0.795491952,1.281446297,1.522698978,0.706466034,0.816496581,1.513561334,0.947540974,null,null,null,null,null,null,null
rw_i,2.550347254,1.177891216,0.74938889,1.999952948,0.54999244,2.717778456,2.525263959,1.997632705,2.043952907,1.258233361,2.694259654,1.999994693,0.766965477,1.999995316,2.747339221,2.715483707,1.73461804,1.754093199,1.901066505,1.221107925,2.405698543,2.363645889,1.944557706,2.365123536,0.999999999,1.224686649,1.999999317,1.194904265,1.949959892,1.201559427,2.206306736,1.224744864,1.710485101,1.116978663,1.806235168,1.516764089,1.520162593,1.522698978,1.281446297,2.70827644,1.22474487,1.030239227,2.540795249,null,null,null,null,null,null,null
lr,11829.000025965,97796.00001459,107716395.99878284,117096.002067978,1751267.990660697,6038.999910976,1.105448483,1.6738e-05,1.295153329,0.042713407,10356.99991538,-2.619e-06,0.157894737,3.8206e-05,-0.000118008,-1.6103e-05,2.88e-07,0.022388059,3.000015492,1.194029853,159.999916581,0.992537313,1.000000002,133.00003525,0.0,-0.0,7.000001587,0.0179,2.4e-08,-0.0,-37.085347352,-0.0,1.0,1e-09,1.000000001,-4e-09,0.0,0.7143,0.0,0.0,-0.0,5e-09,7.000000001,127483,110068632,6016,2.095871179,3315,0,1730
rr,260201.000012225,279132.000017769,128838487.99699673,21600140.99808205,128838719.99289766,896099.999452992,6.832765059,94991.999984372,3.628430385,0.895522389,2576641.99865496,17672.000001815,0.999581069,219107.999987658,818459.99950965,416621.999742138,98278.000003103,1.104188382,123852.999983817,13.166666666,819315.994590039,1.422666876,32.999999995,445838.999953435,1.0,0.0303,24095.000001518,0.3939,128.999999984,0.0606,173973.705377568,0.0303,9.0,0.0417,9.0,103.000000016,0.8583,1.0,0.2857,0.036299997,1.0,79.999999986,148.000000005,21600214,128839328,246271,1987.563218391,93749,69,335900
min_val_w,0.814285507,1.42146868,2.726962255,0.512411833,2.010153485,0.719992566,1.787259836,0.522305065,2.006280522,1.308750181,0.762807213,0.5023882,1.529301138,0.500913379,0.656802755,0.716496326,0.878106534,1.325450377,0.60790962,0.886563474,0.51780568,0.599588448,0.584948253,0.532670744,1.0,0.822086961,0.500687601,1.169499501,0.603794687,0.922550884,0.494088415,0.816496581,0.972628783,1.507134592,0.920157538,0.750677147,0.795491952,1.281446298,1.522698979,0.706466055,0.816496581,1.513561334,0.947540974,null,null,null,null,null,null,null
max_val_w,2.550347254,1.177891216,0.74938889,1.999952948,0.54999244,2.717778458,2.525263959,1.997632705,2.043952907,1.258233361,2.694259656,1.999994693,0.766965477,1.999995316,2.747339223,2.715483709,1.73461804,1.754093199,1.901066505,1.221107925,2.405698562,2.363645908,1.944557706,2.365123536,1.0,1.224686656,1.999999317,1.194904265,1.949959892,1.201559434,2.395896373,1.224744871,1.710485101,1.116978664,1.806235168,1.516764089,1.520162593,1.522698979,1.281446298,2.708276661,1.224744871,1.030239227,2.540795249,null,null,null,null,null,null,null
percent_i,30.0,20.0,50.0,50.0,40.0,40.0,80.0,10.0,50.0,10.0,40.0,50.0,0.0,10.0,40.0,40.0,20.0,20.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,80.0,0.0,40.0,40.0,40.0,10.0,0.0,50.0,50.0,40.0,0.0,0.0,60.0,null,null,null,null,null,null,null
percent_change,90.0,90.0,90.0,80.0,90.0,90.0,80.0,20.0,90.0,100.0,90.0,100.0,80.0,10.0,90.0,90.0,70.0,100.0,60.0,40.0,90.0,90.0,10.0,60.0,100.0,100.0,70.0,100.0,50.0,100.0,90.0,100.0,100.0,90.0,60.0,100.0,100.0,100.0,100.0,90.0,100.0,60.0,70.0,90.0,90.0,100.0,90.0,100.0,100.0,90.0
percent_l,60.0,50.0,30.0,80.0,20.0,70.0,70.0,80.0,50.0,50.0,60.0,80.0,30.0,80.0,70.0,80.0,60.0,40.0,70.0,60.0,80.0,70.0,70.0,80.0,50.0,60.0,80.0,60.0,70.0,60.0,80.0,60.0,50.0,30.0,50.0,70.0,70.0,40.0,60.0,50.0,60.0,30.0,50.0,80.0,20.0,80.0,70.0,80.0,90.0,80.0
percent_r,40.0,50.0,70.0,20.0,80.0,30.0,30.0,20.0,50.0,50.0,40.0,20.0,70.0,20.0,30.0,20.0,40.0,60.0,30.0,40.0,20.0,30.0,30.0,20.0,50.0,40.0,20.0,40.0,30.0,40.0,20.0,40.0,50.0,70.0,50.0,30.0,30.0,60.0,40.0,50.0,40.0,70.0,50.0,20.0,80.0,20.0,30.0,20.0,10.0,20.0
