,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_size_kb,classification_time_milsecs,classification_size_kb,SOV,ENR,TIP,EOG,RCH,CYC,HGCI,ELCLSPRT,IHR,IIR,ITR,IND,aNOC,tNOC,aCID,mCID,aCOD,tCOD,aNOP,mNOP,tNOP,ENUM,ENUMP,CONJ,CONJP,EF,SELFP,MNCARP,CAR,CARP,OBPP,DTPP,IFUNP,REFLE,SUBP,RANG,CAL_TIME,realisation_time_milsecs,HLC,DISJ,DISJP,UF,MNCAR,MXCAR
skew,0.795,0.093,0.7748,0.2821,-0.1295,0.9551,0.7714,1.1088,0.9694,0.27,0.578,0.8025,0.7636,-1.4102,0.78,1.6495,1.3119,0.792,0.0995,0.9438,0.7914,0.7948,-0.6571,0.625,0.4761,1.0859,0.8808,1.6499,1.6499,1.0534,-0.3582,0.7952,0.6342,1.9288,0.7543,0.554,-1.5844,1.5844,1.0211,0.1826,-0.1358,-0.4656,0.9958,2.2929,2.8147,2.2548,2.1608,2.8453,2.7806,2.8419
min,162.0,18699.0,25593828.0,12093292.0,22263.0,25710696.0,306.0,3.251191006,0.0,2.057027211,0.153846154,2002.0,3.0,0.485636115,0.0,0.0,0.0,1.0,0.701149425,121.0,3.081967213,35.0,3.655737705,2158.0,0.993670886,1.0,157.0,0.0,0.0,10.0,0.1542,8.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,450.0,7085,0,0,0.0,0,0,0
max,543808.0,308466.0,80439780.0,82943248.0,307412.0,82494408.0,1757533.0,20.760950606,2995.0,4.032804196,0.659836066,5474400.0,930.0,0.993506494,1430266.0,867968.0,204650.0,513096.0,0.862062238,8837.0,4605.769230769,196042.0,20.742830497,121708.0,1.443989071,454.0,13245.0,1.0,0.0303,1058.0,0.4231,1494.0,0.0385,0.0807,1843.0,0.4933,1.0,0.42,0.0099,1.0,65.0,61.0,929310.0,1475096,176,97,0.2008,137,39,54
mean,174624.181818182,155552.272727273,46017772.36363637,45130008.0,164135.545454545,45635102.54545455,566767.272727273,7.658575103,813.636363636,3.015162664,0.320215576,1773621.818181818,304.727272727,0.861647201,428358.090909091,159432.363636364,46527.909090909,163301.363636364,0.782314676,2519.727272727,1437.523254195,62841.727272727,13.08444895,40697.181818182,1.144927788,108.181818182,3896.0,0.181818182,0.005509091,294.818181818,0.312772727,472.545454545,0.012509091,0.013045455,557.090909091,0.176345455,0.894572727,0.105427273,0.002663636,0.454545455,31.909090909,34.0,253535.454545455,310620.090909091,17.454545455,16.0,0.033836364,12.818181818,4.545454545,5.181818182
std,237334.293463046,120416.836785688,16355575.005463459,19166726.356809538,106256.76419227,16500772.078988593,770924.30240165,5.639060975,1111.171394416,0.678662265,0.169098657,2373839.205721238,404.064821737,0.144401561,585749.679776338,334025.646465078,79554.642648885,225059.786679521,0.05452983,3352.68665919,1964.648391898,85631.491692432,3.78070138,51281.134900607,0.151743712,173.843617386,5115.462371353,0.385694608,0.011686547,407.510583952,0.110370723,637.840869815,0.01673165,0.02426795,760.724350333,0.199204447,0.114957511,0.114957511,0.004349979,0.497929598,27.632176716,26.142963594,364997.861198307,390213.050591004,50.29434025,27.392766132,0.057323377,39.272516834,10.965761893,15.443846564
lw_i,0.735090489,1.136496161,1.248745113,1.72364938,1.335186014,1.207483289,0.734781964,0.78158121,0.732233,1.411800099,0.983860105,0.74630995,0.746729872,2.603926735,0.73129889,0.477305779,0.584854731,0.725586592,1.488455972,0.715464198,0.730126211,0.733453617,2.493905309,0.751527475,0.996791892,0.616541578,0.730921221,0.471404521,0.471404521,0.69892217,1.436728172,0.728309327,0.747630457,0.537558984,0.732316389,0.885248585,2.736426032,0.917097732,0.612333095,0.912870929,1.154780213,1.300541152,0.69338887,null,null,null,null,null,null,null
rw_i,1.555543502,1.26986999,2.104603942,1.972858552,1.348398435,2.233792775,1.544594875,2.323503071,1.963120762,1.499481531,2.008416244,1.558984354,1.547456481,0.913143118,1.710471117,2.121199682,1.98759099,1.554229841,1.462457544,1.884241914,1.612627476,1.555505691,2.025651004,1.579739183,1.970831455,1.989248653,1.827596279,2.121320342,2.121320328,1.872790176,0.999606323,1.60142536,1.553397872,2.787814397,1.690374562,1.591101758,0.917097732,2.736426032,1.663538881,1.095445114,1.19754985,1.03278268,1.85144796,null,null,null,null,null,null,null
lr,161.999979962,18699.000000575,25593828.005258925,12093291.998455584,22263.00001213,25710696.004478034,305.999713259,3.251191003,-1.1e-08,2.057027211,0.153846154,2001.999251961,3.000000112,0.485636116,0.0002708,-0.007755629,-3.5306e-05,1.000023323,0.701149425,121.000000964,3.081967871,34.999961807,3.655737707,2157.999991194,0.993670886,0.999999994,156.999997551,0.0,-0.0,10.000000184,0.1542,7.999999917,-0.0,0.0,-1.69e-07,0.0,0.580000001,0.0,-0.0,0.0,-5e-09,1.1e-08,450.000016744,22947,0,0,0.0,0,0,0
rr,543807.999816384,308466.000052146,80439779.99381143,82943248.0068755,307411.999999566,82494407.997421,1757532.999229812,20.760950596,2994.999998155,4.032804196,0.659836066,5474399.998813015,929.999999868,0.993506493,1430265.999958516,867967.458697932,204650.000032503,513096.00010277,0.862062237,8837.000000481,4605.769231649,196041.999929124,20.742830496,121707.99996938,1.443989069,453.9999999,13244.999995249,1.0,0.030300001,1058.000000059,0.4231,1493.999999111,0.038500001,0.080699995,1842.999999588,0.493300001,1.0,0.419999999,0.009899995,1.0,64.99999999,61.000000004,929310.000065424,1475096,176,97,0.2008,137,39,54
min_val_w,0.735090489,1.136496161,1.248745113,1.72364938,1.335186014,1.207483289,0.734781964,0.78158121,0.732233,1.411800099,0.983860105,0.74630995,0.746729872,2.603926735,0.73129889,0.477305756,0.584854731,0.725586592,1.488455982,0.715464198,0.730126211,0.733453617,2.493905309,0.751527475,0.996791897,0.616541578,0.730921221,0.471404521,0.471404521,0.69892217,1.436728172,0.728309327,0.74763046,0.537558988,0.732316389,0.885248585,2.736426054,0.917097736,0.612333207,0.912870929,1.154780213,1.300541152,0.69338887,null,null,null,null,null,null,null
max_val_w,1.555543503,1.26986999,2.104603942,1.972858552,1.348398435,2.233792775,1.544594876,2.323503073,1.963120764,1.499481531,2.008416244,1.558984355,1.547456481,0.913143118,1.710471117,2.121201303,1.98759099,1.554229841,1.462457554,1.884241914,1.612627476,1.555505692,2.025651004,1.579739184,1.97083147,1.989248654,1.82759628,2.121320344,2.121320344,1.872790176,0.999606323,1.601425361,1.553397882,2.787814626,1.690374563,1.591101759,0.917097736,2.736426054,1.663540044,1.095445115,1.19754985,1.03278268,1.85144796,null,null,null,null,null,null,null
percent_i,9.09,9.09,45.45,54.55,18.18,54.55,9.09,0.0,18.18,54.55,0.0,9.09,9.09,36.36,9.09,81.82,0.0,9.09,45.45,9.09,9.09,9.09,63.64,0.0,9.09,0.0,9.09,81.82,81.82,9.09,9.09,9.09,0.0,0.0,0.0,18.18,54.55,54.55,0.0,0.0,0.0,18.18,9.09,null,null,null,null,null,null,null
percent_change,90.91,90.91,81.82,100.0,81.82,81.82,90.91,90.91,90.91,90.91,90.91,90.91,81.82,81.82,54.55,90.91,100.0,81.82,90.91,81.82,90.91,90.91,81.82,90.91,90.91,90.91,90.91,100.0,100.0,90.91,100.0,90.91,100.0,90.91,90.91,100.0,90.91,90.91,90.91,100.0,81.82,63.64,90.91,90.91,100.0,100.0,100.0,100.0,100.0,100.0
percent_l,63.64,54.55,54.55,63.64,45.45,72.73,63.64,63.64,63.64,63.64,54.55,63.64,63.64,45.45,63.64,81.82,72.73,63.64,63.64,63.64,63.64,63.64,27.27,63.64,54.55,72.73,63.64,81.82,81.82,63.64,45.45,63.64,63.64,72.73,63.64,63.64,63.64,36.36,72.73,54.55,45.45,36.36,63.64,72.73,90.91,63.64,72.73,90.91,90.91,90.91
percent_r,36.36,45.45,45.45,36.36,54.55,27.27,36.36,36.36,36.36,36.36,45.45,36.36,36.36,54.55,36.36,18.18,27.27,36.36,36.36,36.36,36.36,36.36,72.73,36.36,45.45,27.27,36.36,18.18,18.18,36.36,54.55,36.36,36.36,27.27,36.36,36.36,36.36,63.64,27.27,45.45,54.55,63.64,36.36,27.27,9.09,36.36,27.27,9.09,9.09,9.09
