,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,classification_time_milsecs,classification_size_kb,SOV,EOG,RCH,CYC,HGCI,ELCLSPRT,ELAXPRT,HLC,IHR,ITR,IND,mNOC,tNOC,aCID,tCID,aCOD,mCOD,tCOD,aNOP,mNOP,tNOP,CONJ,CONJP,DISJ,UF,UFP,EF,EFP,VALUE,VALUEP,MNCARP,CARP,OBP,DTP,DTPP,SYM,TRN,IFUNP,SUBP,INV,DOMN,CHNP,ELPROP,CAL_TIME
skew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,14328.0,21600406.0,8128296.0,92155.0,21600415.0,7870180.0,18039.0,2.159692833,0.895522388,41923.0,0.0,0.157894737,0.333333333,0.0,0.0,0.0,6016.0,3.0,3.0,89.962686567,12055.0,1.194029851,5.0,160.0,0.992537313,1.0,133.0,7.0,0.0583,0.0,0.0,0.0,1.0,0.0083,0.0,0.0,0.0417,0.8583,5.0,2.0,0.2857,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.85,1910.0
max,14328.0,21600406.0,8128296.0,92155.0,21600415.0,7870180.0,18039.0,2.159692833,0.895522388,41923.0,0.0,0.157894737,0.333333333,0.0,0.0,0.0,6016.0,3.0,3.0,89.962686567,12055.0,1.194029851,5.0,160.0,0.992537313,1.0,133.0,7.0,0.0583,0.0,0.0,0.0,1.0,0.0083,0.0,0.0,0.0417,0.8583,5.0,2.0,0.2857,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.85,1910.0
mean,14328.0,21600406.0,8128296.0,92155.0,21600415.0,7870180.0,18039.0,2.159692833,0.895522388,41923.0,0.0,0.157894737,0.333333333,0.0,0.0,0.0,6016.0,3.0,3.0,89.962686567,12055.0,1.194029851,5.0,160.0,0.992537313,1.0,133.0,7.0,0.0583,0.0,0.0,0.0,1.0,0.0083,0.0,0.0,0.0417,0.8583,5.0,2.0,0.2857,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.85,1910.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lw_i,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
rw_i,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
lr,14328.0,21600406.0,8128296.0,92155.0,21600415.0,7870180.0,18039.0,2.159692833,0.895522388,41923.0,0.0,0.157894737,0.333333333,0.0,0.0,0.0,6016.0,3.0,3.0,89.962686567,12055.0,1.194029851,5.0,160.0,0.992537313,1.0,133.0,7.0,0.0583,0.0,0.0,0.0,1.0,0.0083,0.0,0.0,0.0417,0.8583,5.0,2.0,0.2857,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.85,1910.0
rr,14328.0,21600406.0,8128296.0,92155.0,21600415.0,7870180.0,18039.0,2.159692833,0.895522388,41923.0,0.0,0.157894737,0.333333333,0.0,0.0,0.0,6016.0,3.0,3.0,89.962686567,12055.0,1.194029851,5.0,160.0,0.992537313,1.0,133.0,7.0,0.0583,0.0,0.0,0.0,1.0,0.0083,0.0,0.0,0.0417,0.8583,5.0,2.0,0.2857,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.85,1910.0
min_val_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
