,size_kb,consistency_time_milsecs,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,SOV,ENR,EOG,CYC,HGCI,ESUB,DSUB,HLC,IHR,IIR,ITR,IND,aNOC,tNOC,aCID,mCID,tCID,aCOD,tCOD,aNOP,mNOP,tNOP,NEGP,CONJP,DISJ,DISJP,UF,EF,EFP,SELFP,MNCAR,MNCARP,CAR,CARP,OBP,OBPP,DTPP,ASYM,SUBP,DOMN,CHNP,ELPROP,CAL_TIME,consistency_size_kb,classification_size_kb
skew,0.0509,1.2642,0.7524,1.8421,0.1774,0.0469,0.0286,0.1398,0.0519,0.0,0.0,0.0,0.0,0.0557,0.0342,0.0103,0.0749,0.0,0.0,0.0604,0.0346,0.0604,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.4859,2.7845,3.2985
min,1129377.0,582929.0,582552.0,49797088.0,590026.0,3591778.0,4.306205168,2.672325363,11884494.0,19.0,0.0,0.0,0.0,3651235.0,1862804.0,438976.0,1097113.0,0.701149425,122.0,8831.17816092,417301.0,1536625.0,13.155172414,2289.0,0.994252874,1.0,173.0,0.0303,0.3939,2.0,0.0606,1.0,8.0,0.2424,0.0303,1.0,0.0303,3.0,0.0909,90.0,0.8738,0.1262,1.0,65.0,68.0,0.077669903,0.842741935,2442460.0,49912292,49932476
max,1268879.0,733716.0,676014.0,56734688.0,684282.0,4007514.0,4.331485326,2.695756226,13351140.0,19.0,0.0,0.0,0.0,4097630.0,2088905.0,492037.0,1232214.0,0.701149425,122.0,9900.557471264,468056.0,1722697.0,13.155172414,2289.0,0.994252874,1.0,173.0,0.0303,0.3939,2.0,0.0606,1.0,8.0,0.2424,0.0303,1.0,0.0303,3.0,0.0909,90.0,0.8738,0.1262,1.0,65.0,68.0,0.077669903,0.842741935,7333710.0,56204052,82960812
mean,1197086.5,625085.5,620075.5,51291185.71428572,632473.785714286,3795092.642857142,4.31832535,2.684392198,12594379.642857144,19.0,0.0,0.0,0.0,3866490.428571428,1975171.0,465697.428571429,1160804.571428571,0.701149425,122.0,9343.421592775,442566.142857143,1625755.357142857,13.155172414,2289.0,0.994252874,1.0,173.0,0.0303,0.3939,2.0,0.0606,1.0,8.0,0.2424,0.0303,1.0,0.0303,3.0,0.0909,90.0,0.8738,0.1262,1.0,65.0,68.0,0.077669903,0.842741935,4271891.428571428,50784319.71428572,53109371.428571425
std,42933.486321036,43133.601819977,26647.722501852,2192531.433146217,28709.210677756,128134.643593932,0.007115794,0.006915794,450906.616928385,0.0,0.0,0.0,0.0,137119.880970065,69775.827998363,16497.653269109,41432.281068397,0.0,0.0,328.921139625,15669.694170856,57232.278294692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862604.551611446,1593838.671243352,8300560.528260501
lw_i,1.577079008,0.977347085,1.408131595,0.681448709,1.478542416,1.586726565,1.70327904,1.744822571,1.574351797,0.5,0.5,0.5,0.5,1.569833835,1.610400094,1.619710885,1.537245109,0.5,0.5,1.557344209,1.612357113,1.557344209,0.5,0.5,-1.0,0.5,0.5,0.5,0.95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.85,0.95,0.5,0.5,0.5,0.5,0.5,0.982189927,null,null
rw_i,1.6721796,2.518465776,2.099185024,2.482747658,1.804585116,1.65779801,1.849403754,1.643199211,1.678308387,0.5,0.5,0.5,0.5,1.685675117,1.629991406,1.596564736,1.723521533,0.5,0.5,1.693828129,1.626697807,1.693828129,0.5,0.5,1.0,0.5,0.5,0.5,-0.85,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.95,-0.85,0.5,0.5,0.5,0.5,0.5,1.643837157,null,null
lr,1129376.999982839,582928.999995695,582552.00001035,49797087.99972631,590025.999997344,3591777.999969843,4.306205167,2.672325365,11884494.00021675,19.0,0.0,0.0,0.0,3651234.999973448,1862804.000032508,438975.999994497,1097113.000001464,0.701149425,122.0,8831.178160762,417301.000002229,1536624.999972742,13.155172414,2289.0,0.994252874,1.0,173.0,0.0303,0.3939,2.0,0.0606,1.0,8.0,0.2424,0.0303,1.0,0.0303,3.0,0.0909,90.0,0.8738,0.1262,1.0,65.0,68.0,0.077669903,0.842741935,2442459.999994314,49925028,50014060
rr,1268878.999982915,733715.999979223,676013.999999596,56734687.99502087,684281.999995473,4007514.000019222,4.331485326,2.695756225,13351139.999801848,19.0,0.0,0.0,0.0,4097629.999968668,2088904.999983866,492037.000007644,1232214.000011261,0.701149425,122.0,9900.557471295,468056.000001235,1722697.000005162,13.155172414,2289.0,0.994252874,1.0,173.0,0.0303,0.3939,2.0,0.0606,1.0,8.0,0.2424,0.0303,1.0,0.0303,3.0,0.0909,90.0,0.8738,0.1262,1.0,65.0,68.0,0.077669903,0.842741935,7333709.999307647,56204052,82960812
min_val_w,1.577079008,0.977347085,1.408131595,0.681448709,1.478542416,1.586726565,1.703279052,1.744822571,1.574351797,,,,,1.569833835,1.610400094,1.619710885,1.537245109,,,1.557344209,1.612357113,1.557344209,,,-1.0,,,-1.0,1.0,,-1.0,,,-1.0,-1.0,,-1.0,,,,-1.0,1.0,,,,-1.0,1.0,0.982189927,null,null
