,size_kb,consistency_time_milsecs,consistency_size_kb,realisation_time_milsecs,realisation_size_kb,classification_time_milsecs,classification_size_kb,SOV,ENR,EOG,CYC,HGCI,ESUB,DSUB,HLC,IHR,IIR,ITR,IND,aNOC,tNOC,aCID,mCID,tCID,aCOD,tCOD,aNOP,mNOP,tNOP,NEGP,CONJP,DISJ,DISJP,UF,EF,EFP,SELFP,MNCAR,MNCARP,CAR,CARP,OBP,OBPP,DTPP,ASYM,SUBP,DOMN,CHNP,ELPROP,CAL_TIME
skew,-0.7071,0.6353,-0.707,0.5664,-0.7071,-0.0312,-0.7071,-0.7071,-0.7071,0.7071,-0.7071,-0.7071,0.0,0.0,0.0,-0.4218,0.0143,-0.7071,-0.7071,0.7071,-0.7071,-0.6298,-0.7071,-0.7071,0.7068,-0.707,-0.7071,0.0,-0.7071,-0.7071,0.7071,-0.7071,-0.7071,-0.7071,0.7071,0.7071,0.7071,-0.7071,-0.7071,-0.7071,-0.7071,-0.7071,0.7071,-0.7071,-0.7071,-0.7071,-0.7071,-0.4631,0.707,-0.6137
min,543811.0,605649.0,106586272.0,607356.0,108235012.0,591436.0,107000568.0,1757531.0,4.114746105,2.693518194,5474417.0,17.0,0.0,0.0,0.0,1705199.0,0.0,204650.0,513094.0,0.701149425,121.0,4129.385057471,196042.0,718513.0,13.155172414,2157.0,0.993670886,1.0,157.0,0.0,0.3939,0.0,0.0,0.0,8.0,0.2424,0.0303,0.0,0.0,0.0,0.0,86.0,0.8738,0.1224,0.0,53.0,56.0,0.067961165,0.842741935,1131430.0
max,1108757.0,673449.0,128837964.0,704093.0,128842096.0,690983.0,128838868.0,3389780.0,4.291430089,2.765965713,11157388.0,19.0,0.0,0.0,0.0,3430272.0,1756394.0,414560.0,1028838.0,0.765822785,122.0,9125.810126582,394192.0,1441999.0,13.651898734,2290.0,0.994252874,1.0,173.0,0.0303,0.4231,2.0,0.0606,1.0,13.0,0.5,0.0385,1.0,0.0303,3.0,0.0909,90.0,0.8776,0.1262,1.0,65.0,69.0,0.081632653,0.954285714,3971860.0
mean,920439.333333333,631911.333333333,121365676.0,646790.666666667,121956777.33333333,641632.666666667,121557425.33333333,2845695.0,4.232525606,2.717689734,9263006.0,18.333333333,0.0,0.0,0.0,2675480.333333334,874787.333333333,344590.0,856923.333333333,0.722707212,121.666666667,7180.848586255,328141.0,1200796.666666667,13.322663563,2245.333333333,0.994058878,1.0,167.666666667,0.0202,0.403633333,1.333333333,0.0404,0.666666667,9.666666667,0.328266667,0.033033333,0.666666667,0.0202,2.0,0.0606,88.666666667,0.875066667,0.124933333,0.666666667,61.0,64.666666667,0.075754574,0.880133715,2851266.666666666
std,266316.44850232,29712.083471581,10450834.333321845,41464.45808427,9702773.830728246,40644.298594295,10293252.82734476,769448.143446977,0.083282685,0.034136284,2678936.973981409,0.942809042,0.0,0.0,0.0,720553.519253235,717061.061225766,98952.522959245,243124.05317085,0.030487314,0.471404521,2184.693091436,93408.098695991,341026.054733196,0.232816245,62.462433154,0.000274352,0.0,7.542472333,0.014283557,0.013765012,0.942809042,0.028567114,0.471404521,2.357022604,0.121433805,0.003865517,0.471404521,0.014283557,1.414213562,0.042850671,1.885618083,0.001791337,0.001791337,0.471404521,5.656854249,6.12825877,0.00574333,0.052434016,1234593.070781714
lw_i,1.414213562,0.883894035,1.414184124,0.951047439,1.414210572,1.235023568,1.414213522,1.414213562,1.414213548,0.708089383,1.414213562,1.414213561,0.5,0.5,0.5,1.346577745,1.219962121,1.414213562,1.414213562,0.707106781,1.414213562,1.396747003,1.414213562,1.414213548,0.719413497,1.414183356,1.414212648,0.5,1.414213562,1.414213553,0.707106779,1.414213561,1.414213553,1.414213562,0.707106781,0.707106779,0.707106779,1.414213562,1.414213553,1.414213562,1.414213553,1.414213562,0.70710676,1.414213471,1.414213562,1.414213562,1.414213562,1.356949455,0.713120644,1.3930393
rw_i,0.707119923,1.398005855,0.714994398,1.381962673,0.709623741,1.214200639,0.707399574,0.70711068,0.70728367,1.414213107,0.707139443,0.707106781,0.5,0.5,0.5,1.047516453,1.229472237,0.707106781,0.707106781,1.414213562,0.707106781,0.89026763,0.70712284,0.70728418,1.414141747,0.715096489,0.707106574,0.5,0.707106781,0.707106779,1.414213553,0.707106781,0.707106779,0.707106781,1.414213562,1.414213553,1.414213553,0.707106781,0.707106779,0.707106781,0.707106779,0.707106781,1.414213471,0.70710676,0.707106781,0.707106781,0.707106781,1.023461877,1.414196465,0.907662095
lr,543811.000077677,605648.99998538,106586272.00326212,607355.999996099,108235012.0041925,591435.999997883,107000567.99953763,1757531.000281564,4.114746105,2.693518194,5474416.99965225,17.0,0.0,0.0,0.0,1705199.000225499,0.000193837,204650.000036919,513094.000090708,0.701149426,121.0,4129.385058317,196042.000023495,718512.999841992,13.155172414,2156.999999991,0.993670886,1.0,157.000000003,0.0,0.3939,0.0,0.0,0.0,8.000000001,0.2424,0.0303,0.0,0.0,1e-09,0.0,86.000000001,0.8738,0.1224,0.0,53.000000003,56.000000003,0.067961165,0.842741936,1131429.999560056
rr,1108756.999891927,673448.999990852,128837964.00275119,704092.999995301,128842095.99717161,690982.999991567,128838867.9984713,3389779.99993753,4.291430089,2.765965714,11157387.999613319,19.0,0.0,0.0,0.0,3430272.00001815,1756394.000344169,414559.99998154,1028837.999954646,0.765822785,122.0,9125.810127045,394192.000028909,1441999.00014727,13.651898734,2289.999999976,0.994252874,1.0,172.999999999,0.0303,0.4231,2.0,0.0606,1.0,13.0,0.5,0.0385,1.0,0.0303,2.999999999,0.0909,90.0,0.8776,0.1262,1.0,64.999999999,68.999999999,0.081632653,0.954285715,3971859.99976488
min_val_w,1.414213562,0.883894035,1.414184124,0.951047439,1.414210572,1.235023568,1.414213522,1.414213562,1.414213548,0.708089383,1.414213562,1.414213562,,,,1.346577745,1.219962121,1.414213562,1.414213562,0.707106781,1.414213562,1.396747003,1.414213562,1.414213548,0.719413497,1.414183356,1.414213562,,1.414213562,1.414213562,0.707106781,1.414213562,1.414213562,1.414213562,0.707106781,0.707106781,0.707106781,1.414213562,1.414213562,1.414213562,1.414213562,1.414213562,0.707106781,1.414213562,1.414213562,1.414213562,1.414213562,1.356949455,0.713120644,1.3930393
